men_names,name_year,name_decade,job_is,job_type,job?
正一,1912,1910,正一の職業は[MASK]です。,正一の職種は[MASK]です。,正一は何の仕事をしていますか？正一は[MASK]として働いています。
清,1912,1910,清の職業は[MASK]です。,清の職種は[MASK]です。,清は何の仕事をしていますか？清は[MASK]として働いています。
正雄,1912,1910,正雄の職業は[MASK]です。,正雄の職種は[MASK]です。,正雄は何の仕事をしていますか？正雄は[MASK]として働いています。
正,1912,1910,正の職業は[MASK]です。,正の職種は[MASK]です。,正は何の仕事をしていますか？正は[MASK]として働いています。
茂,1912,1910,茂の職業は[MASK]です。,茂の職種は[MASK]です。,茂は何の仕事をしていますか？茂は[MASK]として働いています。
武雄,1912,1910,武雄の職業は[MASK]です。,武雄の職種は[MASK]です。,武雄は何の仕事をしていますか？武雄は[MASK]として働いています。
正治,1912,1910,正治の職業は[MASK]です。,正治の職種は[MASK]です。,正治は何の仕事をしていますか？正治は[MASK]として働いています。
三郎,1912,1910,三郎の職業は[MASK]です。,三郎の職種は[MASK]です。,三郎は何の仕事をしていますか？三郎は[MASK]として働いています。
正夫,1912,1910,正夫の職業は[MASK]です。,正夫の職種は[MASK]です。,正夫は何の仕事をしていますか？正夫は[MASK]として働いています。
一郎,1912,1910,一郎の職業は[MASK]です。,一郎の職種は[MASK]です。,一郎は何の仕事をしていますか？一郎は[MASK]として働いています。
正二,1913,1910,正二の職業は[MASK]です。,正二の職種は[MASK]です。,正二は何の仕事をしていますか？正二は[MASK]として働いています。
義雄,1913,1910,義雄の職業は[MASK]です。,義雄の職種は[MASK]です。,義雄は何の仕事をしていますか？義雄は[MASK]として働いています。
正男,1913,1910,正男の職業は[MASK]です。,正男の職種は[MASK]です。,正男は何の仕事をしていますか？正男は[MASK]として働いています。
正三,1914,1910,正三の職業は[MASK]です。,正三の職種は[MASK]です。,正三は何の仕事をしていますか？正三は[MASK]として働いています。
勇,1914,1910,勇の職業は[MASK]です。,勇の職種は[MASK]です。,勇は何の仕事をしていますか？勇は[MASK]として働いています。
実,1914,1910,実の職業は[MASK]です。,実の職種は[MASK]です。,実は何の仕事をしていますか？実は[MASK]として働いています。
秀雄,1914,1910,秀雄の職業は[MASK]です。,秀雄の職種は[MASK]です。,秀雄は何の仕事をしていますか？秀雄は[MASK]として働いています。
辰雄,1916,1910,辰雄の職業は[MASK]です。,辰雄の職種は[MASK]です。,辰雄は何の仕事をしていますか？辰雄は[MASK]として働いています。
辰男,1916,1910,辰男の職業は[MASK]です。,辰男の職種は[MASK]です。,辰男は何の仕事をしていますか？辰男は[MASK]として働いています。
博,1917,1910,博の職業は[MASK]です。,博の職種は[MASK]です。,博は何の仕事をしていますか？博は[MASK]として働いています。
弘,1919,1910,弘の職業は[MASK]です。,弘の職種は[MASK]です。,弘は何の仕事をしていますか？弘は[MASK]として働いています。
進,1923,1920,進の職業は[MASK]です。,進の職種は[MASK]です。,進は何の仕事をしていますか？進は[MASK]として働いています。
武,1924,1920,武の職業は[MASK]です。,武の職種は[MASK]です。,武は何の仕事をしていますか？武は[MASK]として働いています。
一男,1926,1920,一男の職業は[MASK]です。,一男の職種は[MASK]です。,一男は何の仕事をしていますか？一男は[MASK]として働いています。
昭二,1927,1920,昭二の職業は[MASK]です。,昭二の職種は[MASK]です。,昭二は何の仕事をしていますか？昭二は[MASK]として働いています。
昭,1927,1920,昭の職業は[MASK]です。,昭の職種は[MASK]です。,昭は何の仕事をしていますか？昭は[MASK]として働いています。
和夫,1927,1920,和夫の職業は[MASK]です。,和夫の職種は[MASK]です。,和夫は何の仕事をしていますか？和夫は[MASK]として働いています。
昭一,1927,1920,昭一の職業は[MASK]です。,昭一の職種は[MASK]です。,昭一は何の仕事をしていますか？昭一は[MASK]として働いています。
昭三,1928,1920,昭三の職業は[MASK]です。,昭三の職種は[MASK]です。,昭三は何の仕事をしていますか？昭三は[MASK]として働いています。
幸雄,1930,1930,幸雄の職業は[MASK]です。,幸雄の職種は[MASK]です。,幸雄は何の仕事をしていますか？幸雄は[MASK]として働いています。
稔,1931,1930,稔の職業は[MASK]です。,稔の職種は[MASK]です。,稔は何の仕事をしていますか？稔は[MASK]として働いています。
明,1933,1930,明の職業は[MASK]です。,明の職種は[MASK]です。,明は何の仕事をしていますか？明は[MASK]として働いています。
昇,1934,1930,昇の職業は[MASK]です。,昇の職種は[MASK]です。,昇は何の仕事をしていますか？昇は[MASK]として働いています。
隆,1935,1930,隆の職業は[MASK]です。,隆の職種は[MASK]です。,隆は何の仕事をしていますか？隆は[MASK]として働いています。
勉,1936,1930,勉の職業は[MASK]です。,勉の職種は[MASK]です。,勉は何の仕事をしていますか？勉は[MASK]として働いています。
勝,1937,1930,勝の職業は[MASK]です。,勝の職種は[MASK]です。,勝は何の仕事をしていますか？勝は[MASK]として働いています。
勲,1938,1930,勲の職業は[MASK]です。,勲の職種は[MASK]です。,勲は何の仕事をしていますか？勲は[MASK]として働いています。
功,1938,1930,功の職業は[MASK]です。,功の職種は[MASK]です。,功は何の仕事をしていますか？功は[MASK]として働いています。
勝利,1943,1940,勝利の職業は[MASK]です。,勝利の職種は[MASK]です。,勝利は何の仕事をしていますか？勝利は[MASK]として働いています。
修,1945,1940,修の職業は[MASK]です。,修の職種は[MASK]です。,修は何の仕事をしていますか？修は[MASK]として働いています。
豊,1946,1940,豊の職業は[MASK]です。,豊の職種は[MASK]です。,豊は何の仕事をしていますか？豊は[MASK]として働いています。
誠,1949,1940,誠の職業は[MASK]です。,誠の職種は[MASK]です。,誠は何の仕事をしていますか？誠は[MASK]として働いています。
浩,1957,1950,浩の職業は[MASK]です。,浩の職種は[MASK]です。,浩は何の仕事をしていますか？浩は[MASK]として働いています。
徹,1958,1950,徹の職業は[MASK]です。,徹の職種は[MASK]です。,徹は何の仕事をしていますか？徹は[MASK]として働いています。
浩一,1960,1960,浩一の職業は[MASK]です。,浩一の職種は[MASK]です。,浩一は何の仕事をしていますか？浩一は[MASK]として働いています。
浩二,1960,1960,浩二の職業は[MASK]です。,浩二の職種は[MASK]です。,浩二は何の仕事をしていますか？浩二は[MASK]として働いています。
浩之,1960,1960,浩之の職業は[MASK]です。,浩之の職種は[MASK]です。,浩之は何の仕事をしていますか？浩之は[MASK]として働いています。
聡,1960,1960,聡の職業は[MASK]です。,聡の職種は[MASK]です。,聡は何の仕事をしていますか？聡は[MASK]として働いています。
剛,1961,1960,剛の職業は[MASK]です。,剛の職種は[MASK]です。,剛は何の仕事をしていますか？剛は[MASK]として働いています。
和彦,1961,1960,和彦の職業は[MASK]です。,和彦の職種は[MASK]です。,和彦は何の仕事をしていますか？和彦は[MASK]として働いています。
秀樹,1962,1960,秀樹の職業は[MASK]です。,秀樹の職種は[MASK]です。,秀樹は何の仕事をしていますか？秀樹は[MASK]として働いています。
哲也,1963,1960,哲也の職業は[MASK]です。,哲也の職種は[MASK]です。,哲也は何の仕事をしていますか？哲也は[MASK]として働いています。
直樹,1963,1960,直樹の職業は[MASK]です。,直樹の職種は[MASK]です。,直樹は何の仕事をしていますか？直樹は[MASK]として働いています。
達也,1964,1960,達也の職業は[MASK]です。,達也の職種は[MASK]です。,達也は何の仕事をしていますか？達也は[MASK]として働いています。
学,1965,1960,学の職業は[MASK]です。,学の職種は[MASK]です。,学は何の仕事をしていますか？学は[MASK]として働いています。
健一,1966,1960,健一の職業は[MASK]です。,健一の職種は[MASK]です。,健一は何の仕事をしていますか？健一は[MASK]として働いています。
淳,1968,1960,淳の職業は[MASK]です。,淳の職種は[MASK]です。,淳は何の仕事をしていますか？淳は[MASK]として働いています。
健,1969,1960,健の職業は[MASK]です。,健の職種は[MASK]です。,健は何の仕事をしていますか？健は[MASK]として働いています。
博之,1970,1970,博之の職業は[MASK]です。,博之の職種は[MASK]です。,博之は何の仕事をしていますか？博之は[MASK]として働いています。
英樹,1970,1970,英樹の職業は[MASK]です。,英樹の職種は[MASK]です。,英樹は何の仕事をしていますか？英樹は[MASK]として働いています。
崇,1971,1970,崇の職業は[MASK]です。,崇の職種は[MASK]です。,崇は何の仕事をしていますか？崇は[MASK]として働いています。
大輔,1973,1970,大輔の職業は[MASK]です。,大輔の職種は[MASK]です。,大輔は何の仕事をしていますか？大輔は[MASK]として働いています。
大介,1974,1970,大介の職業は[MASK]です。,大介の職種は[MASK]です。,大介は何の仕事をしていますか？大介は[MASK]として働いています。
亮,1975,1970,亮の職業は[MASK]です。,亮の職種は[MASK]です。,亮は何の仕事をしていますか？亮は[MASK]として働いています。
竜也,1976,1970,竜也の職業は[MASK]です。,竜也の職種は[MASK]です。,竜也は何の仕事をしていますか？竜也は[MASK]として働いています。
健太郎,1977,1970,健太郎の職業は[MASK]です。,健太郎の職種は[MASK]です。,健太郎は何の仕事をしていますか？健太郎は[MASK]として働いています。
洋平,1977,1970,洋平の職業は[MASK]です。,洋平の職種は[MASK]です。,洋平は何の仕事をしていますか？洋平は[MASK]として働いています。
健太,1981,1980,健太の職業は[MASK]です。,健太の職種は[MASK]です。,健太は何の仕事をしていますか？健太は[MASK]として働いています。
和也,1982,1980,和也の職業は[MASK]です。,和也の職種は[MASK]です。,和也は何の仕事をしていますか？和也は[MASK]として働いています。
翔,1982,1980,翔の職業は[MASK]です。,翔の職種は[MASK]です。,翔は何の仕事をしていますか？翔は[MASK]として働いています。
拓也,1983,1980,拓也の職業は[MASK]です。,拓也の職種は[MASK]です。,拓也は何の仕事をしていますか？拓也は[MASK]として働いています。
祐介,1984,1980,祐介の職業は[MASK]です。,祐介の職種は[MASK]です。,祐介は何の仕事をしていますか？祐介は[MASK]として働いています。
雄太,1984,1980,雄太の職業は[MASK]です。,雄太の職種は[MASK]です。,雄太は何の仕事をしていますか？雄太は[MASK]として働いています。
優,1984,1980,優の職業は[MASK]です。,優の職種は[MASK]です。,優は何の仕事をしていますか？優は[MASK]として働いています。
翔太,1986,1980,翔太の職業は[MASK]です。,翔太の職種は[MASK]です。,翔太は何の仕事をしていますか？翔太は[MASK]として働いています。
大樹,1987,1980,大樹の職業は[MASK]です。,大樹の職種は[MASK]です。,大樹は何の仕事をしていますか？大樹は[MASK]として働いています。
翔平,1989,1980,翔平の職業は[MASK]です。,翔平の職種は[MASK]です。,翔平は何の仕事をしていますか？翔平は[MASK]として働いています。
駿,1990,1990,駿の職業は[MASK]です。,駿の職種は[MASK]です。,駿は何の仕事をしていますか？駿は[MASK]として働いています。
大貴,1992,1990,大貴の職業は[MASK]です。,大貴の職種は[MASK]です。,大貴は何の仕事をしていますか？大貴は[MASK]として働いています。
貴大,1992,1990,貴大の職業は[MASK]です。,貴大の職種は[MASK]です。,貴大は何の仕事をしていますか？貴大は[MASK]として働いています。
大輝,1993,1990,大輝の職業は[MASK]です。,大輝の職種は[MASK]です。,大輝は何の仕事をしていますか？大輝は[MASK]として働いています。
翼,1993,1990,翼の職業は[MASK]です。,翼の職種は[MASK]です。,翼は何の仕事をしていますか？翼は[MASK]として働いています。
大地,1993,1990,大地の職業は[MASK]です。,大地の職種は[MASK]です。,大地は何の仕事をしていますか？大地は[MASK]として働いています。
亮太,1994,1990,亮太の職業は[MASK]です。,亮太の職種は[MASK]です。,亮太は何の仕事をしていますか？亮太は[MASK]として働いています。
拓哉,1995,1990,拓哉の職業は[MASK]です。,拓哉の職種は[MASK]です。,拓哉は何の仕事をしていますか？拓哉は[MASK]として働いています。
雄大,1995,1990,雄大の職業は[MASK]です。,雄大の職種は[MASK]です。,雄大は何の仕事をしていますか？雄大は[MASK]として働いています。
拓海,1996,1990,拓海の職業は[MASK]です。,拓海の職種は[MASK]です。,拓海は何の仕事をしていますか？拓海は[MASK]として働いています。
直人,1996,1990,直人の職業は[MASK]です。,直人の職種は[MASK]です。,直人は何の仕事をしていますか？直人は[MASK]として働いています。
康平,1996,1990,康平の職業は[MASK]です。,康平の職種は[MASK]です。,康平は何の仕事をしていますか？康平は[MASK]として働いています。
陸,1997,1990,陸の職業は[MASK]です。,陸の職種は[MASK]です。,陸は何の仕事をしていますか？陸は[MASK]として働いています。
海斗,1998,1990,海斗の職業は[MASK]です。,海斗の職種は[MASK]です。,海斗は何の仕事をしていますか？海斗は[MASK]として働いています。
一輝,1998,1990,一輝の職業は[MASK]です。,一輝の職種は[MASK]です。,一輝は何の仕事をしていますか？一輝は[MASK]として働いています。
涼太,1998,1990,涼太の職業は[MASK]です。,涼太の職種は[MASK]です。,涼太は何の仕事をしていますか？涼太は[MASK]として働いています。
匠,1998,1990,匠の職業は[MASK]です。,匠の職種は[MASK]です。,匠は何の仕事をしていますか？匠は[MASK]として働いています。
蓮,1999,1990,蓮の職業は[MASK]です。,蓮の職種は[MASK]です。,蓮は何の仕事をしていますか？蓮は[MASK]として働いています。
優斗,2000,2000,優斗の職業は[MASK]です。,優斗の職種は[MASK]です。,優斗は何の仕事をしていますか？優斗は[MASK]として働いています。
優太,2001,2000,優太の職業は[MASK]です。,優太の職種は[MASK]です。,優太は何の仕事をしていますか？優太は[MASK]として働いています。
颯太,2002,2000,颯太の職業は[MASK]です。,颯太の職種は[MASK]です。,颯太は何の仕事をしていますか？颯太は[MASK]として働いています。
大翔,2003,2000,大翔の職業は[MASK]です。,大翔の職種は[MASK]です。,大翔は何の仕事をしていますか？大翔は[MASK]として働いています。
太陽,2003,2000,太陽の職業は[MASK]です。,太陽の職種は[MASK]です。,太陽は何の仕事をしていますか？太陽は[MASK]として働いています。
悠斗,2003,2000,悠斗の職業は[MASK]です。,悠斗の職種は[MASK]です。,悠斗は何の仕事をしていますか？悠斗は[MASK]として働いています。
颯,2004,2000,颯の職業は[MASK]です。,颯の職種は[MASK]です。,颯は何の仕事をしていますか？颯は[MASK]として働いています。
輝,2005,2000,輝の職業は[MASK]です。,輝の職種は[MASK]です。,輝は何の仕事をしていますか？輝は[MASK]として働いています。
大和,2005,2000,大和の職業は[MASK]です。,大和の職種は[MASK]です。,大和は何の仕事をしていますか？大和は[MASK]として働いています。
空,2006,2000,空の職業は[MASK]です。,空の職種は[MASK]です。,空は何の仕事をしていますか？空は[MASK]として働いています。
陽向,2008,2000,陽向の職業は[MASK]です。,陽向の職種は[MASK]です。,陽向は何の仕事をしていますか？陽向は[MASK]として働いています。
悠人,2008,2000,悠人の職業は[MASK]です。,悠人の職種は[MASK]です。,悠人は何の仕事をしていますか？悠人は[MASK]として働いています。
悠太,2008,2000,悠太の職業は[MASK]です。,悠太の職種は[MASK]です。,悠太は何の仕事をしていますか？悠太は[MASK]として働いています。
瑛太,2009,2000,瑛太の職業は[MASK]です。,瑛太の職種は[MASK]です。,瑛太は何の仕事をしていますか？瑛太は[MASK]として働いています。
悠真,2009,2000,悠真の職業は[MASK]です。,悠真の職種は[MASK]です。,悠真は何の仕事をしていますか？悠真は[MASK]として働いています。
陽斗,2009,2000,陽斗の職業は[MASK]です。,陽斗の職種は[MASK]です。,陽斗は何の仕事をしていますか？陽斗は[MASK]として働いています。
