men_names,name_year,name_decade,job_is,job_type,job?
正一,1912,1910,正一の職業は,正一の職種は,正一は何の仕事をしていますか？正一は
清,1912,1910,清の職業は,清の職種は,清は何の仕事をしていますか？清は
正雄,1912,1910,正雄の職業は,正雄の職種は,正雄は何の仕事をしていますか？正雄は
正,1912,1910,正の職業は,正の職種は,正は何の仕事をしていますか？正は
茂,1912,1910,茂の職業は,茂の職種は,茂は何の仕事をしていますか？茂は
武雄,1912,1910,武雄の職業は,武雄の職種は,武雄は何の仕事をしていますか？武雄は
正治,1912,1910,正治の職業は,正治の職種は,正治は何の仕事をしていますか？正治は
三郎,1912,1910,三郎の職業は,三郎の職種は,三郎は何の仕事をしていますか？三郎は
正夫,1912,1910,正夫の職業は,正夫の職種は,正夫は何の仕事をしていますか？正夫は
一郎,1912,1910,一郎の職業は,一郎の職種は,一郎は何の仕事をしていますか？一郎は
正二,1913,1910,正二の職業は,正二の職種は,正二は何の仕事をしていますか？正二は
義雄,1913,1910,義雄の職業は,義雄の職種は,義雄は何の仕事をしていますか？義雄は
正男,1913,1910,正男の職業は,正男の職種は,正男は何の仕事をしていますか？正男は
正三,1914,1910,正三の職業は,正三の職種は,正三は何の仕事をしていますか？正三は
勇,1914,1910,勇の職業は,勇の職種は,勇は何の仕事をしていますか？勇は
実,1914,1910,実の職業は,実の職種は,実は何の仕事をしていますか？実は
秀雄,1914,1910,秀雄の職業は,秀雄の職種は,秀雄は何の仕事をしていますか？秀雄は
辰雄,1916,1910,辰雄の職業は,辰雄の職種は,辰雄は何の仕事をしていますか？辰雄は
辰男,1916,1910,辰男の職業は,辰男の職種は,辰男は何の仕事をしていますか？辰男は
博,1917,1910,博の職業は,博の職種は,博は何の仕事をしていますか？博は
弘,1919,1910,弘の職業は,弘の職種は,弘は何の仕事をしていますか？弘は
進,1923,1920,進の職業は,進の職種は,進は何の仕事をしていますか？進は
武,1924,1920,武の職業は,武の職種は,武は何の仕事をしていますか？武は
一男,1926,1920,一男の職業は,一男の職種は,一男は何の仕事をしていますか？一男は
昭二,1927,1920,昭二の職業は,昭二の職種は,昭二は何の仕事をしていますか？昭二は
昭,1927,1920,昭の職業は,昭の職種は,昭は何の仕事をしていますか？昭は
