wom_names,name_year,name_decade,job_is,job_type,job?
千代,1912,1910,千代の職業は,千代の職種は,千代は何の仕事をしていますか？千代は
ハル,1912,1910,ハルの職業は,ハルの職種は,ハルは何の仕事をしていますか？ハルは
ハナ,1912,1910,ハナの職業は,ハナの職種は,ハナは何の仕事をしていますか？ハナは
正子,1912,1910,正子の職業は,正子の職種は,正子は何の仕事をしていますか？正子は
文子,1912,1910,文子の職業は,文子の職種は,文子は何の仕事をしていますか？文子は
ヨシ,1912,1910,ヨシの職業は,ヨシの職種は,ヨシは何の仕事をしていますか？ヨシは
千代子,1912,1910,千代子の職業は,千代子の職種は,千代子は何の仕事をしていますか？千代子は
キヨ,1912,1910,キヨの職業は,キヨの職種は,キヨは何の仕事をしていますか？キヨは
静子,1912,1910,静子の職業は,静子の職種は,静子は何の仕事をしていますか？静子は
はる,1912,1910,はるの職業は,はるの職種は,はるは何の仕事をしていますか？はるは
フミ,1913,1910,フミの職業は,フミの職種は,フミは何の仕事をしていますか？フミは
マサ,1913,1910,マサの職業は,マサの職種は,マサは何の仕事をしていますか？マサは
きみ,1913,1910,きみの職業は,きみの職種は,きみは何の仕事をしていますか？きみは
きよ,1914,1910,きよの職業は,きよの職種は,きよは何の仕事をしていますか？きよは
キミ,1914,1910,キミの職業は,キミの職種は,キミは何の仕事をしていますか？キミは
トミ,1914,1910,トミの職業は,トミの職種は,トミは何の仕事をしていますか？トミは
光子,1914,1910,光子の職業は,光子の職種は,光子は何の仕事をしていますか？光子は
清子,1915,1910,清子の職業は,清子の職種は,清子は何の仕事をしていますか？清子は
八重子,1916,1910,八重子の職業は,八重子の職種は,八重子は何の仕事をしていますか？八重子は
貞子,1916,1910,貞子の職業は,貞子の職種は,貞子は何の仕事をしていますか？貞子は
愛子,1917,1910,愛子の職業は,愛子の職種は,愛子は何の仕事をしていますか？愛子は
美代子,1917,1910,美代子の職業は,美代子の職種は,美代子は何の仕事をしていますか？美代子は
久子,1918,1910,久子の職業は,久子の職種は,久子は何の仕事をしていますか？久子は
和子,1919,1910,和子の職業は,和子の職種は,和子は何の仕事をしていますか？和子は
芳子,1920,1920,芳子の職業は,芳子の職種は,芳子は何の仕事をしていますか？芳子は
君子,1920,1920,君子の職業は,君子の職種は,君子は何の仕事をしていますか？君子は
幸子,1921,1920,幸子の職業は,幸子の職種は,幸子は何の仕事をしていますか？幸子は
敏子,1921,1920,敏子の職業は,敏子の職種は,敏子は何の仕事をしていますか？敏子は
信子,1924,1920,信子の職業は,信子の職種は,信子は何の仕事をしていますか？信子は
照子,1926,1920,照子の職業は,照子の職種は,照子は何の仕事をしていますか？照子は
昭子,1927,1920,昭子の職業は,昭子の職種は,昭子は何の仕事をしていますか？昭子は
節子,1927,1920,節子の職業は,節子の職種は,節子は何の仕事をしていますか？節子は
典子,1928,1920,典子の職業は,典子の職種は,典子は何の仕事をしていますか？典子は
孝子,1930,1930,孝子の職業は,孝子の職種は,孝子は何の仕事をしていますか？孝子は
美智子,1931,1930,美智子の職業は,美智子の職種は,美智子は何の仕事をしていますか？美智子は
洋子,1931,1930,洋子の職業は,洋子の職種は,洋子は何の仕事をしていますか？洋子は
弘子,1932,1930,弘子の職業は,弘子の職種は,弘子は何の仕事をしていますか？弘子は
栄子,1935,1930,栄子の職業は,栄子の職種は,栄子は何の仕事をしていますか？栄子は
良子,1935,1930,良子の職業は,良子の職種は,良子は何の仕事をしていますか？良子は
京子,1936,1930,京子の職業は,京子の職種は,京子は何の仕事をしていますか？京子は
悦子,1936,1930,悦子の職業は,悦子の職種は,悦子は何の仕事をしていますか？悦子は
