職業,総数,男,女,正一の職業は,清の職業は,正雄の職業は,正の職業は,茂の職業は,武雄の職業は,正治の職業は,三郎の職業は,正夫の職業は,一郎の職業は,正二の職業は,義雄の職業は,正男の職業は,正三の職業は,勇の職業は,実の職業は,秀雄の職業は,辰雄の職業は,辰男の職業は,博の職業は,弘の職業は,進の職業は,武の職業は,一男の職業は,昭二の職業は,昭の職業は,和夫の職業は,昭一の職業は,昭三の職業は,幸雄の職業は,稔の職業は,明の職業は,昇の職業は,隆の職業は,勉の職業は,勝の職業は,勲の職業は,功の職業は,勝利の職業は,修の職業は,豊の職業は,誠の職業は,浩の職業は,徹の職業は,浩一の職業は,浩二の職業は,浩之の職業は,聡の職業は,剛の職業は,和彦の職業は,秀樹の職業は,哲也の職業は,直樹の職業は,達也の職業は,学の職業は,健一の職業は,淳の職業は,健の職業は,博之の職業は,英樹の職業は,崇の職業は,大輔の職業は,大介の職業は,亮の職業は,竜也の職業は,健太郎の職業は,洋平の職業は,健太の職業は,和也の職業は,翔の職業は,拓也の職業は,祐介の職業は,雄太の職業は,優の職業は,翔太の職業は,大樹の職業は,翔平の職業は,駿の職業は,大貴の職業は,貴大の職業は,大輝の職業は,翼の職業は,大地の職業は,亮太の職業は,拓哉の職業は,雄大の職業は,拓海の職業は,直人の職業は,康平の職業は,陸の職業は,海斗の職業は,一輝の職業は,涼太の職業は,匠の職業は,蓮の職業は,優斗の職業は,優太の職業は,颯太の職業は,大翔の職業は,太陽の職業は,悠斗の職業は,颯の職業は,輝の職業は,大和の職業は,空の職業は,陽向の職業は,悠人の職業は,悠太の職業は,瑛太の職業は,悠真の職業は,陽斗の職業は,颯真の職業は,歩夢の職業は,蒼空の職業は,大雅の職業は,樹の職業は,陽翔の職業は,陸斗の職業は,太一の職業は,海翔の職業は,湊の職業は,龍生の職業は,陽太の職業は,朝陽の職業は,悠の職業は,新の職業は,蒼の職業は,陽大の職業は,律の職業は,凪の職業は,碧の職業は
総数,57673630,31525680,26147950,-10.880119323730469,-9.99326229095459,-10.066112518310547,-10.870582580566406,-10.782848358154297,-10.811470031738281,-10.834786415100098,-10.807055473327637,-10.858841896057129,-10.80706787109375,-10.878948211669922,-10.794211387634277,-10.927292823791504,-21.39510726928711,-10.813434600830078,-10.805529594421387,-10.868213653564453,-10.789969444274902,-10.825434684753418,-10.751556396484375,-10.779083251953125,-10.75086498260498,-10.992301940917969,-10.830440521240234,-10.78188705444336,-10.752235412597656,-10.778945922851562,-10.759025573730469,-10.792549133300781,-10.763941764831543,-10.796089172363281,-10.782024383544922,-10.766899108886719,-10.7556791305542,-10.810477256774902,-10.828136444091797,-10.8472900390625,-10.79022216796875,-10.779060363769531,-10.831008911132812,-10.88546371459961,-10.725031852722168,-10.705782890319824,-10.808708190917969,-10.817070007324219,-10.791133880615234,-10.719505310058594,-10.780838012695312,-10.78623104095459,-10.814085960388184,-10.77285385131836,-10.795764923095703,-10.794322967529297,-10.802860260009766,-10.789318084716797,-10.83973217010498,-10.716869354248047,-10.716769218444824,-10.779078483581543,-10.763915061950684,-10.747042655944824,-10.842208862304688,-10.884204864501953,-10.762516021728516,-10.794047355651855,-10.74631118774414,-10.737808227539062,-10.785563468933105,-10.74510669708252,-10.758590698242188,-10.767250061035156,-10.82638168334961,-10.7523193359375,-10.765335083007812,-10.768515586853027,-10.734443664550781,-10.739287376403809,-10.778937339782715,-10.861747741699219,-10.671506881713867,-10.862800598144531,-10.750371932983398,-10.803034782409668,-10.809184074401855,-10.734149932861328,-10.702388763427734,-10.753700256347656,-10.781787872314453,-10.814352989196777,-10.728557586669922,-10.774558067321777,-10.756362915039062,-10.747352600097656,-10.813815116882324,-10.677879333496094,-10.754202842712402,-10.748373031616211,-10.774489402770996,-10.871894836425781,-10.747577667236328,-10.734583854675293,-10.788519859313965,-10.708335876464844,-10.804874420166016,-10.678329467773438,-10.738273620605469,-10.715678215026855,-10.740909576416016,-10.72549819946289,-10.724517822265625,-10.730429649353027,-10.72894287109375,-10.756510734558105,-10.689730644226074,-10.905303955078125,-10.730911254882812,-10.732158660888672,-10.748470306396484,-10.776320457458496,-10.748067855834961,-10.7886381149292,-10.781488418579102,-10.734580039978027,-10.645657539367676,-10.757434844970703,-10.914380073547363,-10.752239227294922,-10.686232566833496,-10.721927642822266,-10.75313663482666,-10.781676292419434
管理的職業従事者,1196900,1010680,186220,-11.607287406921387,-11.265869140625,-11.188827514648438,-11.388328552246094,-12.09199047088623,-11.903399467468262,-11.258724212646484,-11.451457023620605,-10.954126358032227,-11.646125793457031,-11.220423698425293,-11.32401180267334,-11.605242729187012,-10.578410148620605,-11.95190715789795,-12.238386154174805,-12.002642631530762,-11.681741714477539,-11.742076873779297,-12.381060600280762,-12.2161865234375,-12.214957237243652,-11.046481132507324,-12.147451400756836,-11.937236785888672,-12.220290184020996,-12.234766960144043,-12.099719047546387,-11.934767723083496,-11.889513969421387,-12.181034088134766,-11.961986541748047,-12.269896507263184,-12.05780029296875,-12.217490196228027,-12.486251831054688,-12.159098625183105,-12.383845329284668,-12.211989402770996,-12.19732666015625,-11.333205223083496,-12.567131042480469,-12.25595760345459,-12.312305450439453,-12.543643951416016,-12.112028121948242,-11.719846725463867,-12.449485778808594,-12.308479309082031,-12.436357498168945,-12.280360221862793,-12.192706108093262,-12.40555191040039,-12.406439781188965,-12.101938247680664,-12.204062461853027,-12.337696075439453,-12.282283782958984,-12.384483337402344,-12.516276359558105,-12.108638763427734,-12.219444274902344,-12.341777801513672,-12.163373947143555,-12.262465476989746,-12.536294937133789,-12.029806137084961,-12.407759666442871,-12.554405212402344,-12.35025691986084,-12.325307846069336,-12.431853294372559,-11.98038387298584,-12.432191848754883,-12.338583946228027,-12.568694114685059,-12.107839584350586,-11.841886520385742,-11.242571830749512,-11.81403636932373,-11.328211784362793,-12.220355033874512,-12.333216667175293,-12.352374076843262,-12.39456844329834,-12.025275230407715,-12.630744934082031,-12.274085998535156,-12.005263328552246,-12.234602928161621,-12.271514892578125,-12.31721305847168,-12.229682922363281,-11.939360618591309,-12.193202018737793,-12.383875846862793,-12.173140525817871,-11.961958885192871,-11.262542724609375,-11.873733520507812,-12.42916488647461,-12.079928398132324,-12.367916107177734,-12.212108612060547,-11.927058219909668,-12.102672576904297,-12.264289855957031,-12.116449356079102,-12.234413146972656,-12.346258163452148,-12.254899978637695,-12.024893760681152,-12.644451141357422,-12.140182495117188,-10.990580558776855,-12.121070861816406,-12.184130668640137,-12.52445125579834,-12.020569801330566,-12.261275291442871,-12.186331748962402,-11.423616409301758,-12.057372093200684,-11.983241081237793,-12.221014976501465,-11.149101257324219,-12.219393730163574,-11.997233390808105,-12.436943054199219,-12.552767753601074,-12.214995384216309
管理的公務員,51870,44650,7220,-8.617449760437012,-6.995319366455078,-7.3670196533203125,-8.536398887634277,-8.484671592712402,-8.532554626464844,-8.583471298217773,-8.556522369384766,-8.6996488571167,-8.529666900634766,-8.62049674987793,-8.714332580566406,-8.50046443939209,-8.854072570800781,-8.337567329406738,-8.328193664550781,-8.532890319824219,-8.650077819824219,-8.617208480834961,-8.37275218963623,-8.505130767822266,-8.426325798034668,-8.607939720153809,-8.505928039550781,-8.467795372009277,-8.376575469970703,-8.474964141845703,-8.476149559020996,-8.51729679107666,-8.476978302001953,-8.431148529052734,-8.303987503051758,-8.344809532165527,-8.361594200134277,-8.355731964111328,-8.357539176940918,-8.453344345092773,-8.403266906738281,-8.365432739257812,-8.480982780456543,-8.722888946533203,-8.278606414794922,-8.386096954345703,-8.304537773132324,-8.286139488220215,-8.40643310546875,-8.37159252166748,-8.35888957977295,-8.374759674072266,-8.19588565826416,-8.46301555633545,-8.336718559265137,-8.260631561279297,-8.249664306640625,-8.412635803222656,-8.394196510314941,-8.372734069824219,-8.371539115905762,-8.424957275390625,-8.383918762207031,-8.280901908874512,-8.2645263671875,-8.354179382324219,-8.239788055419922,-8.352316856384277,-8.296073913574219,-8.52616024017334,-8.261561393737793,-8.399335861206055,-8.284706115722656,-8.329429626464844,-8.222637176513672,-8.413909912109375,-8.332305908203125,-8.277571678161621,-8.285054206848145,-8.412487030029297,-8.351554870605469,-8.751460075378418,-8.306929588317871,-8.61734390258789,-8.438652038574219,-8.431880950927734,-8.369857788085938,-8.364367485046387,-8.286991119384766,-8.368414878845215,-8.305107116699219,-8.55649471282959,-8.592887878417969,-8.304641723632812,-8.31103801727295,-8.297907829284668,-8.28193187713623,-8.303498268127441,-8.252013206481934,-8.324028015136719,-8.210349082946777,-8.60616683959961,-8.305431365966797,-8.30721378326416,-8.288637161254883,-8.32348918914795,-8.498470306396484,-8.550071716308594,-8.315460205078125,-8.314830780029297,-8.341212272644043,-8.29842758178711,-8.321914672851562,-8.232402801513672,-8.325798988342285,-8.443668365478516,-8.489666938781738,-8.663695335388184,-8.559852600097656,-8.320651054382324,-8.442234992980957,-8.31106185913086,-8.360138893127441,-8.453524589538574,-8.678385734558105,-8.281022071838379,-8.559501647949219,-8.278395652770996,-8.547565460205078,-8.394912719726562,-8.32114028930664,-8.426374435424805,-8.308961868286133,-8.443717002868652
管理的公務員,51870,44650,7220,-8.617449760437012,-6.995319366455078,-7.3670196533203125,-8.536398887634277,-8.484671592712402,-8.532554626464844,-8.583471298217773,-8.556522369384766,-8.6996488571167,-8.529666900634766,-8.62049674987793,-8.714332580566406,-8.50046443939209,-8.854072570800781,-8.337567329406738,-8.328193664550781,-8.532890319824219,-8.650077819824219,-8.617208480834961,-8.37275218963623,-8.505130767822266,-8.426325798034668,-8.607939720153809,-8.505928039550781,-8.467795372009277,-8.376575469970703,-8.474964141845703,-8.476149559020996,-8.51729679107666,-8.476978302001953,-8.431148529052734,-8.303987503051758,-8.344809532165527,-8.361594200134277,-8.355731964111328,-8.357539176940918,-8.453344345092773,-8.403266906738281,-8.365432739257812,-8.480982780456543,-8.722888946533203,-8.278606414794922,-8.386096954345703,-8.304537773132324,-8.286139488220215,-8.40643310546875,-8.37159252166748,-8.35888957977295,-8.374759674072266,-8.19588565826416,-8.46301555633545,-8.336718559265137,-8.260631561279297,-8.249664306640625,-8.412635803222656,-8.394196510314941,-8.372734069824219,-8.371539115905762,-8.424957275390625,-8.383918762207031,-8.280901908874512,-8.2645263671875,-8.354179382324219,-8.239788055419922,-8.352316856384277,-8.296073913574219,-8.52616024017334,-8.261561393737793,-8.399335861206055,-8.284706115722656,-8.329429626464844,-8.222637176513672,-8.413909912109375,-8.332305908203125,-8.277571678161621,-8.285054206848145,-8.412487030029297,-8.351554870605469,-8.751460075378418,-8.306929588317871,-8.61734390258789,-8.438652038574219,-8.431880950927734,-8.369857788085938,-8.364367485046387,-8.286991119384766,-8.368414878845215,-8.305107116699219,-8.55649471282959,-8.592887878417969,-8.304641723632812,-8.31103801727295,-8.297907829284668,-8.28193187713623,-8.303498268127441,-8.252013206481934,-8.324028015136719,-8.210349082946777,-8.60616683959961,-8.305431365966797,-8.30721378326416,-8.288637161254883,-8.32348918914795,-8.498470306396484,-8.550071716308594,-8.315460205078125,-8.314830780029297,-8.341212272644043,-8.29842758178711,-8.321914672851562,-8.232402801513672,-8.325798988342285,-8.443668365478516,-8.489666938781738,-8.663695335388184,-8.559852600097656,-8.320651054382324,-8.442234992980957,-8.31106185913086,-8.360138893127441,-8.453524589538574,-8.678385734558105,-8.281022071838379,-8.559501647949219,-8.278395652770996,-8.547565460205078,-8.394912719726562,-8.32114028930664,-8.426374435424805,-8.308961868286133,-8.443717002868652
法人・団体役員,968990,811530,157460,-7.766791343688965,-8.308624267578125,-8.437355041503906,-7.6699676513671875,-8.00092887878418,-8.04002571105957,-7.64190673828125,-7.984514236450195,-7.634095191955566,-8.029057502746582,-7.72738790512085,-8.188894271850586,-7.703771114349365,-15.818962097167969,-8.095187187194824,-8.019786834716797,-7.970519065856934,-8.127880096435547,-8.085016250610352,-7.9929118156433105,-8.070286750793457,-8.028240203857422,-7.691018581390381,-8.039321899414062,-8.05451488494873,-7.941495418548584,-7.987626075744629,-8.115283966064453,-8.03257942199707,-8.06205940246582,-8.04231071472168,-8.143953323364258,-8.011818885803223,-8.01594066619873,-7.974710941314697,-8.026494979858398,-7.94190788269043,-7.9598894119262695,-8.043452262878418,-8.113496780395508,-7.604167938232422,-7.999395847320557,-8.079035758972168,-8.109992027282715,-7.970623970031738,-8.038196563720703,-8.117220878601074,-7.967955589294434,-7.955000400543213,-8.031693458557129,-7.926865577697754,-7.989550590515137,-7.968024253845215,-8.05758285522461,-8.010050773620605,-7.9477410316467285,-8.033642768859863,-8.07443618774414,-8.002799034118652,-7.931145191192627,-8.015780448913574,-7.999765872955322,-8.055338859558105,-8.049839973449707,-8.023478507995605,-7.9815216064453125,-8.10241413116455,-7.931547164916992,-7.979950428009033,-8.090873718261719,-8.013371467590332,-8.046907424926758,-8.050087928771973,-8.062358856201172,-8.065053939819336,-8.034464836120605,-8.1323881149292,-8.077823638916016,-7.763524532318115,-8.046631813049316,-7.738394737243652,-8.049979209899902,-8.14528751373291,-8.044702529907227,-8.092368125915527,-8.016146659851074,-8.088709831237793,-7.949424743652344,-8.12281322479248,-8.031351089477539,-8.032207489013672,-8.044108390808105,-8.142290115356445,-8.07011604309082,-8.033035278320312,-8.067152976989746,-8.101580619812012,-8.078709602355957,-7.8369221687316895,-7.998974323272705,-8.040549278259277,-7.95979118347168,-8.046141624450684,-8.09922981262207,-8.020919799804688,-8.073588371276855,-8.043164253234863,-8.075187683105469,-8.08430004119873,-8.06831169128418,-8.044551849365234,-8.04529857635498,-8.088461875915527,-8.146271705627441,-7.7348103523254395,-8.081171989440918,-8.1588773727417,-8.037121772766113,-8.144965171813965,-8.173189163208008,-8.060626029968262,-7.677615165710449,-8.105154037475586,-7.9863810539245605,-8.042620658874512,-7.731123447418213,-8.147318840026855,-8.126936912536621,-8.062580108642578,-8.059725761413574,-8.057513236999512
会社役員,913490,767880,145620,-8.028883934020996,-7.881618022918701,-9.380130767822266,-8.140387535095215,-7.765337944030762,-7.681536674499512,-8.01648998260498,-7.863236904144287,-7.914528846740723,-7.81381893157959,-7.990511894226074,-7.588357925415039,-8.057570457458496,-16.102914810180664,-7.94810152053833,-7.797153472900391,-7.871662139892578,-7.755832672119141,-7.697901725769043,-7.754195213317871,-7.677237510681152,-7.809451580047607,-7.970893383026123,-7.801307678222656,-7.727821350097656,-7.712347984313965,-7.784472942352295,-7.697887420654297,-7.717535018920898,-7.761696815490723,-7.819911003112793,-7.81619930267334,-7.782413005828857,-7.762667655944824,-7.8594770431518555,-7.806403160095215,-7.788020610809326,-7.738758087158203,-7.767165660858154,-7.790045738220215,-7.993145942687988,-7.8053388595581055,-7.759780406951904,-7.731043815612793,-7.836917877197266,-7.825709819793701,-7.785719871520996,-7.762980937957764,-7.745113372802734,-7.8340559005737305,-7.682280540466309,-7.77878475189209,-7.743319988250732,-7.808444023132324,-7.785677909851074,-7.836817741394043,-7.707034587860107,-7.770286560058594,-7.8986005783081055,-7.755199432373047,-7.82233190536499,-7.7333478927612305,-7.785386562347412,-7.782318115234375,-7.834242820739746,-7.740294456481934,-7.79054594039917,-7.719395637512207,-7.755419731140137,-7.729680061340332,-7.813732624053955,-7.813697814941406,-7.754509925842285,-7.806207180023193,-7.791469573974609,-7.810286998748779,-7.726502418518066,-7.746021270751953,-8.109390258789062,-7.775941848754883,-8.039752960205078,-7.873459815979004,-7.769756317138672,-7.772299766540527,-7.855020046234131,-7.730751037597656,-7.827441215515137,-7.793631553649902,-7.743411064147949,-7.711891174316406,-7.774362564086914,-7.802321910858154,-7.836811065673828,-7.73530387878418,-7.842038631439209,-7.804296016693115,-7.805886268615723,-7.831090927124023,-7.9493584632873535,-7.711012840270996,-7.804430961608887,-7.810901165008545,-7.786107540130615,-7.696547508239746,-7.831223487854004,-7.864851951599121,-7.798625469207764,-7.820180416107178,-7.808215618133545,-7.880147933959961,-7.771724224090576,-7.978121757507324,-7.794766426086426,-7.835703372955322,-7.938384056091309,-7.790181636810303,-7.7493791580200195,-7.776522636413574,-7.800071716308594,-7.6655473709106445,-7.678286552429199,-8.015375137329102,-7.778491497039795,-7.691970348358154,-7.810931205749512,-8.129301071166992,-7.8779706954956055,-7.755470275878906,-7.829512596130371,-7.7638750076293945,-7.820425987243652
法人・団体管理的職業従事者,120420,112010,8400,-7.766791343688965,-8.91917610168457,-8.953933715820312,-7.6699676513671875,-8.00092887878418,-8.04002571105957,-7.64190673828125,-7.984514236450195,-7.634095191955566,-8.029057502746582,-7.72738790512085,-8.188894271850586,-7.703771114349365,-15.818962097167969,-8.095187187194824,-8.019786834716797,-7.970519065856934,-8.127880096435547,-8.085016250610352,-7.9929118156433105,-8.070286750793457,-8.028240203857422,-7.691018581390381,-8.039321899414062,-8.05451488494873,-7.941495418548584,-7.987626075744629,-8.115283966064453,-8.03257942199707,-8.06205940246582,-8.04231071472168,-8.143953323364258,-8.011818885803223,-8.01594066619873,-7.974710941314697,-8.026494979858398,-7.94190788269043,-7.9598894119262695,-8.043452262878418,-8.113496780395508,-7.604167938232422,-7.999395847320557,-8.079035758972168,-8.109992027282715,-7.970623970031738,-8.038196563720703,-8.117220878601074,-7.967955589294434,-7.955000400543213,-8.031693458557129,-7.926865577697754,-7.989550590515137,-7.968024253845215,-8.05758285522461,-8.010050773620605,-7.9477410316467285,-8.033642768859863,-8.07443618774414,-8.002799034118652,-7.931145191192627,-8.015780448913574,-7.999765872955322,-8.055338859558105,-8.049839973449707,-8.023478507995605,-7.9815216064453125,-8.10241413116455,-7.931547164916992,-7.979950428009033,-8.090873718261719,-8.013371467590332,-8.046907424926758,-8.050087928771973,-8.062358856201172,-8.065053939819336,-8.034464836120605,-8.1323881149292,-8.077823638916016,-7.763524532318115,-8.046631813049316,-7.738394737243652,-8.049979209899902,-8.14528751373291,-8.044702529907227,-8.092368125915527,-8.016146659851074,-8.088709831237793,-7.949424743652344,-8.12281322479248,-8.031351089477539,-8.032207489013672,-8.044108390808105,-8.142290115356445,-8.07011604309082,-8.033035278320312,-8.067152976989746,-8.101580619812012,-8.078709602355957,-7.8369221687316895,-7.998974323272705,-8.040549278259277,-7.95979118347168,-8.046141624450684,-8.09922981262207,-8.020919799804688,-8.073588371276855,-8.043164253234863,-8.075187683105469,-8.08430004119873,-8.06831169128418,-8.044551849365234,-8.04529857635498,-8.088461875915527,-8.146271705627441,-7.7348103523254395,-8.081171989440918,-8.1588773727417,-8.037121772766113,-8.144965171813965,-8.173189163208008,-8.060626029968262,-7.677615165710449,-8.105154037475586,-7.9863810539245605,-8.042620658874512,-7.731123447418213,-8.147318840026855,-8.126936912536621,-8.062580108642578,-8.059725761413574,-8.057513236999512
他に分類されない管理的職業従事者,55620,42480,13140,-7.234917640686035,-7.037315845489502,-7.053289413452148,-7.138698577880859,-18.429290771484375,-18.033504486083984,-7.171464920043945,-18.068635940551758,-7.092049598693848,-17.890127182006836,-7.167022705078125,-17.894668579101562,-7.123668670654297,-7.09062385559082,-11.492387771606445,-18.346424102783203,-7.199523448944092,-18.068668365478516,-17.794795989990234,-18.257841110229492,-18.391616821289062,-18.147064208984375,-7.145686149597168,-18.267288208007812,-7.337273597717285,-11.490056991577148,-17.814706802368164,-18.163772583007812,-7.288858890533447,-7.292719841003418,-12.148971557617188,-18.19477653503418,-18.434337615966797,-18.244905471801758,-17.931489944458008,-18.3866024017334,-17.927345275878906,-18.25348663330078,-11.478139877319336,-11.573150634765625,-7.299708366394043,-7.280113697052002,-7.25944709777832,-18.155885696411133,-11.56686019897461,-17.9980411529541,-7.294698715209961,-18.315011978149414,-18.466556549072266,-11.596391677856445,-12.159850120544434,-11.658319473266602,-11.704385757446289,-11.662494659423828,-17.87128448486328,-18.00598907470703,-7.284919738769531,-18.170612335205078,-12.085245132446289,-18.159229278564453,-18.205530166625977,-11.754981994628906,-12.06883430480957,-18.018075942993164,-11.638795852661133,-18.257020950317383,-18.306880950927734,-12.09666633605957,-18.15050506591797,-7.264472961425781,-17.680286407470703,-11.591817855834961,-11.498937606811523,-18.182554244995117,-12.012097358703613,-12.334001541137695,-17.924888610839844,-11.522558212280273,-7.379001617431641,-18.063539505004883,-7.338052749633789,-7.292547225952148,-18.621017456054688,-17.793933868408203,-11.798240661621094,-7.296596527099609,-11.648735046386719,-17.930084228515625,-11.698724746704102,-11.50582504272461,-17.855796813964844,-11.60940170288086,-11.58169937133789,-18.377422332763672,-7.263760566711426,-17.857481002807617,-11.604320526123047,-11.471134185791016,-7.360827445983887,-18.063995361328125,-11.508975982666016,-7.274242401123047,-18.466182708740234,-18.385540008544922,-7.214929580688477,-18.16913604736328,-11.943482398986816,-11.53205680847168,-11.561389923095703,-11.402717590332031,-17.820165634155273,-18.359867095947266,-18.562501907348633,-18.310253143310547,-7.394602298736572,-18.199556350708008,-17.85646629333496,-11.611696243286133,-18.273134231567383,-18.082469940185547,-11.992266654968262,-7.416084289550781,-7.279111862182617,-7.266383171081543,-11.529033660888672,-7.129950523376465,-18.58623504638672,-17.84217071533203,-7.29640007019043,-7.2738494873046875,-12.072798728942871
専門的・技術的職業従事者,10270980,5231410,5039570,-8.198785781860352,-7.824073314666748,-7.947566509246826,-8.241079330444336,-8.217796325683594,-8.312503814697266,-8.354694366455078,-8.221312522888184,-8.305681228637695,-8.161017417907715,-8.294061660766602,-7.848160743713379,-8.255270004272461,-8.011062622070312,-8.2006196975708,-7.973461151123047,-8.295223236083984,-8.1767578125,-8.15157699584961,-8.08950424194336,-8.084010124206543,-8.278609275817871,-8.346967697143555,-8.043033599853516,-8.178943634033203,-8.170486450195312,-8.154224395751953,-8.158408164978027,-8.210906982421875,-8.231575012207031,-8.083175659179688,-8.479984283447266,-8.166961669921875,-8.085861206054688,-8.220699310302734,-8.042350769042969,-8.376472473144531,-8.314777374267578,-8.066719055175781,-8.200993537902832,-8.313278198242188,-8.298958778381348,-8.165363311767578,-8.109485626220703,-8.085399627685547,-8.321235656738281,-8.110946655273438,-8.282610893249512,-8.347552299499512,-8.098692893981934,-8.219375610351562,-8.16080379486084,-8.167911529541016,-8.160385131835938,-8.489912986755371,-8.115180969238281,-8.246062278747559,-8.29818344116211,-7.974591255187988,-8.232166290283203,-8.096904754638672,-8.140953063964844,-8.12734317779541,-8.135784149169922,-8.098670959472656,-8.078300476074219,-8.146967887878418,-8.002196311950684,-8.151069641113281,-8.133522033691406,-8.054634094238281,-8.119647979736328,-8.111190795898438,-8.129923820495605,-8.169441223144531,-8.199958801269531,-8.094520568847656,-8.334617614746094,-8.305719375610352,-8.183514595031738,-8.31684684753418,-8.367851257324219,-8.388988494873047,-8.084205627441406,-8.153185844421387,-8.206687927246094,-8.412300109863281,-8.193221092224121,-8.019290924072266,-8.501864433288574,-8.216499328613281,-8.181175231933594,-8.216480255126953,-8.403376579284668,-8.148204803466797,-8.064311027526855,-8.089851379394531,-8.156028747558594,-8.313980102539062,-8.28012466430664,-8.092766761779785,-8.28720474243164,-8.308696746826172,-8.396469116210938,-8.134037971496582,-8.162895202636719,-8.313724517822266,-8.181755065917969,-8.13204288482666,-8.126800537109375,-8.075942993164062,-8.27120590209961,-8.127426147460938,-8.203296661376953,-8.198087692260742,-8.396410942077637,-8.147543907165527,-8.224560737609863,-8.21078872680664,-8.173080444335938,-8.253852844238281,-8.410839080810547,-8.064262390136719,-8.137065887451172,-8.166876792907715,-8.159523010253906,-8.346092224121094,-8.189358711242676,-8.33526611328125,-8.214583396911621,-8.42063045501709
研究者,103910,79640,24280,-9.567310333251953,-9.198908805847168,-9.159320831298828,-9.659076690673828,-9.613765716552734,-9.6231107711792,-9.564094543457031,-9.55655288696289,-9.589122772216797,-9.530323028564453,-9.529617309570312,-9.482006072998047,-9.712539672851562,-26.54960823059082,-9.625472068786621,-9.681777000427246,-9.569263458251953,-9.568126678466797,-9.638786315917969,-9.628364562988281,-9.622055053710938,-9.663314819335938,-9.74692153930664,-9.617813110351562,-9.608683586120605,-9.56329345703125,-9.585944175720215,-9.607468605041504,-9.590568542480469,-9.621292114257812,-9.62664794921875,-9.65380859375,-9.602752685546875,-9.625381469726562,-9.65041732788086,-9.59598445892334,-9.579146385192871,-9.6361083984375,-9.654102325439453,-9.591995239257812,-9.680564880371094,-9.664188385009766,-9.573257446289062,-9.612247467041016,-9.619308471679688,-9.554241180419922,-9.630218505859375,-9.58502197265625,-9.668769836425781,-9.593704223632812,-9.68508529663086,-9.609519958496094,-9.575729370117188,-9.62290096282959,-9.640182495117188,-9.62557601928711,-9.62643051147461,-9.63228988647461,-9.584617614746094,-9.557402610778809,-9.622791290283203,-9.589542388916016,-9.634517669677734,-9.613097190856934,-9.599292755126953,-9.521942138671875,-9.643360137939453,-9.607601165771484,-9.632652282714844,-9.594158172607422,-9.677101135253906,-9.618450164794922,-9.640887260437012,-9.651729583740234,-9.603614807128906,-9.628986358642578,-9.629546165466309,-9.542205810546875,-9.652069091796875,-9.622458457946777,-9.592761993408203,-9.621566772460938,-9.612236022949219,-9.605247497558594,-9.639899253845215,-9.592460632324219,-9.616809844970703,-9.61263656616211,-9.66451644897461,-9.733291625976562,-9.644168853759766,-9.573375701904297,-9.57712173461914,-9.634925842285156,-9.630714416503906,-9.640434265136719,-9.66726303100586,-9.603294372558594,-9.614707946777344,-9.579643249511719,-9.601543426513672,-9.644554138183594,-9.664066314697266,-9.58951187133789,-9.722541809082031,-9.665843963623047,-9.605720520019531,-9.615798950195312,-9.577800750732422,-9.669516563415527,-9.634753227233887,-9.680062294006348,-9.602409362792969,-9.710655212402344,-9.630119323730469,-9.695392608642578,-9.610950469970703,-9.660087585449219,-9.626174926757812,-9.582504272460938,-9.624557495117188,-9.622955322265625,-9.664695739746094,-9.661319732666016,-9.64443588256836,-9.738885879516602,-9.652885437011719,-9.654609680175781,-9.680015563964844,-9.65621566772461,-9.613784790039062
