職業,総数,男,女,正一の職種は,清の職種は,正雄の職種は,正の職種は,茂の職種は,武雄の職種は,正治の職種は,三郎の職種は,正夫の職種は,一郎の職種は,正二の職種は,義雄の職種は,正男の職種は,正三の職種は,勇の職種は,実の職種は,秀雄の職種は,辰雄の職種は,辰男の職種は,博の職種は,弘の職種は,進の職種は,武の職種は,一男の職種は,昭二の職種は,昭の職種は,和夫の職種は,昭一の職種は,昭三の職種は,幸雄の職種は,稔の職種は,明の職種は,昇の職種は,隆の職種は,勉の職種は,勝の職種は,勲の職種は,功の職種は,勝利の職種は,修の職種は,豊の職種は,誠の職種は,浩の職種は,徹の職種は,浩一の職種は,浩二の職種は,浩之の職種は,聡の職種は,剛の職種は,和彦の職種は,秀樹の職種は,哲也の職種は,直樹の職種は,達也の職種は,学の職種は,健一の職種は,淳の職種は,健の職種は,博之の職種は,英樹の職種は,崇の職種は,大輔の職種は,大介の職種は,亮の職種は,竜也の職種は,健太郎の職種は,洋平の職種は,健太の職種は,和也の職種は,翔の職種は,拓也の職種は,祐介の職種は,雄太の職種は,優の職種は,翔太の職種は,大樹の職種は,翔平の職種は,駿の職種は,大貴の職種は,貴大の職種は,大輝の職種は,翼の職種は,大地の職種は,亮太の職種は,拓哉の職種は,雄大の職種は,拓海の職種は,直人の職種は,康平の職種は,陸の職種は,海斗の職種は,一輝の職種は,涼太の職種は,匠の職種は,蓮の職種は,優斗の職種は,優太の職種は,颯太の職種は,大翔の職種は,太陽の職種は,悠斗の職種は,颯の職種は,輝の職種は,大和の職種は,空の職種は,陽向の職種は,悠人の職種は,悠太の職種は,瑛太の職種は,悠真の職種は,陽斗の職種は,颯真の職種は,歩夢の職種は,蒼空の職種は,大雅の職種は,樹の職種は,陽翔の職種は,陸斗の職種は,太一の職種は,海翔の職種は,湊の職種は,龍生の職種は,陽太の職種は,朝陽の職種は,悠の職種は,新の職種は,蒼の職種は,陽大の職種は,律の職種は,凪の職種は,碧の職種は
総数,57673630,31525680,26147950,-10.796211242675781,-10.704029083251953,-10.813068389892578,-10.807437896728516,-10.70269775390625,-10.724726676940918,-10.733155250549316,-10.715438842773438,-10.775599479675293,-10.725127220153809,-10.788176536560059,-10.716609001159668,-10.83591365814209,-10.811248779296875,-10.719108581542969,-10.725902557373047,-10.774710655212402,-10.689787864685059,-10.74899959564209,-10.688097953796387,-10.72143840789795,-10.695185661315918,-10.853713989257812,-10.754981994628906,-10.708056449890137,-10.663744926452637,-10.699848175048828,-10.681845664978027,-10.71661376953125,-10.672306060791016,-10.725679397583008,-10.703673362731934,-10.678325653076172,-10.687056541442871,-10.742744445800781,-10.744860649108887,-10.763705253601074,-10.733736991882324,-10.711772918701172,-10.752487182617188,-10.811999320983887,-10.645793914794922,-10.636076927185059,-10.725959777832031,-10.75796127319336,-10.719646453857422,-10.669455528259277,-10.728621482849121,-10.725173950195312,-10.747450828552246,-10.702897071838379,-10.735751152038574,-10.73785400390625,-10.729923248291016,-10.743010520935059,-10.756068229675293,-10.655250549316406,-10.679718017578125,-10.712688446044922,-10.699874877929688,-10.667407989501953,-10.784809112548828,-10.817333221435547,-10.698893547058105,-10.73408031463623,-10.690016746520996,-10.651320457458496,-10.729610443115234,-10.673465728759766,-10.700035095214844,-10.717792510986328,-10.77133560180664,-10.675758361816406,-10.714984893798828,-10.71256160736084,-10.659491539001465,-10.681140899658203,-10.690389633178711,-10.77392864227295,-10.60688304901123,-10.753833770751953,-10.698630332946777,-10.727897644042969,-10.758414268493652,-10.694254875183105,-10.63407039642334,-10.675376892089844,-10.723705291748047,-10.734268188476562,-10.663918495178223,-10.710692405700684,-10.691997528076172,-10.691702842712402,-10.730338096618652,-10.609137535095215,-10.692294120788574,-10.701744079589844,-10.699359893798828,-10.785560607910156,-10.656990051269531,-10.673789978027344,-10.711104393005371,-10.65053939819336,-10.722678184509277,-10.610472679138184,-10.665718078613281,-10.634712219238281,-10.686607360839844,-10.661761283874512,-10.674919128417969,-10.66577434539795,-10.65918254852295,-10.675823211669922,-10.603228569030762,-10.775047302246094,-10.664458274841309,-10.678694725036621,-10.679908752441406,-10.69851303100586,-10.694122314453125,-10.704026222229004,-10.695598602294922,-10.677367210388184,-10.591682434082031,-10.692851066589355,-10.795114517211914,-10.682685852050781,-10.625221252441406,-10.663363456726074,-10.685015678405762,-10.706718444824219
管理的職業従事者,1196900,1010680,186220,-11.699630737304688,-10.872542381286621,-11.202886581420898,-11.305705070495605,-12.351398468017578,-12.346006393432617,-11.495306015014648,-12.206904411315918,-11.0390043258667,-12.532306671142578,-11.624831199645996,-12.141490936279297,-11.807051658630371,-11.215567588806152,-12.345273971557617,-12.50400447845459,-12.593794822692871,-12.121057510375977,-12.14814281463623,-12.52581787109375,-12.598506927490234,-12.395407676696777,-11.343894004821777,-12.654101371765137,-12.27762222290039,-12.479669570922852,-12.51124095916748,-12.449877738952637,-12.29770278930664,-12.333045959472656,-12.617743492126465,-12.41269588470459,-12.516592025756836,-12.547781944274902,-12.625486373901367,-12.695185661315918,-12.330836296081543,-12.64097785949707,-12.505005836486816,-12.287322998046875,-11.339691162109375,-12.757559776306152,-12.499317169189453,-12.766996383666992,-12.955278396606445,-12.690245628356934,-12.07935619354248,-12.783842086791992,-12.63251781463623,-12.936901092529297,-12.711844444274902,-12.721659660339355,-12.964616775512695,-12.842185020446777,-12.45129680633545,-12.658742904663086,-12.639910697937012,-12.509090423583984,-12.752229690551758,-12.869956970214844,-12.537623405456543,-12.693853378295898,-12.831894874572754,-12.674361228942871,-12.752727508544922,-12.836605072021484,-12.531984329223633,-12.899023056030273,-12.795291900634766,-12.624732971191406,-12.923542022705078,-12.884566307067871,-12.415641784667969,-12.676210403442383,-12.745758056640625,-12.824573516845703,-12.5946044921875,-12.489420890808105,-11.553569793701172,-12.079802513122559,-11.54852294921875,-12.388484001159668,-12.585387229919434,-12.906156539916992,-12.75904369354248,-12.4008207321167,-12.892367362976074,-12.73022747039795,-12.560420036315918,-12.614897727966309,-12.620437622070312,-12.655281066894531,-12.522795677185059,-12.545844078063965,-12.633993148803711,-12.716146469116211,-12.332649230957031,-12.5899076461792,-11.522871017456055,-12.694414138793945,-12.786105155944824,-12.772218704223633,-12.583392143249512,-12.604890823364258,-12.246779441833496,-12.556217193603516,-12.70170783996582,-12.482320785522461,-12.412246704101562,-12.527739524841309,-12.678104400634766,-12.568713188171387,-12.987849235534668,-12.432518005371094,-11.36216926574707,-12.517690658569336,-12.563907623291016,-12.92905044555664,-12.367522239685059,-12.455070495605469,-12.511688232421875,-11.629149436950684,-12.438413619995117,-12.455804824829102,-12.572172164916992,-11.598672866821289,-12.551009178161621,-12.209249496459961,-12.80953311920166,-12.920440673828125,-12.658599853515625
管理的公務員,51870,44650,7220,-8.56418228149414,-8.41730785369873,-8.53547191619873,-8.49271297454834,-8.466655731201172,-8.584700584411621,-8.597450256347656,-8.26850414276123,-8.613865852355957,-8.290865898132324,-8.59600830078125,-8.470462799072266,-8.464789390563965,-8.547770500183105,-8.221529960632324,-8.344192504882812,-8.310164451599121,-8.468963623046875,-8.449740409851074,-8.343704223632812,-8.4422025680542,-8.454959869384766,-8.596346855163574,-8.390791893005371,-8.455000877380371,-8.289015769958496,-8.411224365234375,-8.402770042419434,-8.44132137298584,-8.391773223876953,-8.41833782196045,-8.35421371459961,-8.475359916687012,-8.371493339538574,-8.303791046142578,-8.39319133758545,-8.309722900390625,-8.346290588378906,-8.51318359375,-8.381804466247559,-8.841094017028809,-8.25204849243164,-8.309814453125,-8.231624603271484,-8.2096586227417,-8.355619430541992,-8.253692626953125,-8.378924369812012,-8.46384048461914,-8.191636085510254,-8.428675651550293,-8.28515625,-8.218806266784668,-8.206473350524902,-8.313569068908691,-8.40866470336914,-8.300163269042969,-8.372825622558594,-8.621334075927734,-8.395023345947266,-8.38906478881836,-8.245322227478027,-8.338908195495605,-8.190021514892578,-8.331072807312012,-8.411334037780762,-8.380244255065918,-8.262680053710938,-8.327996253967285,-8.297640800476074,-8.370406150817871,-8.22412395477295,-8.408084869384766,-8.426165580749512,-8.30428695678711,-8.414546966552734,-8.27424144744873,-8.027292251586914,-8.738155364990234,-8.318717956542969,-8.63883113861084,-8.452052116394043,-8.452689170837402,-8.413111686706543,-8.381500244140625,-8.405010223388672,-8.421009063720703,-8.28098201751709,-8.349349975585938,-8.588920593261719,-8.290000915527344,-8.317192077636719,-8.261382102966309,-8.3878173828125,-8.301730155944824,-8.319175720214844,-8.359511375427246,-8.121679306030273,-8.664192199707031,-8.3761625289917,-8.306727409362793,-8.160125732421875,-8.351325035095215,-8.627952575683594,-8.49496841430664,-8.433810234069824,-8.281699180603027,-8.271369934082031,-8.387321472167969,-8.334921836853027,-8.263205528259277,-8.237506866455078,-8.452177047729492,-8.386932373046875,-8.665804862976074,-8.561553955078125,-8.350724220275879,-8.427013397216797,-8.32293701171875,-8.448235511779785,-8.607368469238281,-8.543928146362305,-8.289507865905762,-8.655303001403809,-8.301810264587402,-8.611230850219727,-8.376208305358887,-8.272582054138184,-8.283276557922363,-8.348315238952637,-8.477409362792969
管理的公務員,51870,44650,7220,-8.56418228149414,-8.41730785369873,-8.53547191619873,-8.49271297454834,-8.466655731201172,-8.584700584411621,-8.597450256347656,-8.26850414276123,-8.613865852355957,-8.290865898132324,-8.59600830078125,-8.470462799072266,-8.464789390563965,-8.547770500183105,-8.221529960632324,-8.344192504882812,-8.310164451599121,-8.468963623046875,-8.449740409851074,-8.343704223632812,-8.4422025680542,-8.454959869384766,-8.596346855163574,-8.390791893005371,-8.455000877380371,-8.289015769958496,-8.411224365234375,-8.402770042419434,-8.44132137298584,-8.391773223876953,-8.41833782196045,-8.35421371459961,-8.475359916687012,-8.371493339538574,-8.303791046142578,-8.39319133758545,-8.309722900390625,-8.346290588378906,-8.51318359375,-8.381804466247559,-8.841094017028809,-8.25204849243164,-8.309814453125,-8.231624603271484,-8.2096586227417,-8.355619430541992,-8.253692626953125,-8.378924369812012,-8.46384048461914,-8.191636085510254,-8.428675651550293,-8.28515625,-8.218806266784668,-8.206473350524902,-8.313569068908691,-8.40866470336914,-8.300163269042969,-8.372825622558594,-8.621334075927734,-8.395023345947266,-8.38906478881836,-8.245322227478027,-8.338908195495605,-8.190021514892578,-8.331072807312012,-8.411334037780762,-8.380244255065918,-8.262680053710938,-8.327996253967285,-8.297640800476074,-8.370406150817871,-8.22412395477295,-8.408084869384766,-8.426165580749512,-8.30428695678711,-8.414546966552734,-8.27424144744873,-8.027292251586914,-8.738155364990234,-8.318717956542969,-8.63883113861084,-8.452052116394043,-8.452689170837402,-8.413111686706543,-8.381500244140625,-8.405010223388672,-8.421009063720703,-8.28098201751709,-8.349349975585938,-8.588920593261719,-8.290000915527344,-8.317192077636719,-8.261382102966309,-8.3878173828125,-8.301730155944824,-8.319175720214844,-8.359511375427246,-8.121679306030273,-8.664192199707031,-8.3761625289917,-8.306727409362793,-8.160125732421875,-8.351325035095215,-8.627952575683594,-8.49496841430664,-8.433810234069824,-8.281699180603027,-8.271369934082031,-8.387321472167969,-8.334921836853027,-8.263205528259277,-8.237506866455078,-8.452177047729492,-8.386932373046875,-8.665804862976074,-8.561553955078125,-8.350724220275879,-8.427013397216797,-8.32293701171875,-8.448235511779785,-8.607368469238281,-8.543928146362305,-8.289507865905762,-8.655303001403809,-8.301810264587402,-8.611230850219727,-8.376208305358887,-8.272582054138184,-8.283276557922363,-8.348315238952637,-8.477409362792969
法人・団体役員,968990,811530,157460,-7.755524635314941,-7.643705368041992,-7.7057719230651855,-7.603766918182373,-8.006940841674805,-8.056279182434082,-7.650261402130127,-7.968567848205566,-7.604767799377441,-8.028668403625488,-7.782532215118408,-8.124222755432129,-7.689098358154297,-7.740345001220703,-8.111712455749512,-7.995239734649658,-7.96978759765625,-8.113414764404297,-8.030648231506348,-8.026612281799316,-8.088390350341797,-8.050338745117188,-7.6615824699401855,-8.02503490447998,-8.0687837600708,-7.950617790222168,-7.990137577056885,-8.076128005981445,-8.063437461853027,-8.056653022766113,-8.047852516174316,-8.118521690368652,-8.04799747467041,-8.03724479675293,-7.991591453552246,-8.027935981750488,-7.965854644775391,-7.965147495269775,-8.028116226196289,-8.121016502380371,-7.6049394607543945,-8.002950668334961,-8.091248512268066,-8.103191375732422,-7.973289966583252,-8.040792465209961,-8.10594367980957,-7.986360549926758,-7.9787187576293945,-8.035714149475098,-7.915583610534668,-8.00153636932373,-7.986824035644531,-8.064770698547363,-8.060959815979004,-7.977344989776611,-8.031559944152832,-8.106711387634277,-8.04684066772461,-7.955451965332031,-8.02890682220459,-8.000429153442383,-8.054965019226074,-8.04470157623291,-8.021296501159668,-7.989171981811523,-8.08316421508789,-7.954376697540283,-7.987183570861816,-8.097726821899414,-7.998016834259033,-8.064949989318848,-8.076529502868652,-8.049911499023438,-8.05967903137207,-8.04586410522461,-8.100665092468262,-8.071638107299805,-7.803828239440918,-8.068136215209961,-7.726449012756348,-8.030150413513184,-8.144752502441406,-8.047347068786621,-8.087786674499512,-8.039186477661133,-8.100179672241211,-7.952831745147705,-8.11154842376709,-8.073517799377441,-8.03563117980957,-8.029507637023926,-8.124369621276855,-8.05203628540039,-8.061912536621094,-8.067048072814941,-8.1043062210083,-8.078298568725586,-7.8463945388793945,-7.968143939971924,-8.048798561096191,-7.963963508605957,-8.0162353515625,-8.076709747314453,-8.023436546325684,-8.051311492919922,-8.027595520019531,-8.07274341583252,-8.096637725830078,-8.05396842956543,-8.04283618927002,-8.02145767211914,-8.071897506713867,-8.132427215576172,-7.7391462326049805,-8.02890682220459,-8.14455795288086,-8.065853118896484,-8.123425483703613,-8.193181991577148,-8.084833145141602,-7.7156291007995605,-8.109781265258789,-7.992810249328613,-8.038276672363281,-7.942768096923828,-8.126114845275879,-8.132261276245117,-8.046201705932617,-8.058367729187012,-8.035439491271973
会社役員,913490,767880,145620,-8.045381546020508,-8.0103120803833,-8.126707077026367,-8.066763877868652,-7.840083599090576,-7.728912353515625,-8.017439842224121,-7.891780853271484,-7.91721248626709,-7.849870204925537,-7.963753700256348,-7.617125988006592,-8.116183280944824,-7.980466365814209,-7.9923810958862305,-7.794867515563965,-7.915530681610107,-7.783540725708008,-7.767706871032715,-7.784882545471191,-7.727781295776367,-7.822412014007568,-7.972880840301514,-7.8725810050964355,-7.737427711486816,-7.744025707244873,-7.814071178436279,-7.702967643737793,-7.725058555603027,-7.790450572967529,-7.860311508178711,-7.814444541931152,-7.837359428405762,-7.820620536804199,-7.875265121459961,-7.850943565368652,-7.820155620574951,-7.776846885681152,-7.849699974060059,-7.810458183288574,-7.9673919677734375,-7.813571453094482,-7.828008651733398,-7.7578277587890625,-7.903292655944824,-7.845100402832031,-7.808658123016357,-7.7983222007751465,-7.765061855316162,-7.867862224578857,-7.725152969360352,-7.824534893035889,-7.773919105529785,-7.8504133224487305,-7.8594770431518555,-7.8905029296875,-7.777230262756348,-7.806879997253418,-7.886958599090576,-7.791861057281494,-7.86244010925293,-7.765582084655762,-7.808438301086426,-7.829646110534668,-7.851634502410889,-7.764566421508789,-7.825296401977539,-7.740445613861084,-7.792571067810059,-7.766933441162109,-7.865013122558594,-7.867480278015137,-7.775197505950928,-7.8447184562683105,-7.815821647644043,-7.815767288208008,-7.75541877746582,-7.823294162750244,-8.115777969360352,-7.755753993988037,-7.994354248046875,-7.884024620056152,-7.813964366912842,-7.795812129974365,-7.885921001434326,-7.698912620544434,-7.900210380554199,-7.793643951416016,-7.777064323425293,-7.759093284606934,-7.786233901977539,-7.807644844055176,-7.825243949890137,-7.798948287963867,-7.856993675231934,-7.813891410827637,-7.8141937255859375,-7.857120037078857,-7.926474094390869,-7.780386924743652,-7.8037567138671875,-7.856338024139404,-7.835429668426514,-7.769999980926514,-7.818316459655762,-7.862899303436279,-7.834735870361328,-7.8446173667907715,-7.83821439743042,-7.903113842010498,-7.781567573547363,-7.954600811004639,-7.844392776489258,-7.840700149536133,-7.927325248718262,-7.853232383728027,-7.7732744216918945,-7.77815055847168,-7.790732383728027,-7.7090935707092285,-7.76222562789917,-7.965060710906982,-7.780634880065918,-7.692573070526123,-7.873206615447998,-8.105814933776855,-7.923396110534668,-7.769675254821777,-7.834052085876465,-7.810059547424316,-7.87214994430542
法人・団体管理的職業従事者,120420,112010,8400,-7.755524635314941,-7.643705368041992,-7.7057719230651855,-7.603766918182373,-8.006940841674805,-8.056279182434082,-7.650261402130127,-7.968567848205566,-7.604767799377441,-8.028668403625488,-7.782532215118408,-8.124222755432129,-7.689098358154297,-7.740345001220703,-8.111712455749512,-7.995239734649658,-7.96978759765625,-8.113414764404297,-8.030648231506348,-8.026612281799316,-8.088390350341797,-8.050338745117188,-7.6615824699401855,-8.02503490447998,-8.0687837600708,-7.950617790222168,-7.990137577056885,-8.076128005981445,-8.063437461853027,-8.056653022766113,-8.047852516174316,-8.118521690368652,-8.04799747467041,-8.03724479675293,-7.991591453552246,-8.027935981750488,-7.965854644775391,-7.965147495269775,-8.028116226196289,-8.121016502380371,-7.6049394607543945,-8.002950668334961,-8.091248512268066,-8.103191375732422,-7.973289966583252,-8.040792465209961,-8.10594367980957,-7.986360549926758,-7.9787187576293945,-8.035714149475098,-7.915583610534668,-8.00153636932373,-7.986824035644531,-8.064770698547363,-8.060959815979004,-7.977344989776611,-8.031559944152832,-8.106711387634277,-8.04684066772461,-7.955451965332031,-8.02890682220459,-8.000429153442383,-8.054965019226074,-8.04470157623291,-8.021296501159668,-7.989171981811523,-8.08316421508789,-7.954376697540283,-7.987183570861816,-8.097726821899414,-7.998016834259033,-8.064949989318848,-8.076529502868652,-8.049911499023438,-8.05967903137207,-8.04586410522461,-8.100665092468262,-8.071638107299805,-7.803828239440918,-8.068136215209961,-7.726449012756348,-8.030150413513184,-8.144752502441406,-8.047347068786621,-8.087786674499512,-8.039186477661133,-8.100179672241211,-7.952831745147705,-8.11154842376709,-8.073517799377441,-8.03563117980957,-8.029507637023926,-8.124369621276855,-8.05203628540039,-8.061912536621094,-8.067048072814941,-8.1043062210083,-8.078298568725586,-7.8463945388793945,-7.968143939971924,-8.048798561096191,-7.963963508605957,-8.0162353515625,-8.076709747314453,-8.023436546325684,-8.051311492919922,-8.027595520019531,-8.07274341583252,-8.096637725830078,-8.05396842956543,-8.04283618927002,-8.02145767211914,-8.071897506713867,-8.132427215576172,-7.7391462326049805,-8.02890682220459,-8.14455795288086,-8.065853118896484,-8.123425483703613,-8.193181991577148,-8.084833145141602,-7.7156291007995605,-8.109781265258789,-7.992810249328613,-8.038276672363281,-7.942768096923828,-8.126114845275879,-8.132261276245117,-8.046201705932617,-8.058367729187012,-8.035439491271973
他に分類されない管理的職業従事者,55620,42480,13140,-7.230639457702637,-7.076213836669922,-7.170368194580078,-17.778581619262695,-18.308151245117188,-11.549430847167969,-7.214840888977051,-18.296146392822266,-7.134840965270996,-17.993066787719727,-7.167192459106445,-17.795095443725586,-7.160399436950684,-7.2212233543396,-11.410663604736328,-18.200685501098633,-11.718461990356445,-11.250146865844727,-17.827007293701172,-17.98723793029785,-11.667198181152344,-17.80862045288086,-17.634565353393555,-11.616495132446289,-11.452333450317383,-11.401458740234375,-11.708108901977539,-11.542503356933594,-11.587337493896484,-18.152690887451172,-12.100019454956055,-18.075288772583008,-7.239758491516113,-18.07589340209961,-17.878070831298828,-11.666088104248047,-7.187053203582764,-11.431833267211914,-11.430225372314453,-11.493476867675781,-7.205200672149658,-7.286789894104004,-7.289218902587891,-7.289043426513672,-11.553422927856445,-11.677961349487305,-11.563276290893555,-18.326805114746094,-11.46279525756836,-11.579608917236328,-12.12733268737793,-11.588788986206055,-11.627592086791992,-11.577585220336914,-11.431177139282227,-7.333745956420898,-11.352285385131836,-11.519020080566406,-12.016186714172363,-12.036703109741211,-18.17594337463379,-11.636846542358398,-12.036293983459473,-11.524980545043945,-11.551666259765625,-11.626340866088867,-11.580282211303711,-12.026602745056152,-11.55202865600586,-7.271244049072266,-17.6632080078125,-11.547367095947266,-11.431024551391602,-11.473894119262695,-11.648107528686523,-11.514867782592773,-17.83473777770996,-11.470212936401367,-7.272159576416016,-17.878398895263672,-7.256309509277344,-18.1494197845459,-12.028285026550293,-17.777416229248047,-11.739459991455078,-17.923358917236328,-11.51772689819336,-17.921201705932617,-11.519145965576172,-11.347431182861328,-11.610551834106445,-11.63934326171875,-11.509305953979492,-18.12639045715332,-11.494100570678711,-11.451169967651367,-11.473623275756836,-11.405078887939453,-7.312839508056641,-18.143497467041016,-11.415090560913086,-18.292356491088867,-11.541645050048828,-17.98691177368164,-18.001911163330078,-17.916414260864258,-11.314050674438477,-11.460172653198242,-11.49323844909668,-11.346750259399414,-17.749027252197266,-18.180238723754883,-7.26643180847168,-18.16773223876953,-7.348500728607178,-11.65772819519043,-7.289801597595215,-11.54348373413086,-11.719280242919922,-17.83138084411621,-11.439935684204102,-7.392404556274414,-11.43408203125,-17.895483016967773,-11.473207473754883,-7.080132007598877,-18.436758041381836,-17.713375091552734,-11.649707794189453,-18.261028289794922,-11.316654205322266
専門的・技術的職業従事者,10270980,5231410,5039570,-7.9604644775390625,-7.748438835144043,-7.873584747314453,-7.900996208190918,-7.467567443847656,-7.456294059753418,-7.831759929656982,-7.605358123779297,-7.7760162353515625,-7.556262016296387,-7.8881072998046875,-7.469399452209473,-8.036993026733398,-7.933085918426514,-7.534816741943359,-7.59157133102417,-7.597880840301514,-7.57668399810791,-7.586967468261719,-7.375885009765625,-7.459223747253418,-7.4484100341796875,-7.698955535888672,-7.587055683135986,-7.506965637207031,-7.423084259033203,-7.5993266105651855,-7.4766340255737305,-7.56158447265625,-7.545486927032471,-7.467631816864014,-7.503420829772949,-7.418479919433594,-7.431049346923828,-7.43381404876709,-7.542677879333496,-7.543033599853516,-7.529220104217529,-7.429848670959473,-7.367793560028076,-7.7444682121276855,-7.432456016540527,-7.471209526062012,-7.495208263397217,-7.505400657653809,-7.599761962890625,-7.425835609436035,-7.604316711425781,-7.6148152351379395,-7.485206604003906,-7.532470226287842,-7.5777130126953125,-7.574981689453125,-7.540472507476807,-7.506457805633545,-7.5186262130737305,-7.5940165519714355,-7.496410369873047,-7.416378021240234,-7.614760875701904,-7.452381134033203,-7.546755790710449,-7.531970977783203,-7.5009260177612305,-7.55020809173584,-7.519015312194824,-7.532683372497559,-7.501735687255859,-7.576469898223877,-7.531088829040527,-7.540996074676514,-7.578777313232422,-7.4675092697143555,-7.47552490234375,-7.634941101074219,-7.368350982666016,-7.478564739227295,-7.456183910369873,-7.822710990905762,-7.481471061706543,-7.862322807312012,-7.540472984313965,-7.432013988494873,-7.581535339355469,-7.453112602233887,-7.335353851318359,-7.650382041931152,-7.576797008514404,-7.437560081481934,-7.524467945098877,-7.539522647857666,-7.479220867156982,-7.565711498260498,-7.546263694763184,-7.516711235046387,-7.468268871307373,-7.473636627197266,-7.510062217712402,-7.745090007781982,-7.271980285644531,-7.4899444580078125,-7.471096038818359,-7.5126566886901855,-7.489936828613281,-7.2788310050964355,-7.392482757568359,-7.642718315124512,-7.570121765136719,-7.612025260925293,-7.550753593444824,-7.471984386444092,-7.647285461425781,-7.545840740203857,-7.427032947540283,-7.725058555603027,-7.447608470916748,-7.511196136474609,-7.520903587341309,-7.5298004150390625,-7.461971282958984,-7.482433319091797,-7.735470771789551,-7.466811656951904,-7.300082683563232,-7.533801078796387,-7.795878887176514,-7.6191864013671875,-7.382099151611328,-7.565982818603516,-7.582572937011719,-7.49287748336792
研究者,103910,79640,24280,-9.487815856933594,-9.56247329711914,-9.46923828125,-9.479900360107422,-9.607688903808594,-9.617843627929688,-9.52615737915039,-9.550823211669922,-9.491439819335938,-9.540092468261719,-9.5188627243042,-9.503837585449219,-9.598902702331543,-9.59765911102295,-9.600719451904297,-9.631961822509766,-9.582889556884766,-9.587394714355469,-9.632362365722656,-9.627196311950684,-9.610824584960938,-9.658283233642578,-9.630699157714844,-9.597332000732422,-9.630043029785156,-9.575968742370605,-9.589435577392578,-9.620250701904297,-9.617488861083984,-9.60367202758789,-9.627429962158203,-9.621710777282715,-9.609809875488281,-9.619551658630371,-9.612476348876953,-9.591644287109375,-9.593570709228516,-9.618709564208984,-9.60205078125,-9.570991516113281,-9.626640319824219,-9.64697265625,-9.56735610961914,-9.618900299072266,-9.62387466430664,-9.545814514160156,-9.643023490905762,-9.591621398925781,-9.660980224609375,-9.599746704101562,-9.680248260498047,-9.594706535339355,-9.569103240966797,-9.611793518066406,-9.565143585205078,-9.6190185546875,-9.633170127868652,-9.612088203430176,-9.606639862060547,-9.582267761230469,-9.603649139404297,-9.593757629394531,-9.643253326416016,-9.613903045654297,-9.602340698242188,-9.542034149169922,-9.618152618408203,-9.600887298583984,-9.637672424316406,-9.604812622070312,-9.675216674804688,-9.623405456542969,-9.640922546386719,-9.67596435546875,-9.611198425292969,-9.6342191696167,-9.619215965270996,-9.514045715332031,-9.604292869567871,-9.625640869140625,-9.553718566894531,-9.637714385986328,-9.582084655761719,-9.607315063476562,-9.653594970703125,-9.600249290466309,-9.617209434509277,-9.612345695495605,-9.66602611541748,-9.699878692626953,-9.649802207946777,-9.58218765258789,-9.590438842773438,-9.618354797363281,-9.650070190429688,-9.649311065673828,-9.685798645019531,-9.597618103027344,-9.583168029785156,-9.53973388671875,-9.602225303649902,-9.632583618164062,-9.644416809082031,-9.599371910095215,-9.648341178894043,-9.648197174072266,-9.587874412536621,-9.62501049041748,-9.590400695800781,-9.650455474853516,-9.63214111328125,-9.642355918884277,-9.538150787353516,-9.673881530761719,-9.557743072509766,-9.655967712402344,-9.624229431152344,-9.667654991149902,-9.615009307861328,-9.607868194580078,-9.608966827392578,-9.589515686035156,-9.657157897949219,-9.6488037109375,-9.652774810791016,-9.629714965820312,-9.64783763885498,-9.658863067626953,-9.661433219909668,-9.633834838867188,-9.60906982421875
