職業,総数,男,女,正一の職業は,清の職業は,正雄の職業は,正の職業は,茂の職業は,武雄の職業は,正治の職業は,三郎の職業は,正夫の職業は,一郎の職業は,正二の職業は,義雄の職業は,正男の職業は,正三の職業は,勇の職業は,実の職業は,秀雄の職業は,辰雄の職業は,辰男の職業は,博の職業は,弘の職業は,進の職業は,武の職業は,一男の職業は,昭二の職業は,昭の職業は,和夫の職業は,昭一の職業は,昭三の職業は,幸雄の職業は,稔の職業は,明の職業は,昇の職業は,隆の職業は,勉の職業は,勝の職業は,勲の職業は,功の職業は,勝利の職業は,修の職業は,豊の職業は,誠の職業は,浩の職業は,徹の職業は,浩一の職業は,浩二の職業は,浩之の職業は,聡の職業は,剛の職業は,和彦の職業は,秀樹の職業は,哲也の職業は,直樹の職業は,達也の職業は,学の職業は,健一の職業は,淳の職業は,健の職業は,博之の職業は,英樹の職業は,崇の職業は,大輔の職業は,大介の職業は,亮の職業は,竜也の職業は,健太郎の職業は,洋平の職業は,健太の職業は,和也の職業は,翔の職業は,拓也の職業は,祐介の職業は,雄太の職業は,優の職業は,翔太の職業は,大樹の職業は,翔平の職業は,駿の職業は,大貴の職業は,貴大の職業は,大輝の職業は,翼の職業は,大地の職業は,亮太の職業は,拓哉の職業は,雄大の職業は,拓海の職業は,直人の職業は,康平の職業は,陸の職業は,海斗の職業は,一輝の職業は,涼太の職業は,匠の職業は,蓮の職業は,優斗の職業は,優太の職業は,颯太の職業は,大翔の職業は,太陽の職業は,悠斗の職業は,颯の職業は,輝の職業は,大和の職業は,空の職業は,陽向の職業は,悠人の職業は,悠太の職業は,瑛太の職業は,悠真の職業は,陽斗の職業は,颯真の職業は,歩夢の職業は,蒼空の職業は,大雅の職業は,樹の職業は,陽翔の職業は,陸斗の職業は,太一の職業は,海翔の職業は,湊の職業は,龍生の職業は,陽太の職業は,朝陽の職業は,悠の職業は,新の職業は,蒼の職業は,陽大の職業は,律の職業は,凪の職業は,碧の職業は
総数,57673630,31525680,26147950,-8.369930267333984,-8.328418731689453,-8.53794002532959,-6.898395538330078,-9.570873260498047,-8.107437133789062,-9.587371826171875,-9.70052719116211,-8.644065856933594,-8.625431060791016,-7.650782108306885,-7.837406158447266,-8.634078979492188,-8.55957317352295,-8.472776412963867,-7.720618724822998,-8.694480895996094,-8.941031455993652,-9.76690673828125,-8.48908805847168,-7.937690734863281,-7.638720989227295,-8.613677978515625,-7.998594284057617,-8.692401885986328,-8.2462158203125,-7.975400924682617,-8.416584014892578,-9.501396179199219,-9.576515197753906,-8.384354591369629,-9.78749942779541,-8.162283897399902,-8.142330169677734,-8.691997528076172,-10.650611877441406,-7.950945854187012,-8.473716735839844,-8.06129264831543,-10.07171630859375,-9.843467712402344,-8.552177429199219,-9.136856079101562,-8.76218032836914,-8.640658378601074,-7.9532246589660645,-9.883419036865234,-10.055561065673828,-8.670391082763672,-8.219568252563477,-8.629043579101562,-8.70172119140625,-9.553169250488281,-10.033767700195312,-6.853119850158691,-8.937047958374023,-8.459232330322266,-7.673942565917969,-8.244613647460938,-8.628349304199219,-9.05515193939209,-8.59439468383789,-9.750350952148438,-8.923213958740234,-8.550971984863281,-9.511775970458984,-8.408111572265625,-9.619155883789062,-8.181617736816406,-9.293537139892578,-8.320314407348633,-8.516910552978516,-9.617835998535156,-8.194473266601562,-8.585784912109375,-9.540458679199219,-8.360090255737305,-10.86172103881836,-9.15469741821289,-8.49166488647461,-9.668106079101562,-9.136463165283203,-9.84536361694336,-9.457221984863281,-8.283100128173828,-9.613763809204102,-8.877863883972168,-8.997161865234375,-9.522298812866211,-8.781805038452148,-8.563129425048828,-9.403545379638672,-10.237090110778809,-8.460826873779297,-9.743030548095703,-8.707416534423828,-8.696544647216797,-11.22517204284668,-9.323631286621094,-8.840312957763672,-10.048664093017578,-9.38865852355957,-9.357311248779297,-9.13714599609375,-9.962945938110352,-9.69485092163086,-9.084991455078125,-9.468578338623047,-9.44301986694336,-10.012605667114258,-8.760128021240234,-8.090476989746094,-9.994457244873047,-9.088968276977539,-8.863269805908203,-8.135531425476074,-8.906867980957031,-8.54983139038086,-8.508907318115234,-8.747992515563965,-9.393043518066406,-8.857589721679688,-8.709022521972656,-8.995688438415527,-8.976831436157227,-8.409996032714844,-10.310050010681152,-8.876365661621094,-9.46664047241211,-14.637173652648926,-10.335247039794922
管理的職業従事者,1196900,1010680,186220,-7.605541229248047,-11.262819290161133,-7.5821075439453125,-8.300151824951172,-9.020618438720703,-8.520774841308594,-7.767848968505859,-10.528644561767578,-7.19736385345459,-7.3691182136535645,-7.29511833190918,-7.947444915771484,-7.363240718841553,-8.844560623168945,-8.528182983398438,-9.035476684570312,-9.153451919555664,-10.337824821472168,-9.865426063537598,-7.672183990478516,-7.6969757080078125,-9.370707511901855,-9.313430786132812,-7.3076019287109375,-8.622934341430664,-8.906293869018555,-8.463010787963867,-8.625541687011719,-10.088191986083984,-8.809612274169922,-8.965250015258789,-9.060954093933105,-9.105489730834961,-7.7010345458984375,-9.34868335723877,-9.133447647094727,-6.8398518562316895,-7.189018249511719,-7.581817150115967,-8.444974899291992,-9.348236083984375,-6.862152099609375,-7.906358242034912,-7.041881084442139,-8.682147979736328,-8.94822883605957,-7.677730560302734,-8.028526306152344,-7.2705607414245605,-7.355682373046875,-7.687886714935303,-6.820934295654297,-7.113047122955322,-7.436716079711914,-6.808811187744141,-6.923622131347656,-7.645139694213867,-9.215883255004883,-8.075706481933594,-8.774837493896484,-7.831806182861328,-8.540298461914062,-8.807266235351562,-8.405033111572266,-8.289889335632324,-7.827901363372803,-8.978815078735352,-8.048177719116211,-7.9884467124938965,-7.742682933807373,-6.991100788116455,-8.71037483215332,-8.731696128845215,-8.474845886230469,-7.471439361572266,-8.00200080871582,-8.708475112915039,-7.841368675231934,-8.168208122253418,-8.597728729248047,-7.956594467163086,-9.171606063842773,-10.590816497802734,-7.789359092712402,-6.913446426391602,-8.436500549316406,-7.897804260253906,-8.851581573486328,-8.708534240722656,-11.120102882385254,-7.820272445678711,-8.05810546875,-7.705214977264404,-9.042920112609863,-9.958621978759766,-8.22932243347168,-8.103067398071289,-8.040027618408203,-7.411907196044922,-7.253002166748047,-8.130905151367188,-8.215869903564453,-8.218629837036133,-10.880485534667969,-7.560434341430664,-10.40405559539795,-8.527950286865234,-8.104703903198242,-8.750194549560547,-9.11563491821289,-9.429458618164062,-7.644881248474121,-9.966800689697266,-7.111963272094727,-7.265384674072266,-8.71430492401123,-9.140583038330078,-8.885948181152344,-9.132694244384766,-7.478092193603516,-9.682479858398438,-8.34677791595459,-9.650861740112305,-8.741525650024414,-8.784351348876953,-7.480195999145508,-7.332927227020264,-9.445728302001953,-10.213103294372559,-9.869977951049805,-8.927947998046875
管理的公務員,51870,44650,7220,-7.344089508056641,-10.475821495056152,-7.590689659118652,-7.8986358642578125,-8.94279670715332,-9.038229942321777,-7.514167785644531,-10.049396514892578,-6.8658342361450195,-7.807644367218018,-7.296393871307373,-8.049186706542969,-7.211569309234619,-7.753421306610107,-8.176644325256348,-8.950732231140137,-8.624774932861328,-9.765917778015137,-9.678791046142578,-7.411757469177246,-7.783397674560547,-9.309828758239746,-8.914852142333984,-7.085378646850586,-8.832029342651367,-9.244163513183594,-8.686166763305664,-8.905340194702148,-9.767044067382812,-8.830192565917969,-8.629987716674805,-9.224712371826172,-9.108512878417969,-7.8174896240234375,-9.018966674804688,-9.445183753967285,-8.110054016113281,-7.608745574951172,-6.9088239669799805,-8.471575736999512,-9.581038475036621,-6.643584251403809,-8.338866233825684,-6.775734901428223,-8.916337966918945,-8.997182846069336,-8.175946235656738,-8.148387908935547,-7.756713390350342,-7.401484489440918,-8.234652519226074,-7.077091217041016,-7.836062431335449,-8.037524223327637,-6.229377746582031,-7.172966003417969,-8.251978874206543,-9.437289237976074,-7.591739654541016,-8.808512687683105,-7.725203990936279,-8.878268241882324,-8.917818069458008,-8.735757827758789,-7.847896575927734,-8.386646270751953,-8.9832763671875,-8.433966636657715,-7.733397483825684,-8.203754425048828,-7.310810089111328,-8.94581413269043,-9.23935604095459,-8.487116813659668,-7.5308685302734375,-8.268959045410156,-8.885082244873047,-7.076084613800049,-8.482558250427246,-8.519611358642578,-8.198955535888672,-8.667648315429688,-10.39996337890625,-8.166912078857422,-7.1745147705078125,-7.434783935546875,-7.023879051208496,-8.8292875289917,-9.063901901245117,-10.207223892211914,-7.897605895996094,-8.337458610534668,-8.181723594665527,-7.481898307800293,-8.469100952148438,-8.465044975280762,-8.41706371307373,-7.931126117706299,-7.906150817871094,-7.621951580047607,-8.249996185302734,-8.010913848876953,-8.413496971130371,-10.54581356048584,-7.776528358459473,-8.511262893676758,-8.411487579345703,-8.323931694030762,-8.018451690673828,-8.214866638183594,-9.068893432617188,-7.168935775756836,-8.832945823669434,-6.537041664123535,-7.098545074462891,-8.473966598510742,-9.06246566772461,-8.850866317749023,-9.070465087890625,-7.834270477294922,-9.208914756774902,-8.233783721923828,-9.208660125732422,-8.513331413269043,-8.346519470214844,-7.376365661621094,-6.624107360839844,-9.122791290283203,-8.67432689666748,-7.41619873046875,-8.195030212402344
管理的公務員,51870,44650,7220,-7.344089508056641,-10.475821495056152,-7.590689659118652,-7.8986358642578125,-8.94279670715332,-9.038229942321777,-7.514167785644531,-10.049396514892578,-6.8658342361450195,-7.807644367218018,-7.296393871307373,-8.049186706542969,-7.211569309234619,-7.753421306610107,-8.176644325256348,-8.950732231140137,-8.624774932861328,-9.765917778015137,-9.678791046142578,-7.411757469177246,-7.783397674560547,-9.309828758239746,-8.914852142333984,-7.085378646850586,-8.832029342651367,-9.244163513183594,-8.686166763305664,-8.905340194702148,-9.767044067382812,-8.830192565917969,-8.629987716674805,-9.224712371826172,-9.108512878417969,-7.8174896240234375,-9.018966674804688,-9.445183753967285,-8.110054016113281,-7.608745574951172,-6.9088239669799805,-8.471575736999512,-9.581038475036621,-6.643584251403809,-8.338866233825684,-6.775734901428223,-8.916337966918945,-8.997182846069336,-8.175946235656738,-8.148387908935547,-7.756713390350342,-7.401484489440918,-8.234652519226074,-7.077091217041016,-7.836062431335449,-8.037524223327637,-6.229377746582031,-7.172966003417969,-8.251978874206543,-9.437289237976074,-7.591739654541016,-8.808512687683105,-7.725203990936279,-8.878268241882324,-8.917818069458008,-8.735757827758789,-7.847896575927734,-8.386646270751953,-8.9832763671875,-8.433966636657715,-7.733397483825684,-8.203754425048828,-7.310810089111328,-8.94581413269043,-9.23935604095459,-8.487116813659668,-7.5308685302734375,-8.268959045410156,-8.885082244873047,-7.076084613800049,-8.482558250427246,-8.519611358642578,-8.198955535888672,-8.667648315429688,-10.39996337890625,-8.166912078857422,-7.1745147705078125,-7.434783935546875,-7.023879051208496,-8.8292875289917,-9.063901901245117,-10.207223892211914,-7.897605895996094,-8.337458610534668,-8.181723594665527,-7.481898307800293,-8.469100952148438,-8.465044975280762,-8.41706371307373,-7.931126117706299,-7.906150817871094,-7.621951580047607,-8.249996185302734,-8.010913848876953,-8.413496971130371,-10.54581356048584,-7.776528358459473,-8.511262893676758,-8.411487579345703,-8.323931694030762,-8.018451690673828,-8.214866638183594,-9.068893432617188,-7.168935775756836,-8.832945823669434,-6.537041664123535,-7.098545074462891,-8.473966598510742,-9.06246566772461,-8.850866317749023,-9.070465087890625,-7.834270477294922,-9.208914756774902,-8.233783721923828,-9.208660125732422,-8.513331413269043,-8.346519470214844,-7.376365661621094,-6.624107360839844,-9.122791290283203,-8.67432689666748,-7.41619873046875,-8.195030212402344
法人・団体役員,968990,811530,157460,-6.825586318969727,-5.922263145446777,-6.732696533203125,-6.357439041137695,-6.730241775512695,-6.209659576416016,-6.922567367553711,-5.459072589874268,-6.257696151733398,-6.335666179656982,-6.1179046630859375,-6.149543762207031,-6.400535583496094,-6.4850006103515625,-6.921138763427734,-7.783145427703857,-6.378291606903076,-6.031688213348389,-6.341218948364258,-5.983253479003906,-6.515026092529297,-5.976299285888672,-7.006158828735352,-5.936452865600586,-6.9102935791015625,-7.299076080322266,-6.4397735595703125,-6.798076629638672,-5.7025146484375,-5.508867263793945,-6.558324813842773,-6.7349853515625,-6.71983528137207,-6.335472106933594,-6.681095123291016,-5.578292369842529,-8.014408111572266,-5.760379314422607,-6.4785003662109375,-5.8958587646484375,-5.753142356872559,-6.203865051269531,-6.080562591552734,-6.682738780975342,-6.573951721191406,-5.7318339347839355,-6.532115936279297,-6.095514297485352,-6.8863630294799805,-6.402265548706055,-6.316001892089844,-6.020538330078125,-6.44158935546875,-5.9905548095703125,-6.2286601066589355,-6.690547943115234,-6.125885009765625,-5.575145721435547,-6.541454315185547,-6.741523742675781,-6.120353698730469,-6.297145366668701,-5.280607223510742,-6.508853912353516,-6.467968463897705,-6.233219146728516,-6.749637126922607,-6.396989822387695,-6.432352066040039,-6.228118419647217,-6.441722869873047,-6.601347923278809,-6.516628265380859,-5.536365509033203,-6.406772613525391,-6.353271484375,-6.410285949707031,-8.178333282470703,-6.171375274658203,-6.545787811279297,-6.405584335327148,-6.583133697509766,-6.209327697753906,-6.186801910400391,-6.455295562744141,-7.146064758300781,-6.319772720336914,-6.714916229248047,-5.5123209953308105,-6.491130828857422,-6.710834503173828,-6.2260518074035645,-6.4598846435546875,-5.771099090576172,-6.3083953857421875,-6.4957427978515625,-6.437012195587158,-6.453052520751953,-6.315948486328125,-6.32844877243042,-6.521209716796875,-5.862531661987305,-6.391866683959961,-6.101219177246094,-6.390064239501953,-6.3460693359375,-6.476720809936523,-6.3008880615234375,-6.441173076629639,-6.248546600341797,-6.613889694213867,-6.251579284667969,-6.314933776855469,-6.140558242797852,-6.453346252441406,-5.254812240600586,-7.394287109375,-6.529298782348633,-6.70875358581543,-6.398899078369141,-7.509840965270996,-6.230880260467529,-6.519325256347656,-7.998294353485107,-6.290178298950195,-6.5807342529296875,-7.698158264160156,-7.548595428466797,-6.516619682312012,-6.75300407409668,-7.194597244262695
会社役員,913490,767880,145620,-10.981459617614746,-12.44559383392334,-10.974262237548828,-10.842239379882812,-12.43179702758789,-10.08969497680664,-10.310580253601074,-11.573259353637695,-11.285072326660156,-10.402342796325684,-11.007329940795898,-9.39161491394043,-11.67024040222168,-9.957225799560547,-11.525004386901855,-12.983358383178711,-10.349143028259277,-11.286620140075684,-9.818399429321289,-11.096697807312012,-11.236763000488281,-13.08808708190918,-11.77975845336914,-11.80972671508789,-12.17052936553955,-12.53200912475586,-10.593856811523438,-12.121122360229492,-11.32560920715332,-12.207507133483887,-10.549816131591797,-11.248249053955078,-12.743631362915039,-11.082035064697266,-12.444635391235352,-12.696428298950195,-11.327682495117188,-11.303905487060547,-11.599272727966309,-11.65998649597168,-13.076956748962402,-10.375473022460938,-11.746504783630371,-11.233158111572266,-10.771689414978027,-12.280494689941406,-11.695626258850098,-11.792835235595703,-11.003800392150879,-10.285665512084961,-11.553851127624512,-11.21652603149414,-11.716580390930176,-11.746943473815918,-11.407610893249512,-11.12766170501709,-11.600218772888184,-12.939775466918945,-10.15908145904541,-10.667954444885254,-10.847186088562012,-10.547211647033691,-10.85733699798584,-10.609976768493652,-10.493866920471191,-11.77599048614502,-10.859928131103516,-11.791489601135254,-10.792479515075684,-11.965472221374512,-10.237652778625488,-10.764439582824707,-12.647954940795898,-11.023359298706055,-10.353495597839355,-11.811817169189453,-10.386200904846191,-11.67717170715332,-11.61701774597168,-11.320754051208496,-11.807921409606934,-11.217339515686035,-11.7031888961792,-11.698046684265137,-10.412403106689453,-11.591411590576172,-10.370001792907715,-11.669258117675781,-12.348097801208496,-12.054978370666504,-10.581083297729492,-11.866220474243164,-11.75253963470459,-10.401741027832031,-12.291181564331055,-11.988779067993164,-12.106207847595215,-10.587782859802246,-11.774417877197266,-9.326278686523438,-11.967287063598633,-10.726669311523438,-12.105118751525879,-11.889551162719727,-11.203170776367188,-11.324298858642578,-11.905515670776367,-11.932347297668457,-11.902308464050293,-11.876873970031738,-10.020315170288086,-10.779850006103516,-12.078158378601074,-11.073535919189453,-10.9132719039917,-10.889616012573242,-12.14197063446045,-9.837092399597168,-11.428667068481445,-10.849830627441406,-11.376028060913086,-10.4780855178833,-10.357399940490723,-10.326634407043457,-11.445958137512207,-12.07037353515625,-11.28639030456543,-10.97616958618164,-12.348987579345703,-12.484947204589844,-11.792734146118164
法人・団体管理的職業従事者,120420,112010,8400,-6.825586318969727,-5.922263145446777,-6.732696533203125,-6.357439041137695,-6.730241775512695,-6.209659576416016,-6.922567367553711,-5.459072589874268,-6.257696151733398,-6.335666179656982,-6.1179046630859375,-6.149543762207031,-6.400535583496094,-6.4850006103515625,-6.921138763427734,-7.783145427703857,-6.378291606903076,-6.031688213348389,-6.341218948364258,-5.983253479003906,-6.515026092529297,-5.976299285888672,-7.006158828735352,-5.936452865600586,-6.9102935791015625,-7.299076080322266,-5.012626647949219,-6.798076629638672,-5.7025146484375,-5.508867263793945,-6.558324813842773,-6.7349853515625,-6.71983528137207,-6.335472106933594,-6.681095123291016,-5.578292369842529,-8.014408111572266,-5.760379314422607,-6.4785003662109375,-5.8958587646484375,-5.753142356872559,-6.203865051269531,-6.080562591552734,-6.682738780975342,-6.573951721191406,-5.7318339347839355,-6.532115936279297,-6.095514297485352,-6.8863630294799805,-6.402265548706055,-6.316001892089844,-6.020538330078125,-6.44158935546875,-5.9905548095703125,-6.2286601066589355,-6.690547943115234,-6.125885009765625,-5.575145721435547,-6.541454315185547,-6.741523742675781,-6.120353698730469,-6.297145366668701,-5.280607223510742,-6.508853912353516,-6.467968463897705,-6.233219146728516,-6.749637126922607,-6.396989822387695,-6.432352066040039,-6.228118419647217,-6.441722869873047,-6.601347923278809,-6.516628265380859,-5.536365509033203,-6.406772613525391,-6.353271484375,-5.5162811279296875,-8.178333282470703,-6.171375274658203,-6.545787811279297,-6.405584335327148,-6.583133697509766,-6.209327697753906,-6.186801910400391,-6.455295562744141,-7.146064758300781,-6.319772720336914,-6.714916229248047,-5.5123209953308105,-6.491130828857422,-6.710834503173828,-6.2260518074035645,-6.4598846435546875,-5.771099090576172,-6.3083953857421875,-6.4957427978515625,-6.437012195587158,-6.453052520751953,-6.315948486328125,-6.32844877243042,-6.521209716796875,-5.862531661987305,-6.391866683959961,-6.101219177246094,-6.390064239501953,-6.3460693359375,-6.476720809936523,-6.3008880615234375,-6.441173076629639,-6.248546600341797,-6.613889694213867,-6.251579284667969,-6.314933776855469,-6.140558242797852,-6.453346252441406,-5.254812240600586,-7.394287109375,-6.529298782348633,-6.70875358581543,-6.398899078369141,-7.509840965270996,-6.230880260467529,-6.519325256347656,-7.998294353485107,-6.290178298950195,-6.5807342529296875,-7.698158264160156,-7.548595428466797,-6.516619682312012,-6.75300407409668,-7.194597244262695
他に分類されない管理的職業従事者,55620,42480,13140,-6.101238250732422,-6.698302745819092,-5.995578765869141,-6.064060211181641,-6.113986968994141,-6.089454174041748,-6.423527240753174,-5.874507427215576,-6.421649932861328,-5.782542705535889,-6.267127513885498,-6.1612091064453125,-6.4131011962890625,-6.280814170837402,-6.39345121383667,-6.011081695556641,-6.194011688232422,-6.191974639892578,-6.455543518066406,-5.901050567626953,-6.019589424133301,-6.104862213134766,-6.282168865203857,-6.180774688720703,-6.1851654052734375,-6.287333965301514,-5.896809101104736,-6.19398832321167,-6.110889434814453,-6.0552825927734375,-6.125354766845703,-6.203441143035889,-6.307498931884766,-6.142059326171875,-6.38177490234375,-6.503086090087891,-6.124469757080078,-6.384056091308594,-5.726306915283203,-6.470706939697266,-6.2413105964660645,-6.2103118896484375,-6.004009246826172,-6.565425872802734,-6.001495361328125,-6.120491027832031,-6.069477081298828,-6.1745147705078125,-6.198337554931641,-6.017231464385986,-5.830280303955078,-5.9409332275390625,-5.999397277832031,-6.065281391143799,-5.710865497589111,-5.780666351318359,-6.031986236572266,-6.4918060302734375,-6.14534330368042,-5.955707550048828,-6.210071563720703,-6.163173198699951,-6.268993377685547,-6.200954437255859,-6.473594665527344,-6.449958324432373,-6.59385347366333,-6.937575340270996,-6.2454071044921875,-6.18540620803833,-6.370589733123779,-6.388896942138672,-6.291805267333984,-6.661491870880127,-6.7302398681640625,-5.876041412353516,-6.61981201171875,-6.151435852050781,-6.347229480743408,-6.533420562744141,-6.225536346435547,-5.3884429931640625,-6.4843597412109375,-6.608058929443359,-6.3773345947265625,-5.9068145751953125,-6.188381195068359,-6.684028625488281,-6.126354217529297,-5.7620038986206055,-6.590244293212891,-6.255901336669922,-6.910423278808594,-6.957474231719971,-6.353408336639404,-6.778331756591797,-6.923572540283203,-6.242595672607422,-6.331298828125,-5.653007984161377,-6.760261535644531,-5.830883502960205,-6.127723693847656,-6.287010192871094,-6.294345378875732,-6.288555145263672,-6.48876953125,-6.9147491455078125,-7.142524719238281,-6.252403259277344,-6.494884490966797,-5.974937438964844,-6.903633117675781,-5.636765003204346,-6.261173248291016,-5.578849792480469,-6.156898498535156,-6.424792766571045,-6.80442476272583,-6.406620025634766,-6.037216663360596,-6.313854217529297,-6.621738433837891,-5.975371837615967,-6.610019683837891,-5.874420166015625,-5.444023132324219,-6.472499847412109,-6.589698314666748,-5.732120513916016,-5.783905029296875
専門的・技術的職業従事者,10270980,5231410,5039570,-6.6056036949157715,-7.660754203796387,-6.422730445861816,-6.415204048156738,-7.611377716064453,-7.036161422729492,-6.5153303146362305,-7.3480682373046875,-7.385120868682861,-6.280887126922607,-6.704868793487549,-5.695213317871094,-7.503916263580322,-7.260992050170898,-8.389899253845215,-7.713689804077148,-7.522005081176758,-7.172489166259766,-6.93567419052124,-7.775294303894043,-6.899925231933594,-7.4405622482299805,-8.568829536437988,-7.43760347366333,-7.719732761383057,-7.64269495010376,-6.567991256713867,-7.707122325897217,-7.278097629547119,-7.407354354858398,-6.770413875579834,-7.438871383666992,-7.420825004577637,-7.099183082580566,-7.0610880851745605,-7.3500590324401855,-6.623272895812988,-7.134159564971924,-6.487415313720703,-8.039727210998535,-7.273443698883057,-7.170011043548584,-7.765791416168213,-7.588322162628174,-7.78147554397583,-7.838987827301025,-7.807866096496582,-8.731228828430176,-7.0174384117126465,-6.561066150665283,-7.7308030128479,-7.336928367614746,-7.825080394744873,-8.371103286743164,-5.941524505615234,-6.65778112411499,-7.7868428230285645,-8.178020477294922,-6.805079460144043,-7.882359981536865,-6.198513031005859,-6.860325336456299,-7.969106674194336,-6.84147834777832,-7.112883567810059,-8.033592224121094,-7.857222557067871,-8.095135688781738,-6.962624549865723,-8.170928955078125,-6.398144245147705,-7.917591571807861,-7.938526153564453,-6.922382831573486,-6.964827060699463,-7.895357131958008,-6.804027080535889,-8.061333656311035,-7.967936038970947,-6.969266891479492,-7.9299116134643555,-8.029736518859863,-6.167635917663574,-8.004379272460938,-6.916032791137695,-7.463922500610352,-7.252311706542969,-8.200255393981934,-7.046548366546631,-7.7486371994018555,-7.180868625640869,-8.035046577453613,-8.000726699829102,-7.785000801086426,-9.006621360778809,-8.11480712890625,-8.823043823242188,-6.083980560302734,-8.045137405395508,-7.279269695281982,-8.173134803771973,-6.140344619750977,-8.14333724975586,-7.303788661956787,-7.963415622711182,-8.665130615234375,-8.139572143554688,-8.085728645324707,-8.078527450561523,-8.325677871704102,-6.9099345207214355,-6.151582717895508,-8.617152214050293,-8.019804954528809,-6.704798698425293,-7.719027519226074,-8.249631881713867,-7.018951416015625,-7.571264743804932,-7.431387424468994,-7.044184684753418,-6.815647125244141,-6.9492411613464355,-6.994640350341797,-8.707221031188965,-7.844916820526123,-8.097969055175781,-6.750528335571289,-8.930344581604004,-7.977397441864014,-7.982935905456543
研究者,103910,79640,24280,-11.77876091003418,-11.971885681152344,-11.661008834838867,-12.541948318481445,-10.106624603271484,-11.65634536743164,-13.32066822052002,-10.556188583374023,-12.02578067779541,-12.243572235107422,-12.56572151184082,-12.327384948730469,-12.292768478393555,-9.775215148925781,-13.452372550964355,-11.948741912841797,-11.551817893981934,-12.651394844055176,-12.532747268676758,-12.457141876220703,-11.823996543884277,-11.269519805908203,-13.511309623718262,-12.170215606689453,-11.634057998657227,-12.683517456054688,-11.174595832824707,-11.679361343383789,-10.513001441955566,-10.485738754272461,-11.63043212890625,-13.0333251953125,-13.199114799499512,-11.9485445022583,-11.251396179199219,-11.760348320007324,-13.751458168029785,-13.659067153930664,-12.379152297973633,-11.093329429626465,-12.49530029296875,-12.223152160644531,-11.063474655151367,-12.360417366027832,-12.207845687866211,-11.684415817260742,-10.670368194580078,-10.660102844238281,-12.05788803100586,-11.174796104431152,-10.55609130859375,-11.435368537902832,-12.494306564331055,-10.858064651489258,-12.795340538024902,-11.978078842163086,-11.890783309936523,-11.78946590423584,-11.288921356201172,-11.735640525817871,-12.985086441040039,-10.809673309326172,-10.589561462402344,-11.517501831054688,-11.132530212402344,-12.288383483886719,-11.692300796508789,-12.48779296875,-11.185084342956543,-12.026663780212402,-11.222887992858887,-11.711160659790039,-12.656944274902344,-11.274333000183105,-11.446990966796875,-11.94552230834961,-11.337699890136719,-12.96900749206543,-11.84288501739502,-10.495538711547852,-11.94135570526123,-12.247989654541016,-12.561981201171875,-12.285162925720215,-11.204597473144531,-12.088430404663086,-12.139937400817871,-11.866868019104004,-10.520670890808105,-12.285118103027344,-11.29459285736084,-11.935725212097168,-10.93844985961914,-11.743705749511719,-11.620800018310547,-11.429817199707031,-11.460777282714844,-11.88277816772461,-12.38174819946289,-10.832355499267578,-11.097763061523438,-12.207466125488281,-12.323275566101074,-11.894841194152832,-12.155723571777344,-12.655420303344727,-12.117801666259766,-12.212450981140137,-12.5027437210083,-10.576526641845703,-11.348669052124023,-12.77767562866211,-10.96969985961914,-12.341865539550781,-12.238699913024902,-11.426095962524414,-13.271699905395508,-11.166149139404297,-11.93421745300293,-11.828521728515625,-13.476823806762695,-13.282108306884766,-11.376558303833008,-11.226814270019531,-12.208255767822266,-12.262149810791016,-13.026596069335938,-13.343031883239746,-12.94205379486084,-13.416999816894531,-13.735872268676758
