職業,総数,男,女,正一の職種は,清の職種は,正雄の職種は,正の職種は,茂の職種は,武雄の職種は,正治の職種は,三郎の職種は,正夫の職種は,一郎の職種は,正二の職種は,義雄の職種は,正男の職種は,正三の職種は,勇の職種は,実の職種は,秀雄の職種は,辰雄の職種は,辰男の職種は,博の職種は,弘の職種は,進の職種は,武の職種は,一男の職種は,昭二の職種は,昭の職種は,和夫の職種は,昭一の職種は,昭三の職種は,幸雄の職種は,稔の職種は,明の職種は,昇の職種は,隆の職種は,勉の職種は,勝の職種は,勲の職種は,功の職種は,勝利の職種は,修の職種は,豊の職種は,誠の職種は,浩の職種は,徹の職種は,浩一の職種は,浩二の職種は,浩之の職種は,聡の職種は,剛の職種は,和彦の職種は,秀樹の職種は,哲也の職種は,直樹の職種は,達也の職種は,学の職種は,健一の職種は,淳の職種は,健の職種は,博之の職種は,英樹の職種は,崇の職種は,大輔の職種は,大介の職種は,亮の職種は,竜也の職種は,健太郎の職種は,洋平の職種は,健太の職種は,和也の職種は,翔の職種は,拓也の職種は,祐介の職種は,雄太の職種は,優の職種は,翔太の職種は,大樹の職種は,翔平の職種は,駿の職種は,大貴の職種は,貴大の職種は,大輝の職種は,翼の職種は,大地の職種は,亮太の職種は,拓哉の職種は,雄大の職種は,拓海の職種は,直人の職種は,康平の職種は,陸の職種は,海斗の職種は,一輝の職種は,涼太の職種は,匠の職種は,蓮の職種は,優斗の職種は,優太の職種は,颯太の職種は,大翔の職種は,太陽の職種は,悠斗の職種は,颯の職種は,輝の職種は,大和の職種は,空の職種は,陽向の職種は,悠人の職種は,悠太の職種は,瑛太の職種は,悠真の職種は,陽斗の職種は,颯真の職種は,歩夢の職種は,蒼空の職種は,大雅の職種は,樹の職種は,陽翔の職種は,陸斗の職種は,太一の職種は,海翔の職種は,湊の職種は,龍生の職種は,陽太の職種は,朝陽の職種は,悠の職種は,新の職種は,蒼の職種は,陽大の職種は,律の職種は,凪の職種は,碧の職種は
総数,57673630,31525680,26147950,-9.456374168395996,-7.876930236816406,-7.880180358886719,-6.496120452880859,-8.828018188476562,-8.556117057800293,-8.480443954467773,-8.325946807861328,-8.0655517578125,-7.8347320556640625,-7.632925033569336,-7.294353485107422,-6.239358425140381,-7.1643829345703125,-8.498870849609375,-8.211631774902344,-8.289335250854492,-8.502991676330566,-9.175657272338867,-9.356584548950195,-8.182907104492188,-8.933406829833984,-9.055963516235352,-7.8204803466796875,-8.63734245300293,-8.538150787353516,-8.388906478881836,-8.60702133178711,-8.27066421508789,-10.304598808288574,-8.389467239379883,-9.628509521484375,-8.164989471435547,-8.068580627441406,-8.055709838867188,-8.746097564697266,-7.79017972946167,-7.293266773223877,-8.898799896240234,-8.348350524902344,-6.604030609130859,-9.038959503173828,-8.561141014099121,-8.766885757446289,-8.527400970458984,-8.456903457641602,-8.498834609985352,-7.661139965057373,-8.642556190490723,-7.714598655700684,-8.555103302001953,-8.57000732421875,-8.74123764038086,-8.891653060913086,-7.466276168823242,-8.805648803710938,-8.18464469909668,-7.816825866699219,-8.901637077331543,-8.769111633300781,-7.663791179656982,-9.49072265625,-8.436466217041016,-8.605331420898438,-8.220176696777344,-8.492340087890625,-8.305519104003906,-8.73556900024414,-7.6849517822265625,-9.240694046020508,-8.490921020507812,-8.196346282958984,-8.780769348144531,-8.312273979187012,-9.150378227233887,-8.519401550292969,-8.666280746459961,-9.499214172363281,-8.993132591247559,-8.658794403076172,-7.974559783935547,-9.357246398925781,-9.261856079101562,-8.69964599609375,-10.43454360961914,-9.103531837463379,-9.022371292114258,-9.555824279785156,-9.278377532958984,-6.71406888961792,-9.564870834350586,-7.676236629486084,-9.0614013671875,-8.206499099731445,-6.8358235359191895,-8.923294067382812,-9.144683837890625,-7.745471954345703,-11.712501525878906,-8.940468788146973,-8.172164916992188,-8.076715469360352,-8.32469367980957,-8.774195671081543,-9.306346893310547,-9.438896179199219,-8.713363647460938,-8.692302703857422,-9.576143264770508,-8.589256286621094,-9.583328247070312,-7.60236930847168,-8.859851837158203,-9.1541748046875,-8.605971336364746,-9.389344215393066,-9.414610862731934,-9.31369400024414,-8.759990692138672,-8.419158935546875,-8.754369735717773,-8.0142822265625,-8.660099029541016,-8.228729248046875,-9.312808990478516,-7.305051803588867,-10.052660942077637,-8.984672546386719,-7.660533905029297,-8.65613079071045,-7.821502685546875
管理的職業従事者,1196900,1010680,186220,-8.349913597106934,-7.178531646728516,-5.036739826202393,-5.43186616897583,-5.331387996673584,-7.014743804931641,-6.842823028564453,-6.643715858459473,-5.650815486907959,-5.7483625411987305,-5.5088043212890625,-5.891216278076172,-6.690494537353516,-7.939567565917969,-7.246643543243408,-6.601600646972656,-6.444850921630859,-7.340590476989746,-6.510990142822266,-5.687380790710449,-7.520792007446289,-5.442436218261719,-7.595466613769531,-6.182309150695801,-4.035460948944092,-7.142401695251465,-5.494802474975586,-3.9991986751556396,-7.00504207611084,-4.860370635986328,-5.5928754806518555,-7.025904655456543,-5.430286407470703,-7.417034149169922,-7.298040390014648,-7.662106037139893,-6.566617012023926,-6.236000061035156,-6.335543632507324,-5.490127086639404,-6.894026279449463,-5.482654571533203,-5.433848857879639,-5.174754619598389,-5.402132987976074,-5.074813365936279,-5.409544944763184,-7.438812732696533,-5.580345153808594,-4.990550994873047,-5.189327239990234,-4.77659797668457,-5.350344657897949,-5.6091532707214355,-5.394323348999023,-5.253943920135498,-5.628688812255859,-5.555010795593262,-5.854473114013672,-7.777828693389893,-9.018707275390625,-5.841071605682373,-5.527790069580078,-5.152538299560547,-6.5312042236328125,-5.572834491729736,-5.062408447265625,-6.082736492156982,-5.411137104034424,-7.100883483886719,-4.998310089111328,-7.130344390869141,-5.771263599395752,-6.176889896392822,-7.1569647789001465,-7.946830749511719,-5.624648094177246,-5.822900295257568,-5.077170372009277,-6.591689586639404,-5.538932800292969,-6.779645919799805,-7.300698280334473,-5.482257843017578,-5.133257865905762,-6.5128021240234375,-6.426998138427734,-8.567370414733887,-7.027629375457764,-7.3420562744140625,-6.17841100692749,-5.748530387878418,-7.100642681121826,-7.341280937194824,-6.841472625732422,-5.365279197692871,-5.540584564208984,-6.405276298522949,-5.088751792907715,-7.048637866973877,-6.80218505859375,-6.430741310119629,-5.808505058288574,-7.283557891845703,-7.273168563842773,-6.117794036865234,-7.969707489013672,-6.107593536376953,-5.485174179077148,-5.290473937988281,-5.830352783203125,-4.899753570556641,-8.446893692016602,-7.678367614746094,-7.329482555389404,-7.747744560241699,-6.267939567565918,-6.060220718383789,-5.562141418457031,-6.304511547088623,-6.468923568725586,-6.979969024658203,-5.523264408111572,-7.630080699920654,-6.015730857849121,-6.724809646606445,-6.363727569580078,-5.800212860107422,-5.995654582977295,-7.733039379119873,-6.416983604431152
管理的公務員,51870,44650,7220,-7.652495861053467,-8.313812255859375,-6.633579254150391,-7.665900230407715,-6.553581714630127,-8.318044662475586,-6.9408721923828125,-7.234825611114502,-7.275543689727783,-6.953845024108887,-6.824341773986816,-6.782558441162109,-7.324335098266602,-9.15908432006836,-7.982169151306152,-7.253664493560791,-7.508253574371338,-7.614137649536133,-6.868965148925781,-6.4894328117370605,-7.701791763305664,-6.880687713623047,-7.575107097625732,-7.118476867675781,-5.368308067321777,-6.804671764373779,-7.1735076904296875,-5.434936046600342,-7.633920192718506,-5.793963432312012,-6.620197296142578,-7.3579487800598145,-6.9944844245910645,-7.809073448181152,-7.539341926574707,-8.156387329101562,-8.335331916809082,-6.742847442626953,-7.088890075683594,-6.919212818145752,-7.447654724121094,-6.710597515106201,-6.486521244049072,-6.232526779174805,-6.541678428649902,-6.1641645431518555,-6.564192295074463,-7.419109344482422,-6.720427513122559,-5.971244812011719,-6.497947692871094,-6.662099838256836,-6.485351085662842,-6.433955192565918,-5.598990440368652,-6.341784477233887,-6.710228443145752,-7.15323543548584,-6.5389018058776855,-7.2193522453308105,-9.865753173828125,-6.961238861083984,-6.655084133148193,-6.708160877227783,-7.1335673332214355,-6.5050177574157715,-6.249987602233887,-7.906215667724609,-6.511312961578369,-8.098405838012695,-6.393174171447754,-7.627534866333008,-6.936086654663086,-7.365416526794434,-8.17149543762207,-7.249468803405762,-6.5613322257995605,-6.973211288452148,-6.740606307983398,-6.851818084716797,-5.47549295425415,-8.37079906463623,-7.355456829071045,-6.729787826538086,-6.359424114227295,-6.501294136047363,-7.466156005859375,-8.174392700195312,-8.267219543457031,-8.068822860717773,-7.208010673522949,-7.549556732177734,-8.929082870483398,-8.268950462341309,-7.622035503387451,-5.771210193634033,-5.933764934539795,-7.1621928215026855,-6.751994609832764,-7.518749237060547,-7.702410697937012,-7.476154327392578,-7.011134624481201,-7.847236633300781,-7.609885215759277,-6.907045364379883,-7.585910320281982,-6.896998882293701,-9.058771133422852,-5.693660736083984,-6.646495342254639,-6.0623345375061035,-8.207995414733887,-7.358081817626953,-6.8543195724487305,-7.794288635253906,-6.951749801635742,-7.179069519042969,-6.6684746742248535,-7.421345233917236,-7.834309101104736,-7.589949607849121,-7.216838836669922,-7.887893199920654,-6.8826093673706055,-7.664035797119141,-6.962172985076904,-6.993529319763184,-6.721565246582031,-8.140296936035156,-6.899890899658203
管理的公務員,51870,44650,7220,-7.652495861053467,-8.313812255859375,-6.633579254150391,-7.665900230407715,-6.553581714630127,-8.318044662475586,-6.9408721923828125,-7.234825611114502,-7.275543689727783,-6.953845024108887,-6.824341773986816,-6.782558441162109,-7.324335098266602,-9.15908432006836,-7.982169151306152,-7.253664493560791,-7.508253574371338,-7.614137649536133,-6.868965148925781,-6.4894328117370605,-7.701791763305664,-6.880687713623047,-7.575107097625732,-7.118476867675781,-5.368308067321777,-6.804671764373779,-7.1735076904296875,-5.434936046600342,-7.633920192718506,-5.793963432312012,-6.620197296142578,-7.3579487800598145,-6.9944844245910645,-7.809073448181152,-7.539341926574707,-8.156387329101562,-8.335331916809082,-6.742847442626953,-7.088890075683594,-6.919212818145752,-7.447654724121094,-6.710597515106201,-6.486521244049072,-6.232526779174805,-6.541678428649902,-6.1641645431518555,-6.564192295074463,-7.419109344482422,-6.720427513122559,-5.971244812011719,-6.497947692871094,-6.662099838256836,-6.485351085662842,-6.433955192565918,-5.598990440368652,-6.341784477233887,-6.710228443145752,-7.15323543548584,-6.5389018058776855,-7.2193522453308105,-9.865753173828125,-6.961238861083984,-6.655084133148193,-6.708160877227783,-7.1335673332214355,-6.5050177574157715,-6.249987602233887,-7.906215667724609,-6.511312961578369,-8.098405838012695,-6.393174171447754,-7.627534866333008,-6.936086654663086,-7.365416526794434,-8.17149543762207,-7.249468803405762,-6.5613322257995605,-6.973211288452148,-6.740606307983398,-6.851818084716797,-5.47549295425415,-8.37079906463623,-7.355456829071045,-6.729787826538086,-6.359424114227295,-6.501294136047363,-7.466156005859375,-8.174392700195312,-8.267219543457031,-8.068822860717773,-7.208010673522949,-7.549556732177734,-8.929082870483398,-8.268950462341309,-7.622035503387451,-5.771210193634033,-5.933764934539795,-7.1621928215026855,-6.751994609832764,-7.518749237060547,-7.702410697937012,-7.476154327392578,-7.011134624481201,-7.847236633300781,-7.609885215759277,-6.907045364379883,-7.585910320281982,-6.896998882293701,-9.058771133422852,-5.693660736083984,-6.646495342254639,-6.0623345375061035,-8.207995414733887,-7.358081817626953,-6.8543195724487305,-7.794288635253906,-6.951749801635742,-7.179069519042969,-6.6684746742248535,-7.421345233917236,-7.834309101104736,-7.589949607849121,-7.216838836669922,-7.887893199920654,-6.8826093673706055,-7.664035797119141,-6.962172985076904,-6.993529319763184,-6.721565246582031,-8.140296936035156,-6.899890899658203
法人・団体役員,968990,811530,157460,-5.9447784423828125,-6.209376335144043,-6.440986633300781,-6.934201717376709,-7.3783111572265625,-7.013587474822998,-8.176654815673828,-7.071012496948242,-6.588153839111328,-6.276214599609375,-7.510618209838867,-5.896392822265625,-5.978461742401123,-6.930251121520996,-7.015781402587891,-8.633363723754883,-6.714076519012451,-6.852980613708496,-5.970851898193359,-7.085893630981445,-6.774988174438477,-7.525996208190918,-6.981208801269531,-6.408594131469727,-8.120457649230957,-6.537773132324219,-7.09998893737793,-8.093615531921387,-6.88897705078125,-6.1683349609375,-5.826144695281982,-9.045642852783203,-6.225456237792969,-6.679798126220703,-6.896722793579102,-7.049459457397461,-6.373836517333984,-6.575450420379639,-7.372976303100586,-6.272497177124023,-6.729027271270752,-6.94587516784668,-6.997863292694092,-7.4796648025512695,-6.916910171508789,-7.122657299041748,-6.9460296630859375,-8.731154441833496,-7.3763275146484375,-5.844069957733154,-7.060496807098389,-6.609165191650391,-6.597110748291016,-6.075456619262695,-5.834981918334961,-6.694087982177734,-5.917930603027344,-6.607330322265625,-6.158661365509033,-7.8855390548706055,-7.511131763458252,-5.915420055389404,-7.031971454620361,-6.018272399902344,-6.789665222167969,-7.090888977050781,-6.652219772338867,-7.516407012939453,-6.048152923583984,-6.436428070068359,-7.304715633392334,-6.599803447723389,-7.171241760253906,-5.573071002960205,-6.159804344177246,-7.771452903747559,-7.214169502258301,-6.906017303466797,-6.031980514526367,-6.8542327880859375,-5.849557399749756,-6.759712219238281,-6.632061004638672,-7.090356349945068,-7.043964385986328,-6.6950554847717285,-6.435146331787109,-6.4235076904296875,-7.720064163208008,-6.083746910095215,-7.473350524902344,-5.654956817626953,-7.192854881286621,-5.263783931732178,-6.256317138671875,-5.755342483520508,-5.880825042724609,-6.207145690917969,-8.812007904052734,-5.931514263153076,-6.323294162750244,-5.861162185668945,-5.789499759674072,-6.777023792266846,-6.359172344207764,-6.871776580810547,-7.944362640380859,-7.808322906494141,-6.421701431274414,-8.476388931274414,-6.774394989013672,-6.379764556884766,-6.807258605957031,-6.797882080078125,-7.982924461364746,-5.913361072540283,-6.655656814575195,-8.397369384765625,-7.340563774108887,-6.706897735595703,-7.425573348999023,-6.027965068817139,-6.595237731933594,-5.955951690673828,-6.670778274536133,-5.654043197631836,-6.418325424194336,-6.890130996704102,-6.321846008300781,-7.2382049560546875,-6.696987152099609
会社役員,913490,767880,145620,-10.42531967163086,-10.362001419067383,-10.300167083740234,-11.166011810302734,-11.345706939697266,-10.051928520202637,-11.611190795898438,-10.22118091583252,-10.144865036010742,-10.696817398071289,-10.862409591674805,-10.127387046813965,-10.451576232910156,-10.569294929504395,-11.314599990844727,-10.914337158203125,-11.453994750976562,-13.20473575592041,-10.805129051208496,-10.661275863647461,-12.989523887634277,-12.482723236083984,-10.994462013244629,-10.354333877563477,-10.917278289794922,-10.992162704467773,-9.767821311950684,-10.802871704101562,-12.947553634643555,-11.192926406860352,-11.10989761352539,-11.193593978881836,-11.691878318786621,-11.798900604248047,-12.677972793579102,-11.418136596679688,-10.6973876953125,-10.492316246032715,-12.516544342041016,-11.556903839111328,-10.616609573364258,-11.507926940917969,-11.814948081970215,-11.798286437988281,-11.647724151611328,-11.72303295135498,-11.7091646194458,-10.26427936553955,-12.139455795288086,-10.41226863861084,-10.3544340133667,-10.397281646728516,-10.83378791809082,-11.628349304199219,-11.1242094039917,-10.855717658996582,-11.010828971862793,-11.765254020690918,-10.339444160461426,-10.136174201965332,-10.448189735412598,-10.783821105957031,-11.527799606323242,-11.93127727508545,-11.581382751464844,-11.547093391418457,-11.762933731079102,-11.66175365447998,-10.614584922790527,-12.049224853515625,-11.756564140319824,-12.872900009155273,-11.20311164855957,-11.52535629272461,-11.855395317077637,-9.807638168334961,-11.854866981506348,-11.468024253845215,-10.632288932800293,-10.996978759765625,-12.285861015319824,-11.105985641479492,-11.71383285522461,-11.646291732788086,-8.636516571044922,-9.398273468017578,-10.845224380493164,-10.519697189331055,-12.497092247009277,-10.285675048828125,-10.715059280395508,-11.38889217376709,-12.425962448120117,-11.346433639526367,-10.144614219665527,-12.382898330688477,-12.512468338012695,-10.102107048034668,-10.712124824523926,-10.724929809570312,-11.655952453613281,-10.365971565246582,-11.589970588684082,-9.6516752243042,-11.197103500366211,-11.70705795288086,-10.182286262512207,-11.886088371276855,-13.05272388458252,-10.966085433959961,-11.333152770996094,-10.032809257507324,-11.3391752243042,-11.215682983398438,-9.85434341430664,-10.496101379394531,-11.451152801513672,-11.148306846618652,-11.955080032348633,-11.026999473571777,-11.778555870056152,-10.800159454345703,-10.666722297668457,-9.753339767456055,-11.497987747192383,-10.69687557220459,-11.416309356689453,-11.664798736572266,-10.252619743347168,-10.73037338256836,-11.550955772399902
法人・団体管理的職業従事者,120420,112010,8400,-5.9447784423828125,-6.209376335144043,-6.440986633300781,-6.934201717376709,-7.3783111572265625,-7.013587474822998,-8.176654815673828,-7.071012496948242,-6.588153839111328,-6.276214599609375,-7.510618209838867,-5.896392822265625,-5.978461742401123,-6.930251121520996,-7.015781402587891,-8.633363723754883,-6.714076519012451,-6.852980613708496,-5.970851898193359,-7.085893630981445,-6.774988174438477,-7.525996208190918,-6.981208801269531,-6.408594131469727,-8.120457649230957,-6.537773132324219,-7.09998893737793,-8.093615531921387,-6.88897705078125,-6.1683349609375,-5.826144695281982,-9.045642852783203,-6.225456237792969,-6.679798126220703,-6.896722793579102,-7.049459457397461,-6.373836517333984,-6.575450420379639,-7.372976303100586,-6.272497177124023,-6.729027271270752,-6.94587516784668,-6.997863292694092,-7.4796648025512695,-6.916910171508789,-7.122657299041748,-6.9460296630859375,-8.731154441833496,-7.3763275146484375,-5.844069957733154,-7.060496807098389,-6.609165191650391,-6.597110748291016,-6.075456619262695,-5.834981918334961,-6.694087982177734,-5.917930603027344,-6.607330322265625,-6.158661365509033,-7.8855390548706055,-7.511131763458252,-5.915420055389404,-7.031971454620361,-6.018272399902344,-6.789665222167969,-7.090888977050781,-6.652219772338867,-7.516407012939453,-6.048152923583984,-6.436428070068359,-7.304715633392334,-6.599803447723389,-7.171241760253906,-5.573071002960205,-6.159804344177246,-7.771452903747559,-7.214169502258301,-6.906017303466797,-6.031980514526367,-6.8542327880859375,-5.849557399749756,-6.759712219238281,-6.632061004638672,-7.090356349945068,-7.334917068481445,-6.6950554847717285,-6.435146331787109,-6.4235076904296875,-7.720064163208008,-6.083746910095215,-7.473350524902344,-5.654956817626953,-7.192854881286621,-5.263783931732178,-6.256317138671875,-5.755342483520508,-5.880825042724609,-6.207145690917969,-8.812007904052734,-5.931514263153076,-6.323294162750244,-5.861162185668945,-5.789499759674072,-6.777023792266846,-6.359172344207764,-6.871776580810547,-7.944362640380859,-7.808322906494141,-6.421701431274414,-8.476388931274414,-6.774394989013672,-6.379764556884766,-6.807258605957031,-6.797882080078125,-7.982924461364746,-5.913361072540283,-6.655656814575195,-8.397369384765625,-7.340563774108887,-6.706897735595703,-7.425573348999023,-6.027965068817139,-6.595237731933594,-5.955951690673828,-6.670778274536133,-5.654043197631836,-6.418325424194336,-6.890130996704102,-6.321846008300781,-7.2382049560546875,-6.696987152099609
他に分類されない管理的職業従事者,55620,42480,13140,-5.331180572509766,-6.046214580535889,-5.226417541503906,-5.171237945556641,-5.386741638183594,-5.5166473388671875,-5.626071929931641,-5.217975616455078,-5.677757263183594,-5.379055023193359,-5.0957183837890625,-5.433006286621094,-5.448204040527344,-5.286136627197266,-5.916255950927734,-5.947013854980469,-5.450153350830078,-5.512439727783203,-6.1029510498046875,-5.578132152557373,-5.2586517333984375,-5.76947021484375,-5.8299102783203125,-5.380802154541016,-5.676513671875,-5.916522979736328,-5.6007232666015625,-5.736072540283203,-5.550758361816406,-5.231533050537109,-5.755596160888672,-5.524967193603516,-5.906585693359375,-5.657081604003906,-6.015796661376953,-6.159187316894531,-5.612979888916016,-6.044136047363281,-5.855381011962891,-5.901767730712891,-5.803829193115234,-6.113513946533203,-5.622871398925781,-6.108528137207031,-5.569469451904297,-5.817901611328125,-5.627471923828125,-5.997821807861328,-5.884181976318359,-5.2777862548828125,-5.638221740722656,-5.8570556640625,-5.743663787841797,-5.926570892333984,-5.0969767570495605,-5.456596374511719,-5.707614898681641,-6.1947479248046875,-5.689029693603516,-5.411411285400391,-5.788021087646484,-5.791542053222656,-5.887607574462891,-5.956295013427734,-6.232757568359375,-6.006385803222656,-5.763576507568359,-6.435626983642578,-5.732318878173828,-6.409904479980469,-6.129665374755859,-5.986408233642578,-5.440193176269531,-6.1328887939453125,-6.566917419433594,-5.441707611083984,-6.248752593994141,-6.056491851806641,-6.042900085449219,-6.1148529052734375,-5.901344299316406,-5.084735870361328,-5.800819396972656,-6.237163543701172,-6.171993255615234,-5.034690856933594,-5.857696533203125,-6.309375762939453,-5.353267669677734,-5.147212982177734,-6.084995269775391,-6.038856506347656,-6.460823059082031,-6.45709228515625,-5.260654449462891,-6.3840789794921875,-6.3258209228515625,-5.761516571044922,-6.380309581756592,-4.949985504150391,-6.443275451660156,-4.971824645996094,-6.006290435791016,-6.1997222900390625,-6.1351318359375,-5.717456817626953,-6.165431976318359,-6.412040710449219,-6.955146789550781,-5.753326416015625,-6.1903076171875,-5.490608215332031,-6.6581268310546875,-5.676044464111328,-5.581470489501953,-4.9516706466674805,-6.123542785644531,-5.954296112060547,-6.244625091552734,-6.118076324462891,-5.809386730194092,-5.884899139404297,-6.006080627441406,-5.404560089111328,-6.161952972412109,-5.362766265869141,-5.442298889160156,-5.846546173095703,-5.9757080078125,-5.333133697509766,-5.442512512207031
専門的・技術的職業従事者,10270980,5231410,5039570,-5.334421157836914,-6.740052223205566,-5.0064616203308105,-5.766604423522949,-6.147764205932617,-5.802179336547852,-6.959821701049805,-5.811217308044434,-6.166620254516602,-6.050156593322754,-7.049201488494873,-6.026056289672852,-6.945061206817627,-7.702768802642822,-7.994288921356201,-7.122583389282227,-6.025763511657715,-7.11455774307251,-7.525074481964111,-6.168176651000977,-7.127371311187744,-7.42018985748291,-6.503963470458984,-6.190028667449951,-6.217952728271484,-5.9355692863464355,-5.624599456787109,-6.275669097900391,-7.068967342376709,-5.605482578277588,-6.900675296783447,-6.336524486541748,-6.817376136779785,-7.183816909790039,-7.105623722076416,-8.15101146697998,-6.289985656738281,-6.881309509277344,-6.312326431274414,-6.9880290031433105,-6.515430450439453,-5.765100479125977,-5.778146743774414,-7.418627738952637,-5.730274200439453,-5.803583145141602,-5.75418758392334,-6.634139537811279,-9.070982933044434,-5.840665817260742,-7.365657806396484,-6.088618755340576,-6.369118690490723,-7.323248863220215,-5.284878730773926,-6.142542839050293,-6.893094539642334,-7.971829891204834,-5.940456390380859,-6.667203903198242,-6.600223541259766,-6.640738010406494,-7.706534385681152,-6.895328998565674,-7.82413387298584,-7.707799434661865,-5.584750175476074,-7.937234401702881,-6.102050304412842,-7.809793949127197,-7.697150230407715,-7.3433837890625,-6.414700508117676,-7.565171241760254,-7.88853645324707,-6.6672797203063965,-6.1323676109313965,-6.425243377685547,-6.921451568603516,-11.921950340270996,-7.60169792175293,-7.1932477951049805,-6.409574508666992,-7.5843000411987305,-6.319587707519531,-4.718278884887695,-5.904560089111328,-7.306806564331055,-7.262275695800781,-6.181903839111328,-6.578207015991211,-7.913364410400391,-8.531584739685059,-6.85459041595459,-6.601774215698242,-7.043796539306641,-7.237152099609375,-6.204362869262695,-7.021183013916016,-6.705872058868408,-7.807981967926025,-5.614736557006836,-7.916644096374512,-6.358877182006836,-7.188363075256348,-6.629225254058838,-6.909453392028809,-7.846128463745117,-8.008933067321777,-6.264832973480225,-6.538376331329346,-5.619319438934326,-8.615219116210938,-7.791141033172607,-6.53491735458374,-6.982346534729004,-6.406356334686279,-6.816313743591309,-7.7211198806762695,-6.29936408996582,-6.692111015319824,-6.569517135620117,-6.6352057456970215,-5.595508575439453,-6.632773399353027,-6.154895782470703,-6.8541178703308105,-6.162778854370117,-6.316799163818359,-7.253089904785156,-6.000810623168945
研究者,103910,79640,24280,-11.946369171142578,-13.67235279083252,-11.81805419921875,-12.888795852661133,-11.132991790771484,-12.162402153015137,-12.702579498291016,-11.231566429138184,-11.074684143066406,-9.543758392333984,-10.76707649230957,-11.064785957336426,-10.35543441772461,-11.707252502441406,-12.561576843261719,-11.908622741699219,-10.95915412902832,-10.998771667480469,-12.971128463745117,-10.51219367980957,-11.027167320251465,-11.671693801879883,-11.08658218383789,-11.282520294189453,-11.320104598999023,-9.378576278686523,-11.656137466430664,-11.263900756835938,-10.894920349121094,-11.899787902832031,-11.977209091186523,-14.627091407775879,-12.93144416809082,-11.076155662536621,-11.136238098144531,-12.506072998046875,-11.803960800170898,-11.74436092376709,-12.931870460510254,-12.623366355895996,-12.01095199584961,-11.57120132446289,-12.477593421936035,-12.609962463378906,-12.30461311340332,-12.827108383178711,-12.42220687866211,-12.06495475769043,-12.62126350402832,-10.831687927246094,-10.860036849975586,-10.962615966796875,-11.470918655395508,-12.755779266357422,-11.330625534057617,-11.876001358032227,-12.023993492126465,-11.7146635055542,-10.958740234375,-12.855626106262207,-12.094833374023438,-10.926085472106934,-12.518782615661621,-12.360255241394043,-12.610880851745605,-12.813379287719727,-12.22974967956543,-12.083962440490723,-10.858646392822266,-11.730823516845703,-11.353290557861328,-11.234294891357422,-11.337764739990234,-12.206003189086914,-12.475473403930664,-11.857283592224121,-12.904966354370117,-12.365869522094727,-11.69905948638916,-11.826872825622559,-11.853934288024902,-12.178874969482422,-12.748538970947266,-12.909177780151367,-12.06779670715332,-11.703384399414062,-12.183554649353027,-10.662528038024902,-11.370616912841797,-11.205036163330078,-13.544203758239746,-11.810554504394531,-11.81686782836914,-11.043083190917969,-11.470762252807617,-12.75462818145752,-12.749185562133789,-11.122112274169922,-14.330672264099121,-12.433684349060059,-12.789430618286133,-11.910242080688477,-12.087634086608887,-10.606337547302246,-11.693172454833984,-12.449484825134277,-12.846284866333008,-12.354161262512207,-15.70758056640625,-12.255496978759766,-12.496040344238281,-11.952058792114258,-12.145427703857422,-11.813983917236328,-11.771207809448242,-11.683931350708008,-12.470499038696289,-11.734630584716797,-12.878159523010254,-11.816975593566895,-12.517263412475586,-11.942401885986328,-11.977951049804688,-10.806106567382812,-12.72039794921875,-11.565645217895508,-11.294448852539062,-12.196817398071289,-11.127103805541992,-13.335164070129395,-11.423002243041992
