,men_names,name_year,name_decade,job_is,job_type,job?,job_is_GEN,job_type_GEN,job?_GEN
0,正一,1912,1910,正一の職業は,正一の職種は,正一は何の仕事をしていますか？正一は,['正一の職業は、その職業の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の'],['正一の職種は、その職種に適した人材を確保する。\n２． １０００万円以上の事業所を１０００社以上とする。\n３． １０００万円以上の事業所を１０００社以上とする。\n�'],['正一は何の仕事をしていますか？正一は、何の仕事をしていますか？正一は、何の仕事をしていますか？正一は、何の仕事をしていますか？正一は、何の仕事をしていますか？正一は、何の仕事をしていますか？正一は']
1,清,1912,1910,清の職業は,清の職種は,清は何の仕事をしていますか？清は,['清の職業は、その職業の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の'],['清の職種は、お客様のご要望に合わせたお仕事をご提案させていただきます。 【具体的には】 ■お客様のご要望に合わせたお仕事をご提案させていただきます。 ・お客様のご要望に合わせたお仕事をご提案させていただきます'],['清は何の仕事をしていますか？清は何の仕事をしていますか？清は何の仕事をしていますか？清は何の仕事をしていますか？清は何の仕事をしていますか？清は何の仕事をしていますか？清は何の仕事をしていますか？清は何']
2,正雄,1912,1910,正雄の職業は,正雄の職種は,正雄は何の仕事をしていますか？正雄は,['正雄の職業は、\n「お金持ち」という言葉が、\n「お金持ち」という言葉に、\n「お金持ち」という言葉が、\n「お金持ち」という言葉に、\n「お金持ち」という言葉に、\n「お金持ち」という言葉に、\n「お金持ち」という言葉に、\n「お金'],['正雄の職種は、その仕事の内容や仕事のやりがい、仕事の進め方、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事の'],['正雄は何の仕事をしていますか？正雄は、何の仕事をしていますか？ 正雄は、何の仕事をしていますか？ 正雄は、何の仕事をしていますか？ 正雄は、何の仕事をしていますか？ 正雄は、何の仕事をしていますか']
3,正,1912,1910,正の職業は,正の職種は,正は何の仕事をしていますか？正は,['正の職業は、その職業の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の'],['正の職種は、お客様のご要望に合わせたお仕事内容をご提案いたします。 【具体的には】 ◆お客様のご要望に合わせたお仕事内容をご提案いたします。 ・お客様のご要望に合わせたお仕事内容のご提案 ・お客様の'],['正は何の仕事をしていますか？正は何の仕事をしていますか？正は何の仕事をしていますか？正は何の仕事をしていますか？正は何の仕事をしていますか？正は何の仕事をしていますか？正は何の仕事をしていますか？正は何']
4,茂,1912,1910,茂の職業は,茂の職種は,茂は何の仕事をしていますか？茂は,['茂の職業は、その人の人生を左右する重要な役割を担っています。 その職業の魅力とは、何か？ それは、その人の人生を左右する重要な役割を担っています。 その職業の魅力とは、何か？ それは、その人の人生を左右する重要な役割を担っています。 その職業の魅力とは、'],['茂の職種は、お客様のご要望に合わせたお仕事をご提案させていただきます。 【具体的には】 ■お客様のご要望に合わせたお仕事をご提案させていただきます。 ・お客様のご要望に合わせたお仕事をご提案させていただきます'],['茂は何の仕事をしていますか？茂は何の仕事をしていますか？茂は何の仕事をしていますか？茂は何の仕事をしていますか？茂は何の仕事をしていますか？茂は何の仕事をしていますか？茂は何の仕事をしていますか？茂は何']
5,武雄,1912,1910,武雄の職業は,武雄の職種は,武雄は何の仕事をしていますか？武雄は,['武雄の職業は、\n「お金持ち」です。\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「'],['武雄の職種は、 ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ '],['武雄は何の仕事をしていますか？武雄は、何の仕事をしていますか？ 武雄は、何の仕事をしていますか？ 武雄は、何の仕事をしていますか？ 武雄は、何の仕事をしていますか？ 武雄は、何の仕事をしていますか']
6,正治,1912,1910,正治の職業は,正治の職種は,正治は何の仕事をしていますか？正治は,['正治の職業は、その職業の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」'],['正治の職種は、その職種を「職務」と「職務」の区別する。\n職務.\n職務の定義.\n職務の定義.\n職務の定義.\n職務の定義.\n職務の定義.\n職務の定義.\n職務の定義.\n職務の定義.\n職務の'],['正治は何の仕事をしていますか？正治は、明治維新の功臣で、明治維新の功臣として、明治維新の功臣として、明治維新の功臣として、明治維新の功臣として、明治維新の功臣として、明治維新の功臣として、明治維新の功臣として、']
7,三郎,1912,1910,三郎の職業は,三郎の職種は,三郎は何の仕事をしていますか？三郎は,['三郎の職業は、その人柄と、その人柄を貫くものだと思います。\n＞ ＞ ＞ ＞ ＞ ＞ ＞ ＞ ＞ ＞ ＞ ＞ ＞ ＞ ＞ ＞ ＞ ＞ ＞ '],['三郎の職種は、\n「１０００円の仕事」\n「１０００円の仕事」\n「１０００円の仕事」\n「１０００円の仕事」\n「１０００円の仕事」\n「１'],['三郎は何の仕事をしていますか？三郎は何の仕事をしていますか？ 【１】 １９９７年１２月１５日生まれ 【２】 １９９７年１２月１５日生まれ �']
8,正夫,1912,1910,正夫の職業は,正夫の職種は,正夫は何の仕事をしていますか？正夫は,['正夫の職業は、その職業の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」'],['正夫の職種は、その場でお客様にご提案させていただきます。 【具体的には】 ■お客様のご要望に沿ったお見積り作成 ■お客様のご要望に沿ったお見積り作成 ■お客様のご要望に沿ったお見積'],['正夫は何の仕事をしていますか？正夫は、１９９７年１２月１５日、東京都生まれ。１９９９年１２月１５日、東京都生まれ。１９９９年１２月１５']
9,一郎,1912,1910,一郎の職業は,一郎の職種は,一郎は何の仕事をしていますか？一郎は,['一郎の職業は、その人柄と、その人柄を貫くものだと思います。\n＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞�'],['一郎の職種は、その人柄や、その人柄を活かした仕事の魅力、そして、その人柄を活かした仕事の魅力にあふれた仕事です。 その人柄や人柄を活かした仕事の魅力にあふれた仕事は、その人柄や人柄を活かした仕事の魅力に'],['一郎は何の仕事をしていますか？一郎は、何の仕事をしていますか？ 【１】 ２０１７年１２月１５日、２０１７年１２月１５日、２０１７年']
