,men_names,name_year,name_decade,job_is,job_type,job?,job_is_GEN,job_type_GEN,job?_GEN
0,正一,1912,1910,正一の職業は,正一の職種は,正一は何の仕事をしていますか？正一は,['正一の職業は「お前は、俺の言うことを聞け」 と、言ってるようなものです。 そんなことを言われたら、誰だって嫌ですよね。 でも、この「お前は、俺の言うことを聞け」というのが、 実は、この世の中を動かしている原理原則なのです。 この原理原則を'],['正一の職種は「お前は、俺の言うことを聞け」 と、言ってるようなもんだ。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が'],['正一は何の仕事をしていますか?正一は「お前は、俺の言うことを聞け」 と、言ってるようなものです。 この言葉は、 相手をコントロールする言葉です。 相手をコントロールする言葉は、 相手を不快にさせます。 相手を不快にさせる言葉は、 相手をコントロール']
1,清,1912,1910,清の職業は,清の職種は,清は何の仕事をしていますか？清は,['清の職業は「お前は、俺の言うことを聞け」 と、言ってるようなもんだ。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか'],['清の職種は「お前は、俺の言うことを聞け」 と、言ってるようなもんだ。 まあ、この手の輩は、 自分の言うことを聞かないと、 暴力を振るうから、 暴力を振るう前に、 暴力を振るうのを止めるのが、 一番の解決策だ。 暴力を振るうの'],['清は何の仕事をしていますか?清は「お前は、俺の言うことを聞け」 と、言っているのと同じです。 この言葉は、 相手をコントロールする言葉です。 相手をコントロールする言葉は、 相手を不快にさせます。 相手を不快にさせる言葉は、 相手をコントロールする言葉です']
2,正雄,1912,1910,正雄の職業は,正雄の職種は,正雄は何の仕事をしていますか？正雄は,['正雄の職業は「お前は、俺の言うことを聞け」 と、言ってるようなものです。 そんなことを言われたら、誰だって嫌ですよね。 でも、この「お前は、俺の言うことを聞け」という態度は、 実は、相手をコントロールする上で、 非常に有効な手段なのです。 なぜ'],['正雄の職種は「お前は、俺の言うことを聞け」 と、言ってるようなもんだ。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が'],['正雄は何の仕事をしていますか?正雄は「お前は、俺の言うことを聞け」 と、言ってるようなものです。 この言葉は、 相手をコントロールする言葉です。 相手をコントロールする言葉は、 相手を不快にさせます。 相手を不快にさせる言葉は、 相手をコントロール']
3,正,1912,1910,正の職業は,正の職種は,正は何の仕事をしていますか？正は,['正の職業は「お前は、俺の言うことを聞け」 と、言ってるようなもんだ。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか'],['正の職種は【送料無料】【中古】エルメス スカーフリング 【Aランク】'],['正は何の仕事をしていますか?正は「お前は、俺の言うことを聞け」 と、言ってるようなものです。 この言葉は、 相手をコントロールする言葉です。 相手をコントロールする言葉は、 相手を不快にさせます。 相手を不快にさせる言葉は、 相手をコントロールする言葉']
4,茂,1912,1910,茂の職業は,茂の職種は,茂は何の仕事をしていますか？茂は,['茂の職業は「お前は、俺の嫁」 とか言ってる奴は、 嫁が「お前は、俺の子供」 とか言ってるのと同じだぞ。'],['茂の職種は【送料無料】【中古】エルメス スカーフリング 【Aランク】'],['茂は何の仕事をしていますか?茂は【送料無料】【中古】シャネル キャビア・チェーンショルダー 【Bランク】']
5,武雄,1912,1910,武雄の職業は,武雄の職種は,武雄は何の仕事をしていますか？武雄は,['武雄の職業は「お前は、俺の嫁」 とか言ってる奴は、 嫁が「お前は、俺の子供」 とか言ってるのと同じだと思う。'],['武雄の職種は「お前は、俺の嫁」 とか言ってる奴は、 嫁が「お前は、俺の子供」 とか言ってるのと同じだと思う。'],['武雄は何の仕事をしていますか?武雄は「お前は、俺の嫁」 とか言ってる奴は、 嫁が「お前は、俺の子供」 とか言ってるのと同じだと思う。']
6,正治,1912,1910,正治の職業は,正治の職種は,正治は何の仕事をしていますか？正治は,['正治の職業は「お前は、俺の言うことを聞け」 と、言ってるようなものです。 そんなことを言われたら、誰だって嫌ですよね。 でも、この「お前は、俺の言うことを聞け」という態度は、 実は、相手をコントロールする上で、 非常に有効な手段なのです。 なぜ'],['正治の職種は「お前は、俺の言うことを聞け」 と、言ってるようなもんだ。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が'],['正治は何の仕事をしていますか?正治は「お前は、俺の言うことを聞け」 と、言ってるようなものです。 この言葉は、 相手をコントロールする言葉です。 相手をコントロールする言葉は、 相手を不快にさせます。 相手を不快にさせる言葉は、 相手をコントロール']
7,三郎,1912,1910,三郎の職業は,三郎の職種は,三郎は何の仕事をしていますか？三郎は,['三郎の職業は「お前は、俺の言うことを聞け」 と、言ってるようなものです。 そんなことを言われたら、誰だって嫌ですよね。 でも、この「お前は、俺の言うことを聞け」という態度は、 実は、相手をコントロールする上で、 非常に有効な手段なのです。 なぜ'],['三郎の職種は【送料無料】【中古】ルイヴィトン ダミエ ポルトフォイユ・ブラザ 【Bランク】'],['三郎は何の仕事をしていますか?三郎は「お前は、俺の言うことを聞け」 と、言ってるようなものです。 そんなことを言われたら、誰だって嫌ですよね。 でも、この「お前は、俺の言うことを聞け」という態度は、 実は、相手をコントロールする上で、 非常に有効']
8,正夫,1912,1910,正夫の職業は,正夫の職種は,正夫は何の仕事をしていますか？正夫は,['正夫の職業は「お前は、俺の言うことを聞け」 と、言っているのと同じです。 この言葉は、相手をコントロールする言葉です。 相手をコントロールする言葉は、 相手を不幸にします。 相手を不幸にすると、 相手は、あなたを信頼しなくなります。 信頼しなくなると、 '],['正夫の職種は「お前は、俺の言うことを聞け」 と、言ってるようなもんだ。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞く'],['正夫は何の仕事をしていますか?正夫は「お前は、俺の言うことを聞け」 と、言ってるようなものです。 この言葉は、 相手をコントロールする言葉です。 相手をコントロールする言葉は、 相手を不快にさせます。 相手を不快にさせる言葉は、 相手をコントロール']
9,一郎,1912,1910,一郎の職業は,一郎の職種は,一郎は何の仕事をしていますか？一郎は,['一郎の職業は【送料無料】【中古】ルイヴィトン ダミエグラフィット・ポルトフォイユ・ブラザ N63095【Bランク】'],['一郎の職種は【送料無料】【中古】ルイヴィトン ダミエグラフィット・ポルトフォイユ・ブラザN63095【Bランク】'],['一郎は何の仕事をしていますか?一郎は【送料無料】【中古】ルイヴィトン ダミエ ポルトフォイユ・ブラザ 【Bランク】']
