,men_names,name_year,name_decade,job_is,job_type,job?,job_is_GEN,job_type_GEN,job?_GEN
0,正一,1912,1910,正一の職業は,正一の職種は,正一は何の仕事をしていますか？正一は,['正一の職業は、学校教育法\n（昭和二十二年法律第二十六号）第九十九条の二十二第一項\nに規定する職業とする。\n\n２\n\n\u3000第一項の規定により、同�'],['正一の職種は、次のとおりとする。\n一\n\n\u3000学校教育法\n（昭和二十二年法律第二十六号）第一条第一号\nに規定する学校教育法人の職員（以下「学校教'],['正一は何の仕事をしていますか？正一は何の仕事をしていますか？正一は何の仕事をしていますか？正一は何の仕事をしていますか？正一は何の仕事をしていますか？正一は何の仕事をしていますか？正一']
1,清,1912,1910,清の職業は,清の職種は,清は何の仕事をしていますか？清は,['清の職業は、\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n'],['清の職種は、\n\n・銀行員\n\n・商社員\n\n・公務員\n\n・学生\n\n・専門学校生\n\n・専門学校卒業生\n\n・専門学校生\n\n・専'],['清は何の仕事をしていますか？清は何を食べていますか？清は何を買いますか？清は何を買いませんか？清は何を買いますか？清は何を買いませんか？清は何を買いますか？�']
2,正雄,1912,1910,正雄の職業は,正雄の職種は,正雄は何の仕事をしていますか？正雄は,['正雄の職業は、魔法使いである。\n\n「魔法使い」とは、魔法を使うことを指す。\n\n「魔法使い」とは、魔法を使うことを指す。\n\n「魔法使い」とは'],['正雄の職種は、\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」'],['正雄は何の仕事をしていますか？正雄は何の仕事をしていますか？正雄は何の仕事をしていますか？正雄は何の仕事をしていますか？正雄は何の仕事をしていますか？正雄は何の仕事を']
3,正,1912,1910,正の職業は,正の職種は,正は何の仕事をしていますか？正は,['正の職業は、学校教育法\n（昭和二十二年法律第二十六号）第九十九条の二十二第一項\nに規定する職業とする。\n\n\n\n（職業訓練法\nの特例）\n第二条'],['正の職種は、「学校教育職」と「学校教育職（専門職）」の2種類。\n\n学校教育職は、教育職員として、教育課程の授業を担当する'],['正は何の仕事をしていますか？正は何の仕事をしていますか？正は何の仕事をしていますか？正は何の仕事をしていますか？正は何の仕事をしていますか？正は何の仕事をしていますか？正は何の仕事を']
4,茂,1912,1910,茂の職業は,茂の職種は,茂は何の仕事をしていますか？茂は,['茂の職業は、\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n'],['茂の職種は、\n\n「ハイパー・ハイドロン」\n\n「ハイパー・ハイドロン」\n\n「ハイパー・ハイドロン」\n\n「ハイパー・ハイドロン」\n\n「ハイ'],['茂は何の仕事をしていますか？茂は何を食べていますか？茂は何を買いますか？茂は何を買いませんか？茂は何を買いますか？茂は何を買いますか？茂は何を']
5,武雄,1912,1910,武雄の職業は,武雄の職種は,武雄は何の仕事をしていますか？武雄は,['武雄の職業は、魔法使いである。\n\n魔法使いの職業は、魔法使いの魔力を使って、周囲の世界を操作する。\n\n魔法使いの魔力は、魔法'],['武雄の職種は、「魔法使い」。\n\n魔法使いの職業は、「魔法使い」と「魔法使いの妻」の2種類。魔法使いの職業は、「魔法使い'],['武雄は何の仕事をしていますか？武雄は何の仕事をしていますか？武雄は何の仕事をしていますか？武雄は何の仕事をしていますか？武雄は何の仕事をしていますか？武雄は']
6,正治,1912,1910,正治の職業は,正治の職種は,正治は何の仕事をしていますか？正治は,['正治の職業は、医師、看護師、看護師補、看護師助手、看護師助手補、看護師助手補助、看護師補助、看護師補助'],['正治の職種は、\n\n「医師」「看護師」「看護師補」「看護師補（臨時）」「看護師補（臨時）」「看護師補（臨時）」「看護'],['正治は何の仕事をしていますか？正治は何の仕事をしていますか？正治は何の仕事をしていますか？正治は何の仕事をしていますか？正治は何の仕事をしていますか？正治は何の仕事を']
7,三郎,1912,1910,三郎の職業は,三郎の職種は,三郎は何の仕事をしていますか？三郎は,['三郎の職業は、「魔術師」。\n\n魔術師の職業は、「魔術師」。\n\n魔術師の職業は、「魔術師」。\n\n魔術師の�'],['三郎の職種は、「魔法使い」。\n\n「魔法使い」は、魔法を使う職業。魔法使いの職種は、「魔法使い」と「魔法使いの妻」の2種�'],['三郎は何の仕事をしていますか？三郎は何の仕事をしていますか？\n\n三郎は何の仕事をしていますか？\n\n三郎は何の仕事をしていますか？\n\n三郎は何の仕事をしていますか？\n\n三�']
8,正夫,1912,1910,正夫の職業は,正夫の職種は,正夫は何の仕事をしていますか？正夫は,['正夫の職業は、銀行の役員である。\n\n「彼は、銀行の役員である。彼は、銀行の役員である。彼は、銀行の役員である。彼は、銀行'],['正夫の職種は、「ハンドメイド・アーティスト」。\n\n「ハンドメイド・アーティスト」とは、「ハンドメイド」とは、「手作り」を意味する言葉で、「アーティスト'],['正夫は何の仕事をしていますか？正夫は何の仕事をしていますか？正夫は何の仕事をしていますか？正夫は何の仕事をしていますか？正夫は何の仕事をしていますか？正夫は何の仕事を']
9,一郎,1912,1910,一郎の職業は,一郎の職種は,一郎は何の仕事をしていますか？一郎は,['一郎の職業は、「銀行員」となっています。\n\n銀行員の職業は、「銀行員」となっています。 銀行員の職業は、「銀行員」となっています。 銀行'],['一郎の職種は、「魔法使い」。\n\n「魔法使い」は、魔法を使うことで、人間の能力を上げることができる職業。魔法使いの中には、魔法の力を使って、人間の'],['一郎は何の仕事をしていますか？一郎は何の仕事をしていますか？\n\nA:\n\n「一郎は何の仕事をしていますか？」\n\n「何の仕事をしていますか？」は、「何の仕事をしているか？」と同じ']
