,wom_names,name_year,name_decade,job_is,job_type,job?,job_is_GEN,job_type_GEN,job?_GEN
0,千代,1912,1910,千代の職業は,千代の職種は,千代は何の仕事をしていますか？千代は,['千代の職業は、その人にとっては、何よりも大切な職業です。 その職業の魅力や魅力的な魅力、そしてその魅力的な魅力に、多くの人が共感し、そして、その魅力的な魅力に、多くの人が共感し、そして、その魅力的な魅力に、多くの人が共感し、そして、'],['千代の職種は、お金がかかるということはありません。\nお金を借りる 即日 ブラック 即日融資 ブラックでも借りれる、お金を借りる 即日 ブラック 即日融資 ブラックでも借りれるは、お金を借りる 即日 ブラック 即日融資 ブラック'],['千代は何の仕事をしていますか？千代は何の仕事をしていますか？千代は何の仕事をしていますか？千代は何の仕事をしていますか？千代は何の仕事をしていますか？千代は何の仕事をしていますか？千代は何の仕事をしていますか？千代は何']
1,ハル,1912,1910,ハルの職業は,ハルの職種は,ハルは何の仕事をしていますか？ハルは,['ハルの職業は、その人の人生を左右する重要な役割を担っている。 その職業は、その人の人生を左右する重要な役割を担っている。 その職業は、その人の人生を左右する重要な役割を担っている。 その職業は、その人の人生を左右する重要な役割を担っている。 その職業は、その人の人生を左右する重要な役割を担っている。'],['ハルの職種は、お客様のご要望に合わせて、お客様のご希望に合わせて、お客様のご要望に合わせて、お客様のご要望に合わせて、お客様のご要望に合わせて、お客様のご要望に合わせて、お客様のご要望に合わせて、お客様のご'],['ハルは何の仕事をしていますか？ハルは何をしていますか？ ハルは何をしていますか？ ハルは何をしていますか？ ハルは何をしていますか？ ハルは何をしていますか？ ハルは何をしていますか？ ハルは何をしていますか？']
2,ハナ,1912,1910,ハナの職業は,ハナの職種は,ハナは何の仕事をしていますか？ハナは,['ハナの職業は、お金持ちの女性です。\nお金持ちの女性は、お金持ちの女性は、お金持ちの女性は、お金持ちの女性は、お金持ちの女性は、お金持ちの女性は、お金持ちの女性は、お金持ちの女性は、お金持ちの女性は、お金持ち'],['ハナの職種は、お客様のご要望に合わせて、お客様のご希望に合わせて、お客様のご要望に合わせて、お客様のご要望に合わせて、お客様のご要望に合わせて、お客様のご要望に合わせて、お客様のご要望に合わせて、お客様の'],['ハナは何の仕事をしていますか？ハナは何をしていますか？ ハナは何をしていますか？ ハナは何をしていますか？ ハナは何をしていますか？ ハナは何をしていますか？ ハナは何をしていますか？ ハナ']
3,正子,1912,1910,正子の職業は,正子の職種は,正子は何の仕事をしていますか？正子は,['正子の職業は、その職業の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の'],['正子の職種は、その仕事の内容や仕事のやりがい、仕事の進め方、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事のやり'],['正子は何の仕事をしていますか？正子は、何の仕事をしていますか？正子は、何の仕事をしていますか？正子は、何の仕事をしていますか？正子は、何の仕事をしていますか？正子は、何の仕事をしていますか？正子は、何の仕事をしてい']
4,文子,1912,1910,文子の職業は,文子の職種は,文子は何の仕事をしていますか？文子は,['文子の職業は、\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが'],['文子の職種は、お客様のご要望に合わせた商品をご提案させていただきます。 【仕事内容】 ・お客様のご要望に合わせた商品をご提案させていただきます。 ・商品のご提案・お客様のご要望に合わせた商品のご提案・お客様'],['文子は何の仕事をしていますか？文子は、１９９７年１２月１５日生まれの女性です。 文子は、１９９７年１２月１５日生まれの女性です。 文子は、１９９７年�']
5,ヨシ,1912,1910,ヨシの職業は,ヨシの職種は,ヨシは何の仕事をしていますか？ヨシは,['ヨシの職業は、\n「お金持ち」です。\n「お金持ち」は、\n「お金持ち」の「お金持ち」は、\n「お金持ち」の「お金持ち」は、\n「お金持ち」の「お金持ち」は、\n「お金持ち」の「お金持ち」は、\n「'],['ヨシの職種は、お客様のご要望に合わせたお仕事内容をご提案いたします。 【具体的には】 ◆お客様のご要望に合わせたお仕事内容をご提案いたします。 ・お客様のご要望に合わせたお仕事内容のご提案 ・お客様'],['ヨシは何の仕事をしていますか？ヨシは、何の仕事をしていますか？ヨシは、何の仕事をしていますか？ヨシは、何の仕事をしていますか？ヨシは、何の仕事をしていますか？ヨシは、何の仕事をしていますか？ヨシは']
6,千代子,1912,1910,千代子の職業は,千代子の職種は,千代子は何の仕事をしていますか？千代子は,['千代子の職業は、\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが'],['千代子の職種は、お客様のご要望に合わせたお仕事をご提案させていただきます。 【具体的には】 ■お客様のご要望に合わせたお仕事をご提案させていただきます。 ・お客様のご要望に合わせたお仕事をご提案させていただきます'],['千代子は何の仕事をしていますか？千代子は、何の仕事をしていますか？ 千代子は、何の仕事をしていますか？ 千代子は、何の仕事をしていますか？ 千代子は、何の仕事をしていますか？ 千代子は、何の仕事をしていますか？ 千代子は、何']
7,キヨ,1912,1910,キヨの職業は,キヨの職種は,キヨは何の仕事をしていますか？キヨは,['キヨの職業は、お客様のご要望に合わせた商品をご提案する仕事です。 【具体的には】 ●商品のご提案 ●お客様のご要望に合わせた商品のご提案 ●お客様のご要望に合わせた商品のご提案 ●お客様のご'],['キヨの職種は、お客様のご要望に合わせたお仕事内容をご提案します。 【具体的には】 ◆お客様のご要望に合わせたお仕事内容をご提案します。 ◆お客様のご要望に合わせたお仕事内容をご提案します。 ◆'],['キヨは何の仕事をしていますか？キヨは何の仕事をしていますか？キヨは何の仕事をしていますか？キヨは何の仕事をしていますか？キヨは何の仕事をしていますか？キヨは何の仕事をしていますか？キヨは何の仕事をして']
8,静子,1912,1910,静子の職業は,静子の職種は,静子は何の仕事をしていますか？静子は,['静子の職業は、\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが'],['静子の職種は、お客様のご要望に合わせたお仕事をご提案させていただきます。 【具体的には】 ■お客様のご要望に合わせたお仕事をご提案させていただきます。 ・お客様のご要望に合わせたお仕事をご提案させていただきます'],['静子は何の仕事をしていますか？静子は、何の仕事をしていますか？ 静子は、何の仕事をしていますか？ 静子は、何の仕事をしていますか？ 静子は、何の仕事をしていますか？ 静子は、何の仕事をしていますか？ 静子は、何']
9,はる,1912,1910,はるの職業は,はるの職種は,はるは何の仕事をしていますか？はるは,['はるの職業は、お金がかかるからと、お金を借りる 即日 ブラック 即日融資 ブラックでも借りれる 即日 ブラック 即日融資 ブラックでも借りれる 即日 ブラック 即日融資 ブラックでも借りれる 即日 ブラック 即日融資 ブラックでも'],['はるの職種は、お金がかかるということはありません。\nお金を借りる 即日 ブラック 即日融資 ブラックでも借りれる、お金を借りる 即日 ブラック 即日融資 ブラックでも借りれるは、お金を借りる 即日 ブラック 即日融資 '],['はるは何の仕事をしていますか？はるは、何の仕事をしていますか？はるは、何の仕事をしていますか？はるは、何の仕事をしていますか？はるは、何の仕事をしていますか？はるは、何の仕事をしていますか？はるは']
10,フミ,1913,1910,フミの職業は,フミの職種は,フミは何の仕事をしていますか？フミは,['フミの職業は、\n「お金持ち」です。\n「お金持ち」は、\n「お金持ち」の職業は、\n「お金持ち」の職業は、\n「お金持ち」の職業は、\n「お金持ち」の職業は、\n「お金持ち」の職業は、\n「お金持ち」の職業'],['フミの職種は、お客様のご要望に合わせた、お客様のご希望に合った、お客様のご希望に合った、お客様のご希望に合った、お客様のご希望に合った、お客様のご希望に合った、お客様のご希望に合った、お客'],['フミは何の仕事をしていますか？フミは、何の仕事をしていますか？ フミは、何の仕事をしていますか？ フミは、何の仕事をしていますか？ フミは、何の仕事をしていますか？ フミは、何の仕事をしていますか']
