,wom_names,name_year,name_decade,job_is,job_type,job?,job_is_GEN,job_type_GEN,job?_GEN
0,千代,1912,1910,千代の職業は,千代の職種は,千代は何の仕事をしていますか？千代は,['千代の職業は【送料無料】【中古】ルイヴィトン ダミエ ポルトフォイユ・ブラザ 【Bランク】'],['千代の職種は【送料無料】【中古】ルイヴィトン ダミエ ポルトフォイユ・ブラザ 【Bランク】'],['千代は何の仕事をしていますか?千代は【送料無料】【中古】ルイヴィトン ダミエ ポルトフォイユ・ブラザ 【Bランク】']
1,ハル,1912,1910,ハルの職業は,ハルの職種は,ハルは何の仕事をしていますか？ハルは,['ハルの職業は【送料無料】【中古】シャネル キャビア・チェーンショルダー 【Bランク】'],['ハルの職種は【送料無料】【中古】ルイヴィトン ダミエグラフィット・ポルトフォイユ・ブラザN63095【Bランク】'],['ハルは何の仕事をしていますか?ハルは【送料無料】【中古】シャネル キャビア・チェーンショルダー 【Bランク】']
2,ハナ,1912,1910,ハナの職業は,ハナの職種は,ハナは何の仕事をしていますか？ハナは,['ハナの職業は【送料無料】【中古】シャネル キャビア・チェーンショルダー 【Bランク】'],['ハナの職種は【送料無料】【中古】ルイヴィトン ダミエ ポルトフォイユ・ブラザ 【Bランク】'],['ハナは何の仕事をしていますか?ハナは【送料無料】【中古】シャネル キャビア・チェーンショルダー 【Bランク】']
3,正子,1912,1910,正子の職業は,正子の職種は,正子は何の仕事をしていますか？正子は,['正子の職業は「お前は、俺の言うことを聞け」 と、言っているのと同じです。 この言葉は、相手をコントロールする言葉です。 相手をコントロールする言葉は、 相手を不幸にします。 相手を不幸にすると、 相手は、あなたを信頼しなくなります。 信頼しなくなると、 '],['正子の職種は「お前は、俺の言うことを聞け」 と、言ってるようなもんだ。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞く'],['正子は何の仕事をしていますか?正子は今年も、もうすぐ終わりですね。 皆さんは、どんな一年でしたか? 私は、今年は、本当に色々な事がありました。 まず、一番大きな出来事は、 私が、このブログを始めた事です。 ブログを始めた事で、 今まで、知らなかった事や']
4,文子,1912,1910,文子の職業は,文子の職種は,文子は何の仕事をしていますか？文子は,['文子の職業は「お前は、俺の嫁」 とか言ってる奴は、 嫁が「お前は、俺の子供」 とか言ってるのと同じだぞ。'],['文子の職種は「お前は、俺の嫁」 とか言ってる奴は、 嫁が「お前は、俺の子供」 とか言ってるのと同じだぞ。'],['文子は何の仕事をしていますか?文子は【送料無料】【中古】エルメス スカーフリング 【Aランク】']
5,ヨシ,1912,1910,ヨシの職業は,ヨシの職種は,ヨシは何の仕事をしていますか？ヨシは,['ヨシの職業は【送料無料】【中古】ルイヴィトン ダミエ ポルトフォイユ・ブラザ 【Bランク】'],['ヨシの職種は【送料無料】【中古】ルイヴィトン ダミエ ポルトフォイユ・ブラザ 【Bランク】'],['ヨシは何の仕事をしていますか?ヨシは「お前は、俺の言うことを聞け」 と、言ってるようなものです。 そういうことを言う人は、 自分は、相手をコントロールできる と思っているのでしょうが、 相手は、あなたをコントロール できると思っているのです。 あなたは、相手をコントロール ']
6,千代子,1912,1910,千代子の職業は,千代子の職種は,千代子は何の仕事をしていますか？千代子は,['千代子の職業は「お前は、俺の嫁」 とか言ってる奴は、 嫁が「お前は、俺の子供」 とか言ってるのと同じだぞ。'],['千代子の職種は【送料無料】【組立設置費込】日本製連結ベッド照明付きフロアベッドワイドキングサイズ280cm(D+D)(SGマーク国産ポケットコイルマットレス付き)『NOIE』ノイエダークブラウン(キングサイズベッドキングサイズワイド大きい大型2人夫婦家族ブラウン茶) インテリア・寝具・収納'],['千代子は何の仕事をしていますか?千代子は【送料無料】【中古】ルイヴィトン ダミエ ポルトフォイユ・ブラザ 【Bランク】']
7,キヨ,1912,1910,キヨの職業は,キヨの職種は,キヨは何の仕事をしていますか？キヨは,['キヨの職業は【送料無料】【中古】シャネル キャビア・チェーンショルダー 【Bランク】'],['キヨの職種は【送料無料】【中古】エルメス スカーフリング 【Aランク】'],['キヨは何の仕事をしていますか?キヨは「お前は、俺の言うことを聞け」 と、言ってるようなもんだ。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞くか。 そんなの、誰が聞く']
8,静子,1912,1910,静子の職業は,静子の職種は,静子は何の仕事をしていますか？静子は,['静子の職業は「お前は、俺の嫁」 とか言ってる奴は、 嫁が「お前は、俺の子供」 とか言ってるのと同じだと思う。'],['静子の職種は【送料無料】【中古】ルイヴィトン ダミエ ポルトフォイユ・ブラザ 【Bランク】'],['静子は何の仕事をしていますか?静子は「お前は、俺の嫁」 とか言ってる奴は、 嫁が「お前は、俺の子供」 とか言ってるのと同じだと思う。']
9,はる,1912,1910,はるの職業は,はるの職種は,はるは何の仕事をしていますか？はるは,['はるの職業は「お前は、俺の嫁」 とか言ってる奴は、 嫁が「お前は、俺の子供」 とか言ってるのと同じだと思う。'],['はるの職種は【送料無料】【中古】シャネル キャビア・チェーンショルダー 【Bランク】'],['はるは何の仕事をしていますか?はるは【送料無料】【中古】シャネル キャビア・チェーンショルダー 【Bランク】']
