,wom_names,name_year,name_decade,job_is,job_type,job?,job_is_GEN,job_type_GEN,job?_GEN
0,千代,1912,1910,千代の職業は,千代の職種は,千代は何の仕事をしていますか？千代は,['千代の職業は、\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n'],['千代の職種は、「ハイパーインフレ」の影響で、「ハイパーインフレ」の影響で、「ハイパーインフレ」の影響で、「ハイパーインフレ」の影響で、「�'],['千代は何の仕事をしていますか？千代は何の仕事をしていますか？\n\n千代は何の仕事をしていますか？\n\n千代は何の仕事をしていますか？\n\n千代は何の仕事をしていますか？\n\n千']
1,ハル,1912,1910,ハルの職業は,ハルの職種は,ハルは何の仕事をしていますか？ハルは,['ハルの職業は、\n\n「ハルの職業は、\n\n「ハルの職業は、\n\n「ハルの職業は、\n\n「ハルの職業は、\n\n「ハルの職業は、\n\n「ハルの職業は'],['ハルの職種は、「ハル」と呼ばれる。\n\nハルは、ハルの仕事は、ハルの人生を変える。\n\nハルは、ハルの仕事は、ハルの人生を変える。\n\nハ'],['ハルは何の仕事をしていますか？ハルは何の仕事をしていますか？\n\nハルは何の仕事をしていますか？ハルは何の仕事をしていますか？\n\nハルは何の仕事をしていますか？ハルは何の']
2,ハナ,1912,1910,ハナの職業は,ハナの職種は,ハナは何の仕事をしていますか？ハナは,['ハナの職業は、ハナの仕事をすることです。\n\nハナの仕事は、ハナの仕事をすることです。 ハナの仕事は、ハナの仕事をすることです。 ハナの仕事は、ハナの'],['ハナの職種は、ハナの体の大きさや体重、性別、年齢、性別、性別、性別、性別、性別、性別、性別、性別、性別、性別、性別、性別、'],['ハナは何の仕事をしていますか？ハナは何の仕事をしていますか？\n\nハナは何の仕事をしていますか？\n\nハナは何の仕事をしていますか？\n\nハナは何の仕事をしていますか？\n\nハ']
3,正子,1912,1910,正子の職業は,正子の職種は,正子は何の仕事をしていますか？正子は,['正子の職業は、「魔法使い」。\n\n「魔法使い」とは、魔法を使う人のこと。\n\n「魔法使い」とは、「魔法使い」のこと。\n\n「魔法使い」とは、「�'],['正子の職種は、「魔法使い」。\n\n「魔法使い」は、魔法を使うことで、周囲の世界を操作することができる。\n\n「魔法使い」は、魔法を使うことで、周'],['正子は何の仕事をしていますか？正子は何の仕事をしていますか？正子は何の仕事をしていますか？正子は何の仕事をしていますか？正子は何の仕事をしていますか？正子は何の仕事をしていますか？正子']
4,文子,1912,1910,文子の職業は,文子の職種は,文子は何の仕事をしていますか？文子は,['文子の職業は、「魔法使い」だった。\n\n「魔法使い」とは、魔法を使う人のことをいう。\n\n魔法使いは、魔法を使うことで、人々を魔法の力に誘�'],['文子の職種は、「魔法使い」。\n\n「魔法使い」は、魔法を使うことで、周囲の世界を操ることができる職業。魔法使いの中には、魔法の力を使って、周'],['文子は何の仕事をしていますか？文子は何の仕事をしていますか？\n\nA:\n\n文子は何の仕事をしていますか？\n\n「何の仕事をしていますか？」は「何の仕事をしているか？」と同じ意味です。\n']
5,ヨシ,1912,1910,ヨシの職業は,ヨシの職種は,ヨシは何の仕事をしていますか？ヨシは,['ヨシの職業は、魔法使いである。\n\n「魔法使い」とは、魔法を使う人のことをいう。\n\n魔法使いは、魔法を使うことで、人々を魔法の力に誘惑'],['ヨシの職種は、\n\n「ヨシの職種は、\n\n「ヨシの職種は、\n\n「ヨシの職種は、\n\n「ヨシの職種は、\n\n「ヨシの職種は、\n\n「ヨ'],['ヨシは何の仕事をしていますか？ヨシは何を食べていますか？ヨシは何を飲みますか？ヨシは何を買いますか？ヨシは何を買いますか？ヨシは何を買いますか？ヨシは何を']
6,千代子,1912,1910,千代子の職業は,千代子の職種は,千代子は何の仕事をしていますか？千代子は,['千代子の職業は、\n\n「魔法使い」\n\nとなっています。\n\n魔法使いの職業は、\n\n「魔法使い」\n\nとなっています。\n\n魔法使いの職業は、\n\n「魔法使'],['千代子の職種は、「おばあちゃん」と呼ばれる。\n\n「おばあちゃん」は、日本の伝統文化の中でも特に重要な役割を果たしている。日本の伝統文化の中で、「おばあち'],['千代子は何の仕事をしていますか？千代子は何の仕事をしていますか？\n\n千代子は、千代子は、千代子は、千代子は、千代子は、千代子は、千代子は、千代子は、']
7,キヨ,1912,1910,キヨの職業は,キヨの職種は,キヨは何の仕事をしていますか？キヨは,['キヨの職業は、\n\n「魔法使い」\n\nとなっています。\n\n魔法使いとは、魔法を使う人のことを言います。\n\n魔法使いの職業は、\n\n「魔法使い」\n\nとな'],['キヨの職種は、\n\n「ハイエナ」「ハイエナ」「ハイエナ」「ハイエナ」「ハイエナ」「ハイエナ」「ハイエナ」「ハイエナ」「ハイエナ」「ハイエ'],['キヨは何の仕事をしていますか？キヨは何の仕事をしていますか？\n\nキヨは、ハンドメイドのお店を経営しています。\n\nキヨは、ハンドメイドのお店を経営しています。']
8,静子,1912,1910,静子の職業は,静子の職種は,静子は何の仕事をしていますか？静子は,['静子の職業は、\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n'],['静子の職種は、どんな職種にもある。\n\n「私は、『ハイジ』という名前で、『ハイジ』という人間です。『ハイジ』という名前は、私の人生の中で、私の人生の中で、私の人生'],['静子は何の仕事をしていますか？静子は何の仕事をしていますか？静子は何の仕事をしていますか？静子は何の仕事をしていますか？静子は何の仕事をしていますか？静子は何の仕事を']
9,はる,1912,1910,はるの職業は,はるの職種は,はるは何の仕事をしていますか？はるは,['はるの職業は、\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n'],['はるの職種は、\n\n「ハイパー・ワン・ソフト」\n\n「ハイパー・ワン・ソフト」\n\n「ハイパー・ワン・ソフト」\n\n「ハイパー・ワン・ソフト'],['はるは何の仕事をしていますか？はるは何の仕事をしていますか？はるは何の仕事をしていますか？はるは何の仕事をしていますか？はるは何の仕事をしていますか？はるは何の仕事をしていますか？はる']
10,フミ,1913,1910,フミの職業は,フミの職種は,フミは何の仕事をしていますか？フミは,['フミの職業は、「魔法使い」。\n\n魔法使いの職業は、「魔法使い」。\n\n魔法使いの職業は、「魔法使い」。\n\n魔法使いの職業は、「�'],['フミの職種は、「ハイパー・ハイテク・ハイパー・ハイテク」と呼ばれる。\n\n「ハイパー・ハイテク・ハイパー・ハイテク」とは、「ハイパー・ハ'],['フミは何の仕事をしていますか？フミは何の仕事をしていますか？\n\nフミは、ハンバーガーの作り方を教えています。\n\nフミは、ハンバーガーの作り方を教えています。\n\nフミは、ハ']
11,マサ,1913,1910,マサの職業は,マサの職種は,マサは何の仕事をしていますか？マサは,['マサの職業は、「ハンドメイド」だ。\n\n「ハンドメイド」とは、「手作り」の意味である。\n\n「手作り」とは、「手で作る」ことを意味する。\n\n「手で作る」とは、「'],['マサの職種は、「ハイパー・ハイテク・ハイパー・ハイテク」と呼ばれる。\n\n「ハイパー・ハイテク・ハイパー・ハイテク」とは、「ハイパー・ハ'],['マサは何の仕事をしていますか？マサは何をしているのですか？\n\nマサは、ハンバーガーを作っています。\n\nマサは、ハンバーガーを作っています。\n\nマサは、ハンバーガーを作っています。']
12,きみ,1913,1910,きみの職業は,きみの職種は,きみは何の仕事をしていますか？きみは,['きみの職業は、「ハンドメイド」。\n\n「ハンドメイド」とは、「人間のように動く動物」を意味する。\n\n「ハンドメイド」は、「人間のように動く動物」を意味する。\n'],['きみの職種は、\n\n・アルバイト\n\n・パート\n\n・契約社員\n\n・専門職\n\n・その他\n\n・その他\n\n・その他\n\n・その他\n\n・その他\n\n・その他\n\n・その他\n\n・その'],['きみは何の仕事をしていますか？きみは何を考えているのですか？きみは何を考えているのですか？きみは何を考えているのですか？きみは何を考えているのですか？きみは何を考えているのですか？きみは何を考え']
13,きよ,1914,1910,きよの職業は,きよの職種は,きよは何の仕事をしていますか？きよは,['きよの職業は、\n\n「魔法使い」\n\nとなります。\n\n魔法使いの職業は、\n\n「魔法使い」\n\nとなります。\n\n魔法使いの職業は、\n\n「魔法使い」'],['きよの職種は、\n\n「ハンドメイド」\n\n「ハンドメイド」\n\n「ハンドメイド」\n\n「ハンドメイド」\n\n「ハンドメイド」\n\n「ハンドメイド」\n\n「ハ'],['きよは何の仕事をしていますか？きよは何の仕事をしていますか？きよは何の仕事をしていますか？きよは何の仕事をしていますか？きよは何の仕事をしていますか？きよは何の仕事をしていますか？きよ']
14,キミ,1914,1910,キミの職業は,キミの職種は,キミは何の仕事をしていますか？キミは,['キミの職業は、\n\n「魔法使い」\n\nとなっています。\n\n「魔法使い」とは、\n\n「魔法使いの妖精」\n\nともいわれています。\n\n「魔法使いの妖精」とは、'],['キミの職種は、\n\n「ハンター」\n\n「ハンター」\n\n「ハンター」\n\n「ハンター」\n\n「ハンター」\n\n「ハンター」\n\n「ハンター」\n\n「ハンター」\n\n「ハンター'],['キミは何の仕事をしていますか？キミは何を食べていますか？\n\nA:\n\n「何を食べているか」は「何を食べているのか」と同じ意味です。\n「何を食べているのか」は「何を食べているか」と']
15,トミ,1914,1910,トミの職業は,トミの職種は,トミは何の仕事をしていますか？トミは,['トミの職業は、\n\n「魔法使い」\n\nとなっています。\n\n魔法使いの職業は、\n\n「魔法使い」\n\nとなっています。\n\n魔法使いの職業は、\n\n「魔法使い」'],['トミの職種は、\n\n「ハイエナ」「ハイエナ」「ハイエナ」「ハイエナ」「ハイエナ」「ハイエナ」「ハイエナ」「ハイエナ」「ハイエナ」「ハイエナ'],['トミは何の仕事をしていますか？トミは何の仕事をしていますか？トミは何の仕事をしていますか？トミは何の仕事をしていますか？トミは何の仕事をしていますか？トミは何の仕事をしていますか？トミ']
16,光子,1914,1910,光子の職業は,光子の職種は,光子は何の仕事をしていますか？光子は,['光子の職業は、\n\n「光の職業」\n\nと呼ばれる。\n\n光の職業は、\n\n「光の職業」\n\nと呼ばれる。\n\n光の職業は、\n\n「光の職業」\n\nと'],['光子の職種は、\n\n「光子の職種」\n\n「光子の職種」\n\n「光子の職種」\n\n「光子の職種」\n\n「光子の職種」\n\n「光子の職�'],['光子は何の仕事をしていますか？光子は何の仕事をしていますか？光子は何の仕事をしていますか？光子は何の仕事をしていますか？光子は何の仕事をしていますか？光子は何の仕事を']
17,清子,1915,1910,清子の職業は,清子の職種は,清子は何の仕事をしていますか？清子は,['清子の職業は、\n\n「魔法使い」\n\nとなっています。\n\n魔法使いの職業は、\n\n「魔法使い」\n\nとなっています。\n\n魔法使いの職業は、\n\n「魔法使い'],['清子の職種は、「お客様のお気に入りのお店のお客様のお気に入りのお店のお客様のお気に入りのお店のお客様のお気に入りのお店のお客様'],['清子は何の仕事をしていますか？清子は何を食べていますか？清子は何を買いますか？清子は何を買いますか？清子は何を買いますか？清子は何を買いますか？清子は何を']
18,八重子,1916,1910,八重子の職業は,八重子の職種は,八重子は何の仕事をしていますか？八重子は,['八重子の職業は、\n\n「魔法使い」\n\nとなっています。\n\n魔法使いの職業は、\n\n「魔法使い」\n\nとなっています。\n\n魔法使いの職業は、\n\n「魔法使'],['八重子の職種は、\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い'],['八重子は何の仕事をしていますか？八重子は何の仕事をしていますか？\n\n八重子は、八重子は、八重子は、八重子は、八重子は、八重子は、八重子は、八重子は、']
19,貞子,1916,1910,貞子の職業は,貞子の職種は,貞子は何の仕事をしていますか？貞子は,['貞子の職業は、魔術師である。\n\n「魔術師は、魔法を使うことで、人間の生命を奪うこともできる。魔術師は、魔法を使うことで、人間の生�'],['貞子の職種は、「魔法使い」。\n\n魔法使いの職種は、「魔法使い」と「魔法使いの妻」の2種類。\n\n魔法使いの職種は、「魔'],['貞子は何の仕事をしていますか？貞子は何の仕事をしていますか？貞子は何の仕事をしていますか？貞子は何の仕事をしていますか？貞子は何の仕事をしていますか？貞子は何の仕事を']
20,愛子,1917,1910,愛子の職業は,愛子の職種は,愛子は何の仕事をしていますか？愛子は,['愛子の職業は、\n\n「魔法使い」\n\nとなっています。\n\n魔法使いの職業は、\n\n「魔法使い」\n\nとなっています。\n\n魔法使いの職業は、\n\n「魔法使い'],['愛子の職種は、「お嬢様」と呼ばれる。\n\n「お嬢様」とは、男性が女性を見て、「ああ、この子はお嬢様だ」と思うような、特別な存在だ。\n\n「'],['愛子は何の仕事をしていますか？愛子は何の仕事をしていますか？\n\nA:\n\n「愛子は何の仕事をしていますか？」\n\n「何の仕事をしていますか？」は、「何の仕事をしているか」の意味']
21,美代子,1917,1910,美代子の職業は,美代子の職種は,美代子は何の仕事をしていますか？美代子は,['美代子の職業は、「ホームレス」だった。\n\n「私は、ホームレスの子どもたちを支援するために、ホームレスの子どもたちのために、ホームレスの子どもたちのために、�'],['美代子の職種は、「ハンドメイド」。\n\n「ハンドメイド」とは、「ハンドメイド」という言葉をもじって、「ハンドメイド」という職業を指す。\n\n「ハンドメイ'],['美代子は何の仕事をしていますか？美代子は何の仕事をしていますか？\n\n美代子は、「美代子のおかげで、私は今、この世界で、この仕事をしています。」と言います。\n\n美代子は、']
22,久子,1918,1910,久子の職業は,久子の職種は,久子は何の仕事をしていますか？久子は,['久子の職業は、魔法使いである。\n\n「魔法使い」とは、魔法を使う人のことである。\n\n「魔法使い」とは、魔法を使う人のことである。\n\n「魔法使い」'],['久子の職種は、「魔法使い」だった。\n\n「魔法使い」とは、魔法を使う人のこと。\n\n「魔法使い」とは、魔法を使う人のこと。\n\n「魔法使い」と'],['久子は何の仕事をしていますか？久子は何の仕事をしていますか？\n\n久子は何の仕事をしていますか？\n\n久子は何の仕事をしていますか？\n\n久子は何の仕事をしていますか？\n\n久']
23,和子,1919,1910,和子の職業は,和子の職種は,和子は何の仕事をしていますか？和子は,['和子の職業は、\n\n「学校教育職」と「学校教育職以外職」の２種類に分類される。\n\n「学校教育職」は、学校教育の職業である。\n\n「学'],['和子の職種は、「アルバイト」「パート」「フリーター」「専門職」の4つ。\n\n「アルバイト」は、「パート」と「フリーター」に次ぐ、最も多くの人が働いている職業で'],"['和子は何の仕事をしていますか？和子はホームセンターでバイトをしています。\n\n2\n00:00:22,936 --> 00:00:24,972\n(和子)あっ そうなんですか｡\n\n3\n00:00:24,972 --> 00']"
24,芳子,1920,1920,芳子の職業は,芳子の職種は,芳子は何の仕事をしていますか？芳子は,['芳子の職業は、「ホームレス」だった。\n\n「私は、ホームレスの子どもたちを支援するために、ホームレスの子どもたちのために、ホームレスの子どもたちのために、ホ'],['芳子の職種は、「お菓子の作り方」「お菓子の作り方」「お菓子の作り方」「お菓子の作り方」「お菓子の作り方」「お菓子の作り方」「お�'],['芳子は何の仕事をしていますか？芳子は何の仕事をしていますか？芳子は何の仕事をしていますか？芳子は何の仕事をしていますか？芳子は何の仕事をしていますか？芳子は何の仕事を']
25,君子,1920,1920,君子の職業は,君子の職種は,君子は何の仕事をしていますか？君子は,['君子の職業は、\n\n「魔法使い」\n\nとなる。\n\n「魔法使い」とは、\n\n「魔法使いの術」\n\nともいう。\n\n「魔法使いの術」とは、\n\n「魔'],['君子の職種は、\n\n「お前は、俺のおかげで、この世界を救った。\n\n俺のおかげで、お前は、この世界を救った。\n\nお前は、俺のおかげで、この世界を救った。\n\nお'],['君子は何の仕事をしていますか？君子は何の仕事をしていますか？\n\nA:\n\n「君子は何の仕事をしていますか？」\n\n「何の仕事をしていますか？」は、「何の仕事をしているか」の意味']
26,幸子,1921,1920,幸子の職業は,幸子の職種は,幸子は何の仕事をしていますか？幸子は,['幸子の職業は、\n\n「魔法使い」\n\nと言われている。\n\n「魔法使い」とは、\n\n「魔法使いの妻」\n\nともいわれる。\n\n「魔法使いの妻」とは、\n\n'],['幸子の職種は、「おばあちゃん」「おじいちゃん」「おじいさん」「おばあさん」「おじさん」「おばあさん」「おじさん」「おじさん」「おじさん」「おじさん」「おじさん」「おじさん」「'],['幸子は何の仕事をしていますか？幸子は何を買い物に行っていますか？\n\nA:\n\n「[何]{なん}の[仕事]{しごと}をしていますか？」\n「[何]{なん}を[買]{か}い物に行っています']
27,敏子,1921,1920,敏子の職業は,敏子の職種は,敏子は何の仕事をしていますか？敏子は,['敏子の職業は、魔法使いである。\n\n「魔法使い」とは、魔法を使う人のことである。\n\n「魔法使い」とは、魔法を使う人のことである。\n\n「魔法使い」'],['敏子の職種は、「魔法使い」。\n\n魔法使いの職業候補としては、「魔法使い」、「魔法使いの家」、「魔法使いの家の主」、「魔法使いの家'],['敏子は何の仕事をしていますか？敏子は何の仕事をしていますか？敏子は何の仕事をしていますか？敏子は何の仕事をしていますか？敏子は何の仕事をしていますか？敏子は何の仕事を']
28,信子,1924,1920,信子の職業は,信子の職種は,信子は何の仕事をしていますか？信子は,['信子の職業は、「魔法使い」。\n\n「魔法使い」は、魔法を使うことで、人間の能力を上げることができる。\n\n「魔法使い」は、魔法を使うことで、人間の能力を'],['信子の職種は、「ハイパー・ワン・ワン」と呼ばれる。\n\n「ハイパー・ワン・ワン」とは、「ハイパー・ワン」と「ワン・ワン」の合計で、「�'],['信子は何の仕事をしていますか？信子は何の仕事をしていますか？\n\nA:\n\n「信子は何の仕事をしていますか？」は「何の仕事をしていますか？」と同じ意味です。\n「信子は何の仕事をし']
29,照子,1926,1920,照子の職業は,照子の職種は,照子は何の仕事をしていますか？照子は,['照子の職業は、「学校教育職員」となっています。\n\nまた、「学校教育職員」の定義は、「学校教育に関する事務の実施に従事する職員」となっ'],['照子の職種は、「学生」「学生の家族」「学生の家族の親族」「学生の家族の親族の親族」「学生の家族の親族の親族の親族」「学生'],['照子は何の仕事をしていますか？照子は何の仕事をしていますか？\n\nA:\n\n照子は何の仕事をしていますか？\n\n「照子は何の仕事をしていますか？」は「照子は何をしている']
30,昭子,1927,1920,昭子の職業は,昭子の職種は,昭子は何の仕事をしていますか？昭子は,['昭子の職業は、魔法使いである。\n\n魔法使いの職業は、魔法使いの魔法使いである。\n\n魔法使いの魔法使いである。 魔法使いの魔法使い'],['昭子の職種は、「魔法使い」だった。\n\n魔法使いは、魔法の力を使って、周囲の世界を操作する。\n\n魔法使いの職種は、「魔法使い」だった。'],['昭子は何の仕事をしていますか？昭子は何の仕事をしていますか？\n\nA:\n\n「昭子は何の仕事をしていますか？」\n\n「何の仕事をしていますか？」は、「何の仕事をしているか」の意味']
31,節子,1927,1920,節子の職業は,節子の職種は,節子は何の仕事をしていますか？節子は,['節子の職業は、「魔法使い」だった。\n\n「魔法使い」とは、魔法を使う人のことをいう。\n\n魔法使いは、魔法を使うことで、人々を魔法の力に�'],['節子の職種は、「魔法使い」「魔法使いの妻」「魔法使いの妻の妹」「魔法使いの妻の妹の妹」「魔法使いの妻の妹の妹の妹'],['節子は何の仕事をしていますか？節子は何の仕事をしていますか？\n\nA:\n\n「節子は何の仕事をしていますか？」\n\n「何の仕事をしていますか？」は、「何の仕事をしているか」の']
32,典子,1928,1920,典子の職業は,典子の職種は,典子は何の仕事をしていますか？典子は,['典子の職業は、「魔法使い」だった。\n\n「魔法使い」とは、魔法を使う人のことをいう。\n\n魔法使いは、魔法を使うことで、人々を魔法の世界に�'],['典子の職種は、「魔法使い」だった。\n\n「魔法使い」は、魔法を使うことで、人間の生活を変えることができる。\n\n魔法使いは、魔法を使うことで、人間の生'],['典子は何の仕事をしていますか？典子は何の仕事をしていますか？\n\n典子は、「ハロー！プロジェクト」のプロデューサー兼ディレクターを務める。\n\n典子は、「ハロ']
33,孝子,1930,1930,孝子の職業は,孝子の職種は,孝子は何の仕事をしていますか？孝子は,['孝子の職業は、「魔術師」だった。\n\n「魔術師」とは、「魔術」とは、「魔法」のことである。\n\n「魔術師」とは、「魔術」とは、'],['孝子の職種は、「魔法使い」だった。\n\n「魔法使い」は、魔法を使うことで、人間の生活をより豊かにする職業だ。\n\n「魔法使い」は、魔法を使う'],['孝子は何の仕事をしていますか？孝子は何の仕事をしていますか？\n\nA:\n\n「孝子は何の仕事をしていますか？」\n\n「何の仕事をしていますか？」は、「何の仕事をしているか」と同じ意']
34,美智子,1931,1930,美智子の職業は,美智子の職種は,美智子は何の仕事をしていますか？美智子は,['美智子の職業は、「ホームレス支援」だった。\n\n「ホームレス支援」とは、ホームレスの人々を支援する活動のことだ。\n\n「ホームレス支援」の活動は、'],['美智子の職種は、「ハーバード大学の学生」と「ハーバード大学の教員」だった。\n\n「ハーバード大学の学生」は、ハーバード大学の学生で、ハーバード大学の学生の'],['美智子は何の仕事をしていますか？美智子は何の仕事をしていますか？\n\n美智子は、「美智子と一緒にいる」ということを、「美智子と一緒にいる」ということを、「美']
35,洋子,1931,1930,洋子の職業は,洋子の職種は,洋子は何の仕事をしていますか？洋子は,['洋子の職業は、\n\n「ハイジ」\n\nということである。\n\nハイジは、\n\n「ハイジ」\n\nという職業の人々が、\n\n「ハイジ」\n\nという言葉を使う。\n\n「ハイジ」\n'],['洋子の職種は、「ハンター」「ハンターの妻」「ハンターの娘」「ハンターの息子」「ハンターの息子の妻」「ハンターの息子の娘」「ハンターの息子の�'],['洋子は何の仕事をしていますか？洋子は何の仕事をしていますか？洋子は何の仕事をしていますか？洋子は何の仕事をしていますか？洋子は何の仕事をしていますか？洋子は何の仕事を']
