統計名：,時系列データ 人口の労働力状態，就業者の産業・職業,,,,,,,,
表番号：,009-1990,,,,,,,,
表題：,職業（小分類），従業上の地位（７区分），男女別15歳以上就業者数－全国（平成2年）,,,,,,,,
実施年月：,2005年,-,,,,,,,
,,,,,,,,,
***,当該数値がないもの,,,,,,,,
-,当該数値がないもの,,,,,,,,
,,,,,,,,,
,,,,,,/男女_時系列 コード,100,110,120
,,,,,,/男女_時系列,総数,男,女
,,,,,,/従業上の地位７区分_時系列（雇用者明細なし） コード,100,100,100
表章項目 コード,表章項目,時間軸（調査年） コード,時間軸（調査年）,職業小分類1990 コード,職業小分類1990,/従業上の地位７区分_時系列（雇用者明細なし）,総数,総数,総数
334,就業者数【人】,1990000000,1990年,100,総数,,61679338,37236828,24442510
334,就業者数【人】,1990000000,1990年,110,Ａ専門的・技術的職業従事者,,7268149,4336216,2931933
334,就業者数【人】,1990000000,1990年,120,(1)科学研究者,,116108,102963,13145
334,就業者数【人】,1990000000,1990年,130,1自然科学系研究者,,110364,98023,12341
334,就業者数【人】,1990000000,1990年,140,2人文・社会科学系研究者,,5744,4940,804
334,就業者数【人】,1990000000,1990年,150,(2)技術者,,2108239,1976564,131675
334,就業者数【人】,1990000000,1990年,160,3農林水産業・食品技術者,,65626,61121,4505
334,就業者数【人】,1990000000,1990年,170,4金属製錬技術者,,23038,22832,206
334,就業者数【人】,1990000000,1990年,180,5機械・航空機・造船技術者,,276179,271303,4876
334,就業者数【人】,1990000000,1990年,190,6電気・電子技術者,,318277,311776,6501
334,就業者数【人】,1990000000,1990年,200,7化学技術者,,81775,75255,6520
334,就業者数【人】,1990000000,1990年,210,8建築技術者,,380098,367754,12344
334,就業者数【人】,1990000000,1990年,220,9土木・測量技術者,,339069,336695,2374
334,就業者数【人】,1990000000,1990年,230,10情報処理技術者,,558463,467761,90702
334,就業者数【人】,1990000000,1990年,240,11その他の技術者,,65714,62067,3647
334,就業者数【人】,1990000000,1990年,250,(3)保健医療従事者,,1820685,534580,1286105
334,就業者数【人】,1990000000,1990年,260,12医師,,204369,180147,24222
334,就業者数【人】,1990000000,1990年,270,13歯科医師,,72033,62339,9694
334,就業者数【人】,1990000000,1990年,280,14獣医師,,17024,15507,1517
334,就業者数【人】,1990000000,1990年,290,15薬剤師,,102389,38657,63732
334,就業者数【人】,1990000000,1990年,300,16保健婦,,26432,-,26432
334,就業者数【人】,1990000000,1990年,310,17助産婦,,16246,-,16246
334,就業者数【人】,1990000000,1990年,320,18看護婦，看護士,,770536,24018,746518
334,就業者数【人】,1990000000,1990年,330,19診療放射線・エックス線技師,,32562,29759,2803
334,就業者数【人】,1990000000,1990年,340,20臨床・衛生検査技師,,57841,24220,33621
334,就業者数【人】,1990000000,1990年,350,21歯科衛生士,,44507,-,44507
334,就業者数【人】,1990000000,1990年,360,22歯科技工士,,48847,41970,6877
334,就業者数【人】,1990000000,1990年,370,23栄養士,,65269,3599,61670
334,就業者数【人】,1990000000,1990年,380,24あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師,,88619,65254,23365
334,就業者数【人】,1990000000,1990年,390,25その他の保健医療従事者,,274011,49110,224901
334,就業者数【人】,1990000000,1990年,400,(4)社会福祉専門職業従事者,,421853,61971,359882
334,就業者数【人】,1990000000,1990年,410,26保母，保父,,255058,1603,253455
334,就業者数【人】,1990000000,1990年,420,27その他の社会福祉専門職業従事者,,166795,60368,106427
334,就業者数【人】,1990000000,1990年,430,(5)法務従事者,,49989,44995,4994
334,就業者数【人】,1990000000,1990年,440,28裁判官，検察官，弁護士,,17624,16584,1040
334,就業者数【人】,1990000000,1990年,450,29その他の法務従事者,,32365,28411,3954
334,就業者数【人】,1990000000,1990年,460,(6)公認会計士，税理士,,58318,55064,3254
334,就業者数【人】,1990000000,1990年,470,30公認会計士，税理士,,58318,55064,3254
334,就業者数【人】,1990000000,1990年,480,(7)教員,,1436900,816303,620597
334,就業者数【人】,1990000000,1990年,490,31幼稚園教員,,95062,5264,89798
334,就業者数【人】,1990000000,1990年,500,32小学校教員,,442182,183916,258266
334,就業者数【人】,1990000000,1990年,510,33中学校教員,,282971,177467,105504
334,就業者数【人】,1990000000,1990年,520,34高等学校教員,,330761,252496,78265
334,就業者数【人】,1990000000,1990年,530,35大学教員,,143444,116436,27008
334,就業者数【人】,1990000000,1990年,540,36盲学校・ろう(聾)学校・養護学校教員,,44631,20494,24137
334,就業者数【人】,1990000000,1990年,550,37その他の教員,,97849,60230,37619
334,就業者数【人】,1990000000,1990年,560,(8)宗教家,,119928,99954,19974
334,就業者数【人】,1990000000,1990年,570,38宗教家,,119928,99954,19974
334,就業者数【人】,1990000000,1990年,580,(9)文芸家，記者，編集者,,117392,87786,29606
334,就業者数【人】,1990000000,1990年,590,39文芸家，著述家,,27629,18258,9371
334,就業者数【人】,1990000000,1990年,600,40記者，編集者,,89763,69528,20235
334,就業者数【人】,1990000000,1990年,610,(10)美術家，写真家，デザイナー,,251419,164829,86590
334,就業者数【人】,1990000000,1990年,620,41彫刻家，画家，工芸美術家,,31383,21482,9901
334,就業者数【人】,1990000000,1990年,630,42デザイナー,,156855,87939,68916
334,就業者数【人】,1990000000,1990年,640,43写真家，カメラマン,,63181,55408,7773
334,就業者数【人】,1990000000,1990年,650,(11)音楽家，舞台芸術家,,178633,60681,117952
334,就業者数【人】,1990000000,1990年,660,44音楽家(個人に教授するものを除く),,21940,15049,6891
334,就業者数【人】,1990000000,1990年,670,45音楽家(個人に教授するもの),,92233,7529,84704
334,就業者数【人】,1990000000,1990年,680,46俳優，舞踊家，演芸家(個人に教授するものを除く),,49981,34335,15646
334,就業者数【人】,1990000000,1990年,690,47俳優，舞踊家，演芸家(個人に教授するもの),,14479,3768,10711
334,就業者数【人】,1990000000,1990年,700,(12)その他の専門的・技術的職業従事者,,588685,330526,258159
334,就業者数【人】,1990000000,1990年,710,48個人教師(学習指導),,184716,105314,79402
334,就業者数【人】,1990000000,1990年,720,49個人教師(他に分類されないもの),,107235,21329,85906
334,就業者数【人】,1990000000,1990年,730,50職業スポーツ家(個人に教授するものを除く),,12444,11690,754
334,就業者数【人】,1990000000,1990年,740,51職業スポーツ家(個人に教授するもの),,55842,28829,27013
334,就業者数【人】,1990000000,1990年,750,52他に分類されない専門的・技術的職業従事者,,228448,163364,65084
334,就業者数【人】,1990000000,1990年,760,Ｂ管理的職業従事者,,2542905,2310804,232101
334,就業者数【人】,1990000000,1990年,770,(13)管理的公務員,,152302,148939,3363
334,就業者数【人】,1990000000,1990年,780,53管理的公務員,,152302,148939,3363
334,就業者数【人】,1990000000,1990年,790,(14)会社・団体等の役員,,1582881,1378166,204715
334,就業者数【人】,1990000000,1990年,800,54会社役員,,1522153,1321415,200738
334,就業者数【人】,1990000000,1990年,810,55その他の法人・団体の役員,,60728,56751,3977
334,就業者数【人】,1990000000,1990年,820,(15)その他の管理的職業従事者,,807722,783699,24023
334,就業者数【人】,1990000000,1990年,830,56会社・団体等の管理的職業従事者,,721845,706816,15029
334,就業者数【人】,1990000000,1990年,840,57他に分類されない管理的職業従事者,,85877,76883,8994
334,就業者数【人】,1990000000,1990年,850,Ｃ事務従事者,,11767163,4614216,7152947
334,就業者数【人】,1990000000,1990年,860,(16)一般事務従事者,,11077814,4269068,6808746
334,就業者数【人】,1990000000,1990年,870,58一般事務員,,8362032,3619040,4742992
334,就業者数【人】,1990000000,1990年,880,59会計事務員,,2715782,650028,2065754
334,就業者数【人】,1990000000,1990年,890,(17)外勤事務従事者,,98065,43709,54356
334,就業者数【人】,1990000000,1990年,900,60集金人,,69013,33785,35228
334,就業者数【人】,1990000000,1990年,910,61その他の外勤事務従事者,,29052,9924,19128
334,就業者数【人】,1990000000,1990年,920,(18)運輸・通信事務従事者,,232043,184007,48036
334,就業者数【人】,1990000000,1990年,930,62運輸事務員,,125158,113317,11841
334,就業者数【人】,1990000000,1990年,940,63郵便・通信事務員,,106885,70690,36195
334,就業者数【人】,1990000000,1990年,950,(19)その他の事務従事者,,359241,117432,241809
334,就業者数【人】,1990000000,1990年,960,64速記者，タイピスト,,68352,5194,63158
334,就業者数【人】,1990000000,1990年,970,65せん孔機等操作員,,53313,4345,48968
334,就業者数【人】,1990000000,1990年,980,66電子計算機等操作員,,237576,107893,129683
