職業,総数raw,男raw,女raw,総数,男,女
総数,35575,21811,13763,35575000,21811000,13763000
専門的技術的職業従事者,1632,1129,505,1632000,1129000,505000
採鉱および冶金技術者,9,9,0,9000,9000,0
土木建築施工監督技術者,32,32,0,32000,32000,0
土木建築計画設計技術者,27,27,0,27000,27000,0
化学技術者,14,13,0,14000,13000,0
機械技術者,30,30,0,30000,30000,0
電気技術者,45,45,0,45000,45000,0
農業技術員,46,45,1,46000,45000,1000
蚕業技術員,9,8,1,9000,8000,1000
林業技術員,8,8,0,8000,8000,0
漁業技術員,2,2,0,2000,2000,0
測量技術員,11,11,0,11000,11000,0
ラジオ放送技術員,15,15,0,15000,15000,0
製図および写図技術員,20,17,2,20000,17000,2000
航海士、船舶機関士、水先案内人,15,15,0,15000,15000,0
高等、中、小、および幼稚園の教師,588,373,215,588000,373000,215000
大学、高等（旧）、専門学校教師,29,26,3,29000,26000,3000
医師,76,69,7,76000,69000,7000
歯科医師,27,24,3,27000,24000,3000
獣医師,9,8,0,9000,8000,0
薬剤師,25,18,7,25000,18000,7000
栄養士,2,1,1,2000,1000,1000
保健婦,10,0,10,10000,0,10000
助産婦,37,0,37,37000,0,37000
看護婦,91,0,91,91000,0,91000
あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師,44,33,11,44000,33000,11000
著述者,3,3,0,3000,3000,0
編集者、記者,25,24,1,25000,24000,1000
音楽家、音楽教師,11,7,4,11000,7000,4000
俳優、舞踏家、舞台芸術家,16,8,7,16000,8000,7000
画家、彫刻家、美術家,11,11,1,11000,11000,1000
職業スポーツ家,6,6,0,6000,6000,0
自然科学研究者,15,14,1,15000,14000,1000
人文科学研究者,1,1,0,1000,1000,0
写真師,23,21,2,23000,21000,2000
図案家、デザイナー,4,4,0,4000,4000,0
裁判官、弁護士、弁理士,14,14,0,14000,14000,0
会計士,5,5,0,5000,5000,0
宗教家,106,87,18,106000,87000,18000
社会福祉事業職員,18,5,14,18000,5000,14000
管理的職業,709,683,26,709000,683000,26000
国家公務員,36,36,0,36000,36000,0
地方公務員,63,63,0,63000,63000,0
駅長、区長,32,32,0,32000,32000,0
鉄道専務車掌,1,1,0,1000,1000,0
郵便局長、電報電話局業務長,14,14,0,14000,14000,0
会社役員,149,147,2,149000,147000,2000
小売店の管理者,15,12,2,15000,12000,2000
船長、機関長、事務長,26,26,0,26000,26000,0
事務従事者,3036,2140,896,3036000,2140000,896000
会計事務員,668,421,247,668000,421000,247000
速記者、タイピスト,444,4,40,444000,4000,40000
図書事務員,3,2,1,3000,2000,1000
郵便局事務職員,62,46,16,62000,46000,16000
郵便電信集配人,54,53,1,54000,53000,1000
郵船電信通信員,24,22,0,24000,22000,0
電話交換手,64,2,61,64000,2000,61000
駅務従事員,78,75,4,78000,75000,4000
集金人,33,27,6,33000,27000,6000
給仕,35,11,24,35000,11000,24000
鉄道、電車、バス車掌,47,37,10,47000,37000,10000
販売従業者,2982,1844,1139,2982000,1844000,1139000
行商人、露天商,293,189,103,293000,189000,103000
公債、有価証券,2,2,0,2000,2000,0
不動産,5,5,0,5000,5000,0
保険代理人,32,29,3,32000,29000,3000
広告宣伝人,4,4,1,4000,4000,1000
勧誘員、外交員,104,100,4,104000,100000,4000
仲買人,108,95,13,108000,95000,13000
飲食店主,89,48,41,89000,48000,41000
小売店主,917,705,212,917000,705000,212000
製造,106,68,37,106000,68000,37000
卸売,213,178,36,213000,178000,36000
小売り,1047,387,661,1047000,387000,661000
農夫、伐木夫、猟師,17040,8658,8382,17040000,8658000,8382000
農耕,5233,4395,839,5233000,4395000,839000
養蚕,34,20,14,34000,20000,14000
畜産,38,30,9,38000,30000,9000
農耕・賃金,346,190,156,346000,190000,156000
養蚕・賃金,3,1,2,3000,1000,2000
畜産・賃金,12,10,2,12000,10000,2000
農耕・家族,10088,3008,7079,10088000,3008000,7079000
養蚕・家族,155,18,137,155000,18000,137000
畜産・家族,44,14,30,44000,14000,30000
植木・造園,16,15,1,16000,15000,1000
伐木夫,94,91,3,94000,91000,3000
運材夫,57,55,2,57000,55000,2000
植林,18,15,3,18000,15000,3000
特殊林産物採取人,15,13,3,15000,13000,3000
炭焼夫,229,189,40,229000,189000,40000
猟師,1,1,0,1000,1000,0
漁業者,315,288,28,315000,288000,28000
漁業・賃金,272,260,12,272000,260000,12000
潜水漁夫,2,1,2,2000,1000,2000
藻、貝類採取人,44,28,1,44000,28000,1000
水産養殖,9,6,3,9000,6000,3000
漁船の船長、機関長、事務長,9,9,0,9000,9000,0
採鉱採石的職業,405,370,34,405000,370000,34000
採鉱夫,12,11,0,12000,11000,0
採炭夫,131,130,1,131000,130000,1000
支柱夫,48,48,0,48000,48000,0
坑内運搬夫,29,29,1,29000,29000,1000
運鉱夫,7,5,2,7000,5000,2000
運炭夫,222,7,15,222000,7000,15000
採掘,3,3,0,3000,3000,0
石切出,19,18,0,19000,18000,0
土砂採取,2,18,4,2000,18000,4000
採鉱単純労働者,43,35,8,43000,35000,8000
採掘監督,11,11,0,11000,11000,0
運輸的職業,440,435,5,440000,435000,5000
バス運転手,64,63,1,64000,63000,1000
トラック運転手,201,201,0,201000,201000,0
電車運転手,22,22,0,22000,22000,0
工場、鉱山の電車運転手,4,4,0,4000,4000,0
人力車夫,8,8,0,8000,8000,0
牛馬車,49,48,1,49000,48000,1000
電気機関車機関士,6,6,0,6000,6000,0
機関車機関士,35,35,0,35000,35000,0
水夫、甲板員,36,36,0,36000,36000,0
船頭,14,10,4,14000,10000,4000
特殊技能工、生産工程従事者,7838,5932,1906,7838000,5932000,1906000
特殊技能工、生産工程従事者,6415,4735,1680,6415000,4735000,1680000
自動車組立、修理,82,81,0,82000,81000,0
鉄道車両組立、修理,29,29,0,29000,29000,0
船舶組立、修理,22,22,0,22000,22000,0
鋳物工,73,70,3,73000,70000,3000
鍛造工,78,75,2,78000,75000,2000
製蹄師,6,6,0,6000,6000,0
圧延工,26,26,0,26000,26000,0
熱処理工,5,5,0,5000,5000,0
鉄工,17,17,0,17000,17000,0
？,2,22,0,2000,22000,0
配管工,22,22,0,22000,22000,0
工具工,2,2,0,2000,2000,0
板金工,62,60,2,62000,60000,2000
鋳物徒弟,2,2,0,2000,2000,0
鍛造徒弟,9,8,1,9000,8000,1000
製鉄工,13,13,0,13000,13000,0
非鉄金属製錬工,7,6,0,7000,6000,0
溶接工,50,49,1,50000,49000,1000
ヤスリ仕上工,40,36,4,40000,36000,4000
研磨盤工,7,7,1,7000,7000,1000
伸線工,6,6,0,6000,6000,0
