職業,総数,男,女,old_title
総数,61679338,37236828,24442510,総数
専門的・技術的職業従事者,7268149,4336216,2931933,Ａ専門的・技術的職業従事者
科学研究者,116108,102963,13145,(1)科学研究者
自然科学系研究者,110364,98023,12341,1自然科学系研究者
人文・社会科学系研究者,5744,4940,804,2人文・社会科学系研究者
技術者,2108239,1976564,131675,(2)技術者
農林水産業・食品技術者,65626,61121,4505,3農林水産業・食品技術者
金属製錬技術者,23038,22832,206,4金属製錬技術者
機械・航空機・造船技術者,276179,271303,4876,5機械・航空機・造船技術者
電気・電子技術者,318277,311776,6501,6電気・電子技術者
化学技術者,81775,75255,6520,7化学技術者
建築技術者,380098,367754,12344,8建築技術者
土木・測量技術者,339069,336695,2374,9土木・測量技術者
情報処理技術者,558463,467761,90702,10情報処理技術者
保健医療従事者,1820685,534580,1286105,(3)保健医療従事者
医師,204369,180147,24222,12医師
歯科医師,72033,62339,9694,13歯科医師
獣医師,17024,15507,1517,14獣医師
薬剤師,102389,38657,63732,15薬剤師
保健婦,26432,-,26432,16保健婦
助産婦,16246,-,16246,17助産婦
看護婦，看護士,770536,24018,746518,18看護婦，看護士
診療放射線・エックス線技師,32562,29759,2803,19診療放射線・エックス線技師
臨床・衛生検査技師,57841,24220,33621,20臨床・衛生検査技師
歯科衛生士,44507,-,44507,21歯科衛生士
歯科技工士,48847,41970,6877,22歯科技工士
栄養士,65269,3599,61670,23栄養士
あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師,88619,65254,23365,24あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師
社会福祉専門職業従事者,421853,61971,359882,(4)社会福祉専門職業従事者
保母，保父,255058,1603,253455,26保母，保父
法務従事者,49989,44995,4994,(5)法務従事者
裁判官，検察官，弁護士,17624,16584,1040,28裁判官，検察官，弁護士
公認会計士，税理士,58318,55064,3254,(6)公認会計士，税理士
公認会計士，税理士,58318,55064,3254,30公認会計士，税理士
教員,1436900,816303,620597,(7)教員
幼稚園教員,95062,5264,89798,31幼稚園教員
小学校教員,442182,183916,258266,32小学校教員
中学校教員,282971,177467,105504,33中学校教員
高等学校教員,330761,252496,78265,34高等学校教員
大学教員,143444,116436,27008,35大学教員
盲学校・ろう聾学校・養護学校教員,44631,20494,24137,36盲学校・ろう(聾)学校・養護学校教員
宗教家,119928,99954,19974,(8)宗教家
宗教家,119928,99954,19974,38宗教家
文芸家，記者，編集者,117392,87786,29606,(9)文芸家，記者，編集者
文芸家，著述家,27629,18258,9371,39文芸家，著述家
記者，編集者,89763,69528,20235,40記者，編集者
美術家，写真家，デザイナー,251419,164829,86590,(10)美術家，写真家，デザイナー
彫刻家，画家，工芸美術家,31383,21482,9901,41彫刻家，画家，工芸美術家
デザイナー,156855,87939,68916,42デザイナー
写真家，カメラマン,63181,55408,7773,43写真家，カメラマン
音楽家，舞台芸術家,178633,60681,117952,(11)音楽家，舞台芸術家
音楽家個人に教授するものを除く,21940,15049,6891,44音楽家(個人に教授するものを除く)
音楽家個人に教授するもの,92233,7529,84704,45音楽家(個人に教授するもの)
俳優，舞踊家，演芸家個人に教授するものを除く,49981,34335,15646,46俳優，舞踊家，演芸家(個人に教授するものを除く)
俳優，舞踊家，演芸家個人に教授するもの,14479,3768,10711,47俳優，舞踊家，演芸家(個人に教授するもの)
個人教師学習指導,184716,105314,79402,48個人教師(学習指導)
個人教師他に分類されないもの,107235,21329,85906,49個人教師(他に分類されないもの)
職業スポーツ家個人に教授するものを除く,12444,11690,754,50職業スポーツ家(個人に教授するものを除く)
職業スポーツ家個人に教授するもの,55842,28829,27013,51職業スポーツ家(個人に教授するもの)
他に分類されない専門的・技術的職業従事者,228448,163364,65084,52他に分類されない専門的・技術的職業従事者
管理的職業従事者,2542905,2310804,232101,Ｂ管理的職業従事者
管理的公務員,152302,148939,3363,(13)管理的公務員
管理的公務員,152302,148939,3363,53管理的公務員
会社・団体等の役員,1582881,1378166,204715,(14)会社・団体等の役員
会社役員,1522153,1321415,200738,54会社役員
会社・団体等の管理的職業従事者,721845,706816,15029,56会社・団体等の管理的職業従事者
他に分類されない管理的職業従事者,85877,76883,8994,57他に分類されない管理的職業従事者
事務従事者,11767163,4614216,7152947,Ｃ事務従事者
一般事務従事者,11077814,4269068,6808746,(16)一般事務従事者
一般事務員,8362032,3619040,4742992,58一般事務員
会計事務員,2715782,650028,2065754,59会計事務員
外勤事務従事者,98065,43709,54356,(17)外勤事務従事者
集金人,69013,33785,35228,60集金人
運輸・通信事務従事者,232043,184007,48036,(18)運輸・通信事務従事者
運輸事務員,125158,113317,11841,62運輸事務員
郵便・通信事務員,106885,70690,36195,63郵便・通信事務員
速記者，タイピスト,68352,5194,63158,64速記者，タイピスト
せん孔機等操作員,53313,4345,48968,65せん孔機等操作員
電子計算機等操作員,237576,107893,129683,66電子計算機等操作員
販売従事者,8795460,5564595,3230865,Ｄ販売従事者
