職業,総数,男,女
総数,57673630,31525680,26147950
管理的職業従事者,1196900,1010680,186220
管理的公務員,51870,44650,7220
管理的公務員,51870,44650,7220
法人・団体役員,968990,811530,157460
会社役員,913490,767880,145620
法人・団体管理的職業従事者,120420,112010,8400
他に分類されない管理的職業従事者,55620,42480,13140
専門的・技術的職業従事者,10270980,5231410,5039570
研究者,103910,79640,24280
自然科学系研究者,98020,75420,22590
人文・社会科学系等研究者,5900,4220,1680
技術者,2693290,2356170,337120
農林水産・食品技術者,51140,39410,11720
電気・電子・電気通信技術者（通信ネットワーク技術者を除く）,305190,288400,16800
機械技術者,242820,228640,14180
輸送用機器技術者,137470,130040,7430
金属技術者,25660,24240,1430
化学技術者,91350,73630,17730
建築技術者,242580,211400,31180
土木・測量技術者,263870,249320,14550
システムコンサルタント・設計者,656770,555360,101410
ソフトウェア作成者,389760,317450,72310
保健医療従事者,3073950,897180,2176770
医師,303660,229560,74100
歯科医師,98340,72050,26300
獣医師,24680,16690,8000
薬剤師,243650,86110,157540
保健師,49110,1570,47550
助産師,27550,-,27550
看護師（准看護師を含む）,1385950,106810,1279140
診療放射線技師,57490,42130,15360
臨床検査技師,82720,22180,60530
理学療法士，作業療法士,202540,107160,95390
視能訓練士，言語聴覚士,26930,5570,21360
歯科衛生士,128740,230,128510
歯科技工士,39320,31990,7330
栄養士,121310,5540,115770
あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師,118210,85200,33010
社会福祉専門職業従事者,1166790,197650,969140
保育士,634080,19930,614150
法務従事者,83750,67680,16070
裁判官，検察官，弁護士,33710,27510,6190
弁理士，司法書士,25560,20860,4710
経営・金融・保険専門職業従事者,190400,154840,35560
公認会計士,21850,17860,3990
税理士,63850,53630,10220
社会保険労務士,21780,14570,7210
教員,1429280,683430,745850
幼稚園教員,143310,7680,135620
小学校教員,421160,156830,264330
中学校教員,231400,128460,102940
高等学校教員,257460,167310,90150
特別支援学校教員,78310,29600,48710
大学教員,179620,124700,54920
宗教家,100390,86070,14330
宗教家,100390,86070,14330
著述家，記者，編集者,114060,63390,50670
著述家,30130,16060,14070
記者，編集者,83930,47330,36590
美術家，デザイナー，写真家，映像撮影者,317590,165310,152280
彫刻家，画家，工芸美術家,47320,22120,25200
デザイナー,201100,96720,104390
写真家，映像撮影者,69170,46470,22690
音楽家，舞台芸術家,88250,54660,33580
音楽家,26080,16100,9980
舞踊家，俳優，演出家，演芸家,62160,38560,23600
図書館司書，学芸員,31080,6220,24850
個人教師（音楽）,70110,8860,61250
個人教師（舞踊，俳優，演出，演芸）,19810,4570,15240
個人教師（スポーツ）,120470,55720,64740
個人教師（学習指導）,226070,118210,107860
個人教師（他に分類されないもの）,102960,24210,78740
職業スポーツ従事者,11980,10940,1040
通信機器操作従事者,17770,14340,3430
他に分類されない専門的職業従事者,309100,182330,126770
事務従事者,11756080,4600740,7155340
一般事務従事者,8096860,3101820,4995050
庶務・人事事務員,1057330,421240,636090
受付・案内事務員,369800,47960,321840
電話応接事務員,292540,64130,228410
総合事務員,2639330,604330,2035000
会計事務従事者,1523600,375940,1147660
会計事務従事者,1523600,375940,1147660
生産関連事務従事者,584650,396420,188230
生産関連事務従事者,584650,396420,188230
営業・販売事務従事者,872440,417090,455350
営業・販売事務従事者,872440,417090,455350
外勤事務従事者,77390,27130,50260
集金人,18690,7060,11630
調査員,24460,10360,14090
運輸・郵便事務従事者,364410,221720,142700
運輸事務員,217830,155350,62480
郵便事務員,146590,66370,80220
事務用機器操作員,236720,60630,176100
パーソナルコンピュータ操作員,58290,20620,37670
データ・エントリー装置操作員,155710,26050,129660
販売従事者,6797870,3677260,3120600
商品販売従事者,3704260,1304570,2399690
小売店主・店長,303970,214400,89570
卸売店主・店長,42430,36810,5620
販売店員,3291060,1006170,2284900
商品訪問・移動販売従事者,23200,10540,12670
再生資源回収・卸売従事者,14090,12840,1250
商品仕入外交員,29500,23830,5680
販売類似職業従事者,416210,229920,186290
不動産仲介・売買人,99270,72480,26790
保険代理・仲立人（ブローカー）,25610,18090,7520
営業職業従事者,2677390,2142770,534630
医薬品営業職業従事者,83260,72070,11180
機械器具・通信・システム営業職業従事者,581280,527630,53640
金融・保険営業職業従事者,467050,224690,242360
不動産営業職業従事者,138640,109080,29560
サービス職業従事者,6846830,2128320,4718510
家庭生活支援サービス職業従事者,20820,1160,19660
家政婦（夫），家事手伝い,7250,140,7120
介護サービス職業従事者,1634740,389720,1245020
介護職員（医療・福祉施設等）,1358960,357800,1001160
訪問介護従事者,275770,31920,243860
保健医療サービス職業従事者,305500,18150,287350
看護助手,138040,10400,127640
生活衛生サービス職業従事者,750420,227520,522900
理容師,140770,82700,58080
美容師,351060,88440,262630
美容サービス従事者（美容師を除く）,119220,5310,113910
浴場従事者,34540,12610,21930
クリーニング職，洗張職,104820,38460,66360
飲食物調理従事者,1829800,708530,1121260
調理人,1822470,702590,1119870
バーテンダー,7330,5940,1390
接客・給仕職業従事者,1452570,453280,999290
飲食店主・店長,114270,54020,60250
旅館主・支配人,24510,17060,7450
飲食物給仕・身の回り世話従事者,887020,199290,687730
接客社交従事者,18460,2370,16090
娯楽場等接客員,408310,180540,227770
居住施設・ビル等管理人,239760,179250,60510
マンション・アパート・下宿・寄宿舎・寮管理人,146920,101240,45680
ビル管理人,42610,34440,8170
駐車場管理人,50230,43560,6670
旅行・観光案内人,15860,7390,8470
物品一時預り人,910,360,550
物品賃貸人,63760,36140,27630
広告宣伝員,26890,9360,17530
葬儀師，火葬作業員,49200,26300,22900
他に分類されないサービス職業従事者,456590,71160,385430
保安職業従事者,1104210,1019900,84310
保安職業従事者,1104210,1019900,84310
自衛官,230380,210390,19990
警察官，海上保安官,251160,220960,30200
消防員,148580,144230,4350
警備員,374690,357250,17440
他に分類されない保安職業従事者,84720,73910,10810
農林漁業従事者,1898800,1205200,693600
農業従事者,1735160,1067910,667250
農耕従事者,1452780,850400,602380
養畜従事者,154470,99790,54670
植木職，造園師,122810,113350,9460
林業従事者,43710,40980,2730
育林従事者,17480,16160,1320
伐木・造材・集材従事者,20480,19990,490
漁業従事者,119930,96310,23620
漁労従事者,66470,57690,8780
船長・航海士・機関長・機関士（漁労船）,6510,6490,10
海藻・貝採取従事者,10280,7380,2900
水産養殖従事者,33980,23960,10020
生産工程従事者,7534000,5263320,2270670
製品製造・加工処理従事者（金属製品）,1073520,970440,103080
製銑・製鋼・非鉄金属製錬従事者,39090,37830,1250
鋳物製造・鍛造従事者,36120,34420,1700
金属工作機械作業従事者,152140,139960,12180
金属プレス従事者,61420,52140,9280
鉄工，製缶従事者,53660,51960,1700
板金従事者,73170,69470,3710
金属彫刻・表面処理従事者,37220,32700,4510
金属溶接・溶断従事者,163710,157300,6410
製品製造・加工処理従事者（金属製品を除く）,3018290,1635240,1383050
化学製品製造従事者,219640,168950,50690
窯業・土石製品製造従事者,139770,117400,22370
食料品製造従事者,1227480,476590,750890
飲料・たばこ製造従事者,45150,34290,10850
紡織・衣服・繊維製品製造従事者,274370,88650,185720
木・紙製品製造従事者,273160,214470,58690
印刷・製本従事者,180700,126450,54250
ゴム・プラスチック製品製造従事者,298880,219140,79740
機械組立従事者,1261100,969420,291680
はん用・生産用・業務用機械器具組立従事者,334370,280020,54350
電気機械器具組立従事者,485760,321610,164150
自動車組立従事者,344560,291780,52790
輸送機械組立従事者（自動車を除く）,52740,48120,4630
計量計測機器・光学機械器具組立従事者,43660,27900,15760
機械整備・修理従事者,942120,912580,29530
はん用・生産用・業務用機械器具整備・修理従事者,401150,388710,12440
電気機械器具整備・修理従事者,93070,86700,6370
自動車整備・修理従事者,376070,368820,7250
輸送機械整備・修理従事者（自動車を除く）,58640,56790,1850
計量計測機器・光学機械器具整備・修理従事者,13190,11570,1620
製品検査従事者,369160,156130,213030
金属製品検査従事者,85860,48910,36950
化学製品検査従事者,42810,18760,24050
窯業・土石製品検査従事者,22560,15110,7460
