職業,総数,男,女
総数,64450005,32390155,32059850
有業者,29619640,19030237,10589403
農業,14140107,7743045,6397062
水産業,546624,501078,45546
鉱業,251220,210174,41046
工業,5699581,4269151,1430430
商業,4478098,3013903,1464195
交通業,1107574,1028595,78979
公務自由業,2044151,1691803,352348
家事使用人,781319,84203,697116
その他の有業者,570966,488265,82701
無業,34830365,13359918,21470447
農耕,13549491,7453883,6095608
畜産,60630,44637,15993
鉱業,354644,99404,255240
林業,175342,145141,30201
漁業,546624,501078,45546
採炭,182558,147134,35424
採鉱,31873,28424,3449
石油鉱業,2845,2768,77
土石採取,33944,31848,2096
土石加工,169414,141205,28209
？,705395,685555,19840
精巧工業,57921,55345,2576
化学製品製造,127537,102279,25258
紡織工業,1361153,434705,926448
？,497698,317392,180306
紙工業印刷,265263,227623,37640
皮革,33119,28602,4517
木、竹,703325,635981,67344
製？,21848,18222,3626
飲食料品製造,446803,342333,104470
土木建築,1000078,996567,3511
？,128624,128486,138
その他の工業的職業,181406,154856,26550
商業的職業,3255215,2511073,744142
金融保険,61843,56756,5087
接客業,1161040,446074,714966
運輸,9935922,904732,9031190
通信,171652,123863,47789
官史、公史,436293,420005,16288
陸海軍,242796,242796,0
法務,7492,7492,0
教育,327192,225305,101887
宗教家,151248,126776,24472
警察,266637,126569,140068
書記的,439418,399405,40013
記者的,114773,89841,24932
その他の自由業,58302,53614,4688
家事使用人,781319,84203,697116
その他の有業者,570966,488265,82701
？,190836,120194,70642
その他の無業者,34639529,13239724,21399805
農耕業主,4830807,4417087,413720
農業管理,8341,8341,0
作男,247012,193448,53564
その他　農業,139732,92636,47096
農業手助,8291393,2711162,5580231
造園師、植木,28524,28514,10
？,3682,2695,987
養畜業主,21440,17875,3565
搾乳,4708,4500,208
牧場管理,666,663,3
牧夫,16303,15567,736
畜産手助,17504,6032,11472
？,62672,44291,18381
？,4207,4142,65
？,9632,9277,355
？,29140,11342,17798
？,248993,30352,218641
森林業主,1477,1429,48
林産物,36294,35652,642
林管理,1649,1649,0
森林労務者,18800,17230,1570
炭焼夫,85543,59474,26069
伐木夫,24616,24424,192
その他　森林,6963,5283,1680
漁業主,233346,230906,2440
漁業技術者,1050,1048,2
漁業労務者,169148,165273,3875
漁業手助,143080,103851,39229
炭鉱業主,932,927,5
採炭技術者　監督,9180,9180,0
採炭夫,477647,77647,400000
後山,22637,3393,19244
運炭夫,5185,5120,65
支柱夫,6780,6780,0
その他　炭鉱,19850,16965,2885
選炭夫,11914,2143,9771
その他　採炭,28433,24979,3454
鉱山業主,1540,1530,10
鉱山技術者　監督,1656,1656,0
坑内労務者,15586,15218,368
坑外労務者,13091,10020,3071
石油工業主,81,79,2
石油技術員　監督,178,178,0
？,2419,2353,66
その他　石油,167,158,9
土石採取業主,8143,8042,101
石切出夫,13067,13067,0
土砂採取,11113,9857,1256
その他　土石,1621,882,739
窯業主,11707,11459,248
？,1836,1836,0
原料工,4247,3620,627
成型工,26146,19766,6380
焼成工,15173,13468,1705
ガラス熔解,947,936,11
ガラス吹,4570,4482,88
ガラス成型,19093,15481,3612
？,11839,8477,3362
？,1345,1007,338
仕上工,4133,3392,741
石綿工,5714,5444,270
煉瓦、瓦,53518,44703,8815
？,9143,7134,2009
？,35330,34806,524
？,2640,2640,0
製錬技術者　監督,680,680,0
造船機械技術者　監督,8212,8212,0
その他　技術者監督,1927,1927,0
精錬工,11354,11350,4
圧延工,18550,18274,276
金粉、箔打,2362,2022,340
？,69236,68656,580
金属彫刻,2626,2612,14
釘、鋲、針,7332,6482,850
針金網,5371,4075,1296
鍛冶,133970,129722,4248
？,22499,22494,5
目立,9209,9083,126
？,865,863,2
鋳物師,49205,48656,549
鋳掛け,3618,3502,116
旋盤工,48073,47828,245
プレス工,14149,12399,1750
？,23104,23059,45
穿孔工,5573,5573,0
？,15072,15072,0
溶接工,5692,5692,0
？,6463,6463,0
網具師,1123,1123,0
着色工,11667,11304,363
仕上げ工,116531,114632,1899
検査工,6656,6187,469
自動車製造工,23617,23054,563
蓄電池,874,836,38
乾電池,1619,1229,390
コイル巻き,1434,969,465
絶縁,1786,907,879
機械器具装置,9117,9117,0
？,27859,24055,3804
精巧工業主,4567,4499,68
精巧鉱業技術員　監督,1245,1245,0
？,21873,20937,936
時計製造,13287,12810,477
貴金属細工,11469,10826,643
楽器製造,5480,5028,452
化学製品製造業主,14040,13689,351
？,5371,5369,2
？,3254,2295,959
？,5778,5027,751
？,56234,47649,8585
？,27387,17247,10140
セルロイド成型,6723,5413,1310
？,8750,5590,3160
裁縫,8043,7162,881
紡績,1105,1091,14
織物,34483,29148,5335
？,39924,38073,1851
？,19128,15435,3693
繭,16457,11376,5081
乾燥糸,382799,5939,376860
揚返,22547,1132,21415
真綿工,2183,567,1616
原毛工,2171,1485,686
？,2562,1263,1299
？,21887,14406,7481
？,15607,6584,9023
？,28910,4359,24551
製紡,76679,12394,64285
？,1217,152,1065
？,69355,6191,63164
検査工,5884,2170,3714
結束工,9249,7511,1738
機械準備工,20935,6810,14125
機械工,277153,47013,230140
？,2747,910,1837
？,35388,10597,24791
刺しゅう工,8129,4716,3413
編工,31393,18477,12916
漂白,13314,11154,2160
染色,94615,84607,10008
織布仕上,27890,19691,8199
洗濯,53169,45392,7777
製鋼工,15452,6748,8704
？,20778,12152,8626
被服裁縫業主,40687,34024,6663
身装品,9623,9368,255
？,1388,688,700
裁断工,248482,123415,125067
フェルト,1537,1056,481
パナマ帽子,12625,1230,11395
他の帽子,7375,5396,1979
袋物,4117,3618,499
扇子,3240,2337,903
提灯、傘,37275,28923,8352
洋傘,4171,3601,570
下駄,54651,52079,2572
草履、履き物,378815,21217,357598
？,24571,23574,997
？,10138,6866,3272
紙製品,5213,5026,187
紙製品,7940,7558,382
製版印刷,12752,12435,317
写真師,18749,17982,767
表具師,23465,22861,604
製本,18809,16132,2677
製版印刷技術者,11375,1365,10010
その他の技術者,1227,1217,10
？,5289,4577,712
？,24981,13047,11934
？,14631,10375,4256
？,27391,18681,8710
活字,1773,1449,324
文選、植字,24306,21598,2708
製版工,6766,6633,133
印刷工,66390,63059,3331
？,4206,3628,578
皮革製品,2154,2111,43
骨、角,5625,2507,3118
？,214,213,1
製革製造,4546,4387,159
擬革,282,243,39
皮革製造工,8399,7612,787
骨角細工工,9216,7479,1737
？,5683,3990,1693
製材合板,7986,7927,59
？,28864,25596,3268
製材工,84259,83503,756
合板製造工,875,768,107
屋根板製造,6224,5960,264
建具、指物,208629,207481,1148
樽、桶,57209,56739,470
木箱,10788,10440,348
？,17073,16072,1001
曲物,7027,6541,486
木型,6724,6723,1
漆工,31148,28916,2232
車大工、船大工,41473,41473,0
木工,19040,18964,76
？,20523,3362,17161
？,48692,47644,1048
？,19172,15143,4029
竹細工,26336,20660,5676
？,61283,32069,29214
？,2323,2284,39
？,2461,2449,12
？,17064,13489,3575
精穀製粉,21482,20695,787
豆腐,21388,19744,1644
味噌醤油,8194,7931,263
酒類,8149,7830,319
菓子,34274,33102,1172
製茶,562,549,13
？,16452,15788,664
砂糖類,234,234,0
醸造技術員,980,980,0
？,1864,1844,20
？,52380,35016,17364
麺類,15550,10545,5005
豆腐,32505,13174,19331
菓子,113155,90167,22988
製糖,2142,2020,122
麹,3155,1995,1160
味噌醤油,25831,24094,1737
和酒,14604,13337,1267
その他　酒,1454,1322,132
清涼飲料,4427,3473,954
缶詰,2736,1865,871
？,39213,25256,13957
製茶,2566,1604,962
たばこ,17782,4616,13166
製氷,3016,2998,18
？,2618,2154,464
土木建築,43270,43116,154
土木建築　職員監督,21310,21310,0
大工,456943,456943,0
左官,96854,96845,9
煉瓦、タイル張,6559,6559,0
石工,71299,71297,2
鉄筋,2569,2567,2
屋根職,25566,25566,0
道路工夫,13392,13392,0
鉄道軌道線路工夫,35518,35518,0
土工,165393,165296,97
とび職,32728,32728,0
？,28677,25430,3247
？,992,992,0
？,2511,2511,0
電気技術者,13129,13128,1
？,3455,3455,0
電工,101549,101548,1
？,6988,6852,136
その他　製造,6676,6412,264
その他　技術者,346,344,2
印判,7724,7585,139
？,20524,16321,4203
造花,3278,2358,920
塗装工,31500,30813,687
製鋼工,12100,11585,515
選別工,5947,2138,3809
？,48366,48026,340
荷造,38051,24036,14015
その他工業的職,6894,5238,1656
物品販売,1385206,1130259,254947
仲買人,109573,103847,5726
興行主,14976,10761,4215
その他商業,8324,7267,1057
店員,684469,661702,22767
商業手助,632205,249873,382332
外交員,39423,39034,389
集金人,13479,12017,1462
？,318570,256229,62341
？,48990,40084,8906
銀行家,9902,9896,6
貸金、質屋,15635,12750,2885
その他　金融,1202,1169,33
保険代理業者,20192,19948,244
?,14912,12993,1919
旅館業主,50443,30165,20278
料理店業主,189775,118544,71231
？,181436,63101,118335
料理人,88252,72873,15379
芸妓,76639,0,76639
？,48839,0,48839
？,254608,9320,245288
浴場業主,55633,34288,21345
理髪店,215415,117783,97632
？,780,780,0
自動車業主,17755,17516,239
船舶運輸,24732,24639,93
？,13237,12934,303
？,18356,17797,559
駅長助役,9752,9752,0
改札係,9885,8936,949
小荷物係,15630,15630,0
？,15970,15909,61
？,27977,25479,2498
車掌,34986,28801,6185
機関車機関手,20370,20370,0
電車運転手,14228,14228,0
自動車運転手,124178,123900,278
船長,10872,10872,0
船舶運転士,3825,3825,0
船舶機関士,19520,19520,0
船舶事務員,1300,1300,0
水夫,39133,39133,0
船舶　石炭夫,15513,15513,0
舟夫,66911,57895,9016
航空機乗員,238,236,2
人力車夫,33459,33459,0
荷車,113029,110740,2289
仲仕,175486,171139,4347
配達夫,55430,54319,1111
？,55370,50110,5260
通信業主,63157,52903,10254
電信通信員,18613,16725,1888
無線電信,1253,1253,0
電話交換手,36717,1160,35557
集配手,51279,51225,54
？,633,597,36
神官、神職,13505,13505,0
管史,171139,170207,932
公史,125400,124789,611
？,126249,111504,14745
陸軍将校,14992,14992,0
陸軍　下士官,142530,142530,0
海軍将校,7658,7658,0
海軍　下士官,77616,77616,0
弁護士,6046,6046,0
？,1446,1446,0
学校長、教職員,316774,223023,93751
その他　教育,10418,2282,8136
神道,33995,23260,10735
僧侶,104206,94751,9455
牧師,3750,2684,1066
その他　宗教家,9297,6081,3216
医師,44040,42687,1353
歯科医師,15362,14614,748
薬剤師,11379,10439,940
看護人,84268,1733,82535
産婆,35884,0,35884
あん摩,46973,33189,13784
整骨,3955,3955,0
？,6294,6294,0
？,18482,13658,4824
会計、簿記,75831,68182,7649
速記者,7087,734,6353
？,356500,330489,26011
記者、著述家,25061,24629,432
画家,16423,15986,437
音楽家、舞踏家,28272,15604,12668
俳優,14040,10759,3281
その他　芸術,30977,22863,8114
？,8534,8519,15
？,5495,5379,116
計理士,863,863,0
代書人,12188,12005,183
？,31222,26848,4374
？,706128,36942,669186
家事使用人,75191,47261,27930
給仕,43404,34567,8837
案内人,9046,4725,4321
門衛,30634,27134,3500
倉庫夫,138840,13540,125300
掃除夫,31205,26515,4690
雑役夫,2085222,173497,1911725
？,212498,188424,24074
その他　有業者,21817,19863,1954
？,55843,39298,16545
小作料に依る者,46392,28604,17788
？,88601,52292,36309
学生製と,11455792,6059082,5396710
従属者,22486707,6856633,15630074
？,15529,10883,4646
？,8910,4561,4349
在監人,5828,5662,166
その他　無業者,666763,302903,363860
