職業,総数,男,女,old_title
総数,52110190,31719725,20390465,総数
専門的・技術的職業従事者,3427550,2171125,1256425,Ａ専門的・技術的職業従事者
科学研究者,99250,94090,5160,(1)科学研究者
自然科学系研究者,96980,92125,4855,1自然科学系研究者
人文・社会科学系研究者,2270,1965,305,2人文・社会科学系研究者
技術者,701040,691245,9795,(2)技術者
鉱山技術者,2505,2500,5,3鉱山技術者
金属製錬技術者,14140,14105,35,4金属製錬技術者
機械技術者,119665,119245,420,5機械技術者
電気・電子技術者,123195,122805,390,6電気・電子技術者
化学技術者,36180,35415,765,7化学技術者
建築技術者,111600,110325,1275,8建築技術者
土木・測量技術者,139805,139335,470,9土木・測量技術者
農林技術者,63250,62335,915,10農林技術者
情報処理技術者,44990,40520,4470,11情報処理技術者
その他の技術者,45710,44660,1050,11その他の技術者
保健医療従事者,838250,279875,558375,(3)保健医療従事者
医師,118765,107520,11245,12医師
歯科医師,36835,32730,4105,13歯科医師
薬剤師,50170,26000,24170,15薬剤師
助産婦,17225,0,17225,助産婦
保健婦,15600,0,15600,保健婦
栄養士,29915,1430,28485,栄養士
看護婦，看護士,314285,7505,306780,18看護婦，看護士
あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師,61265,40185,21080,24あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師
その他の保健医療従事者,194190,64505,129685,25その他の保健医療従事者
法務従事者,31825,30090,1735,(5)法務従事者
裁判官，検察官，弁護士,12490,12190,300,28裁判官，検察官，弁護士
その他の法務従事者,19335,17900,1435,29その他の法務従事者
公認会計士，税理士,23400,22735,665,(6)公認会計士，税理士
公認会計士，税理士,23400,22735,665,30公認会計士，税理士
教員,1000865,621490,379375,(7)教員
幼稚園教員,52395,2655,49740,31幼稚園教員
小学校教員,364950,177575,187375,32小学校教員
中学校教員,218600,159100,59500,33中学校教員
高等学校教員,216380,176100,40280,34高等学校教員
大学教員,82775,70330,12445,35大学教員
盲学校・ろう聾学校・養護学校教員,11830,6550,5280,36盲学校・ろう(聾)学校・養護学校教員
その他の教員,53935,29180,24755,37その他の教員
宗教家,103955,83490,20465,(8)宗教家
宗教家,103955,83490,20465,38宗教家
文芸家，記者，編集者,77060,67335,9725,(9)文芸家，記者，編集者
文芸家，著述家,10840,9170,1670,39文芸家，著述家
記者，編集者,66220,58165,8055,40記者，編集者
美術家，写真家，デザイナー,118625,68180,50445,(10)美術家，写真家，デザイナー
彫刻家，画家，工芸美術家,13635,11880,1755,41彫刻家，画家，工芸美術家
デザイナー,70630,44180,26450,42デザイナー
写真家，カメラマン,34360,32120,2240,43写真家，カメラマン
音楽家，舞台芸術家,95615,54210,41405,(11)音楽家，舞台芸術家
音楽家,49610,21700,27910,45音楽家
俳優，舞踊家，演芸家,33790,20830,12960,46俳優，舞踊家，演芸家
職業スポーツ家,12215,11680,535,50職業スポーツ家
その他の専門的・技術的職業従事者,337665,138385,199280,(12)その他の専門的・技術的職業従事者
獣医師,10790,10615,175,獣医師
保母、保父,95845,0,95845,保母、保父
社会福祉事業専門職員,35995,19855,16140,社会福祉事業専門職員
個人教師学習指導,98690,33020,65670,48個人教師(学習指導)
他に分類されない専門的・技術的職業従事者,96345,74895,21450,52他に分類されない専門的・技術的職業従事者
管理的職業従事者,2052295,1954705,97590,Ｂ管理的職業従事者
管理的公務員,109865,108805,1060,(13)管理的公務員
管理的公務員,109865,108805,1060,53管理的公務員
会社・団体等の役員,970725,891045,79680,(14)会社・団体等の役員
会社役員,920400,842215,78185,54会社役員
公社・公団　役員,1365,1350,15,公社・公団　役員
その他の法人・団体の役員,48960,47480,1480,55その他の法人・団体の役員
その他の管理的職業従事者,971705,954855,16850,(15)その他の管理的職業従事者
駅長、区長,8980,8965,15,駅長、区長
郵便局長,17955,17400,555,郵便局長
他に分類されない管理的職業従事者,944770,928490,16280,57他に分類されない管理的職業従事者
事務従事者,7279775,3656840,3622935,Ｃ事務従事者
一般事務従事者,6913040,3450215,3462825,(16)一般事務従事者
