職業,総数,男,女,old_title
総数,63032271,37272146,25760125,総数
専門的・技術的職業従事者,8567691,4848559,3719132,A専門的・技術的職業従事者
科学研究者,159430,136832,22598,（１）科学研究者
自然科学系研究者,152342,131258,21084,１自然科学系研究者
人文・社会科学系研究者,7088,5574,1514,２人文・社会科学系研究者
技術者,2523885,2352951,170934,（２）技術者
農林水産業・食品技術者,58603,51660,6943,３農林水産業・食品技術者
金属製錬技術者,18908,18462,446,４金属製錬技術者
機械・航空機・造船技術者,282935,275860,7075,５機械・航空機・造船技術者
電気・電子技術者,351564,342165,9399,６電気・電子技術者
化学技術者,66913,60957,5956,７化学技術者
建築技術者,387284,365612,21672,８建築技術者
土木・測量技術者,510196,501160,9036,９土木・測量技術者
情報処理技術者,777487,670903,106584,10情報処理技術者
その他の技術者,69995,66172,3823,11その他の技術者
保健医療従事者,2394017,636705,1757312,（３）保健医療従事者
医師,238142,201158,36984,12医師
歯科医師,85915,71847,14068,13歯科医師
獣医師,18887,15045,3842,14獣医師
薬剤師,150104,49974,100130,15薬剤師
保健師,33334,312,33022,16保健師
助産師,17461,-,17461,17助産師
看護師,976214,39506,936708,18看護師
診療放射線・エックス線技師,40272,34795,5477,19診療放射線・エックス線技師
臨床・衛生検査技師,59734,21456,38278,20臨床・衛生検査技師
歯科衛生士,62581,-,62581,21歯科衛生士
歯科技工士,49827,42034,7793,22歯科技工士
栄養士,85265,3302,81963,23栄養士
あん摩マッサージ指圧師はり師きゅう師柔道整復師,98024,72166,25858,24あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師
その他の保健医療従事者,478257,85110,393147,25その他の保健医療従事者
社会福祉専門職業従事者,573925,81455,492470,（４）社会福祉専門職業従事者
保育士,361488,4666,356822,26保育士
その他の社会福祉専門職業従事者,212437,76789,135648,27その他の社会福祉専門職業従事者
法務従事者,55947,48051,7896,（５）法務従事者
裁判官検察官弁護士,20536,18837,1699,28裁判官，検察官，弁護士
弁理士司法書士,20237,18125,2112,29弁理士，司法書士
その他の法務従事者,15174,11089,4085,30その他の法務従事者
経営専門職業従事者,119033,107369,11664,（６）経営専門職業従事者
公認会計士税理士,66139,60055,6084,31公認会計士，税理士
社会保険労務士,11568,8973,2595,32社会保険労務士
その他の経営専門職業従事者,41326,38341,2985,33その他の経営専門職業従事者
教員,1403545,747417,656128,（７）教員
幼稚園教員,96845,5937,90908,34幼稚園教員
小学校教員,404463,151266,253197,35小学校教員
中学校教員,257620,149531,108089,36中学校教員
高等学校教員,311697,221179,90518,37高等学校教員
大学教員,170335,133459,36876,38大学教員
盲学校・ろう聾学校・養護学校教員,57771,23482,34289,39盲学校・ろう（聾）学校・養護学校教員
その他の教員,104814,62563,42251,40その他の教員
宗教家,115496,97012,18484,（８）宗教家
宗教家,115496,97012,18484,41宗教家
文芸家記者編集者,129499,87687,41812,（９）文芸家，記者，編集者
文芸家著述家,33600,21456,12144,42文芸家，著述家
記者編集者,95899,66231,29668,43記者，編集者
美術家写真家デザイナー,265908,169087,96821,（10）美術家，写真家，デザイナー
彫刻家画家工芸美術家,38103,22638,15465,44彫刻家，画家，工芸美術家
デザイナー,161393,92944,68449,45デザイナー
写真家,66412,53505,12907,46写真家
音楽家舞台芸術家,197559,68137,129422,（11）音楽家，舞台芸術家
