occ_code,occ_en,occ_jpn,total,male,female,male_pct,female_pct
693,"Gravel, sand and clay quarrying workers",砂利・砂・粘土採取従事者,200,200,0,1.0,0.0
682,Railway line construction workers,鉄道線路工事従事者,24750,24750,0,1.0,0.0
642,Boiler operators,ボイラー・オペレーター,7550,7540,10,0.998675496688742,0.001324503311258
482,"Ships' captains, navigation officers, chief engineers, engineers (fishing boats)",船長・航海士・機関長・機関士（漁労船）,6510,6490,10,0.996927803379416,0.001536098310292
623,"Ships' chief engineers, engineers (except fishing boats)",船舶機関長・機関士（漁労船を除く）,6470,6430,30,0.993817619783617,0.004636785162287
645,"Construction, well-drilling machinery operators",建設・さく井機械運転従事者,86830,86150,690,0.992168605320742,0.007946562248071
643,"Crane, winch operators",クレーン・ウインチ運転従事者,48070,47590,480,0.990014562096942,0.009985437903058
641,Power plant and substation workers,発電員，変電員,34390,34010,380,0.988950276243094,0.011049723756906
67a,Line hanging and laying workers,電線架線・敷設従事者,47430,46890,540,0.988614800759013,0.011385199240987
652,Scaffolding workers (tobishoku),とび職,111940,110310,1630,0.985438627836341,0.014561372163659
651,Molding box carpenters,型枠大工,40840,40240,600,0.985308521057786,0.014691478942214
661,Carpenters,大工,297900,293360,4540,0.984759986572675,0.015240013427325
64,Stationary and construction machinery operators,定置・建設機械運転従事者,334350,329240,5120,0.984716614326305,0.015313294451922
653,Steel reinforcement workers,鉄筋作業従事者,28990,28540,450,0.98447740600207,0.01552259399793
666,Pipe laying workers,配管従事者,220720,217240,3480,0.984233417905038,0.015766582094962
62,Ship and aircraft operators,船舶・航空機運転従事者,27900,27440,470,0.983512544802867,0.016845878136201
62a,"Ship captains, navigation officers, navigators (except fishing boats) and pilots",船長・航海士・運航士（漁労船を除く），水先人,14390,14140,250,0.982626824183461,0.017373175816539
702,Onboard and quayside cargo handlers,船内・沿岸荷役従事者,14220,13970,250,0.982419127988748,0.017580872011252
63a,"Deckhands, dual purpose crew and ships stokers",甲板員，船舶技士・機関員,14360,14100,260,0.981894150417827,0.018105849582173
553,Automobile maintenance and repair workers,自動車整備・修理従事者,376070,368820,7250,0.980721674156407,0.019278325843593
